event_id,official_date,url,first_capture_utc,note
AIT-2024-12-008,2024-12-12,https://huggingface.co/microsoft/phi-4,,err:ConnectionResetError
AIT-2024-12-009,2024-12-06,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,,err:ConnectionResetError
AIT-2024-12-013,2024-12-26,https://api-docs.deepseek.com/news/news1226,,err:ConnectionResetError
AIT-2025-01-002,2025-01-21,https://ai.google.dev/gemini-api/docs/changelog,,err:TimeoutError
AIT-2025-01-003,2025-01-20,https://api-docs.deepseek.com/news/news250120,20250121060835,err:ConnectionResetError
AIT-2025-01-005,2025-01-27,https://github.com/deepseek-ai/Janus,,err:ConnectionResetError
AIT-2025-01-006,2025-01-28,https://qwenlm.github.io/blog/qwen2.5-max/,,err:ConnectionResetError
AIT-2025-01-007,2025-01-31,https://openai.com/index/openai-o3-mini/,,err:ConnectionResetError
AIT-2025-02-001,2025-02-19,https://x.ai/news/grok-3,,no_capture_in_window
AIT-2025-02-002,2025-02-24,https://www.anthropic.com/news/claude-3-7-sonnet,,err:ConnectionResetError
AIT-2025-02-004,2025-02-05,https://ai.google.dev/gemini-api/docs/changelog,20250206195326,
AIT-2025-02-006,2025-02-26,https://azure.microsoft.com/en-us/blog/empowering-innovation-the-next-generation-of-the-phi-family/,,err:ConnectionResetError
AIT-2025-02-007,2025-02-27,https://openai.com/index/introducing-gpt-4-5/,20250227152825,
AIT-2025-03-001,2025-03-25,https://blog.google/innovation-and-ai/models-and-research/google-deepmind/gemini-model-thinking-updates-march-2025/,,err:ConnectionResetError
AIT-2025-03-003,2025-03-25,https://openai.com/index/introducing-4o-image-generation/,,err:ConnectionResetError
AIT-2025-03-005,2025-03-06,https://qwenlm.github.io/blog/qwq-32b/,,err:HTTPError
AIT-2025-03-007,2025-03-25,https://api-docs.deepseek.com/news/news250325,20250325182029,
AIT-2025-04-001,2025-04-05,https://ai.meta.com/blog/llama-4-multimodal-intelligence/,,err:TimeoutError
AIT-2025-04-002,2025-04-17,https://developers.googleblog.com/en/start-building-with-gemini-25-flash/,,err:ConnectionResetError
AIT-2025-04-004,2025-04-14,https://openai.com/index/gpt-4-1/,,err:HTTPError
AIT-2025-04-005,2025-04-16,https://openai.com/index/introducing-o3-and-o4-mini/,,err:TimeoutError
AIT-2025-04-006,2025-04-03,https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version,,err:TimeoutError
AIT-2025-04-007,2025-03-31,https://runwayml.com/research/introducing-runway-gen-4,,err:HTTPError
AIT-2025-04-008,2025-04-29,https://qwenlm.github.io/blog/qwen3/,,err:TimeoutError
AIT-2025-05-002,2025-05-01,https://suno.com/blog/introducing-v4-5,20250501175246,
AIT-2025-05-003,2025-05-22,https://www.anthropic.com/news/claude-4,20250522163841,err:HTTPError
AIT-2025-05-004,2025-05-20,https://blog.google/innovation-and-ai/products/generative-media-models-io-2025/,,err:TimeoutError
AIT-2025-05-009,2025-05-28,https://api-docs.deepseek.com/news/news250528,20250529134358,
AIT-2025-05-012,2025-05-20,https://developers.googleblog.com/en/introducing-gemma-3n/,20250520184818,
AIT-2025-06-002,2025-06-03,https://elevenlabs.io/blog/eleven-v3,,err:TimeoutError
AIT-2025-06-003,2025-06-10,https://help.openai.com/en/articles/6825453-chatgpt-release-notes,20250610035856,
AIT-2025-07-001,2025-07-09,https://x.ai/news/grok-4,,err:TimeoutError
AIT-2025-07-005,2025-07-21,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507,,err:ConnectionResetError
AIT-2025-07-006,2025-07-11,https://www.kimi.com/en/blog/kimi-k2,,err:TimeoutError
AIT-2025-07-007,2025-07-28,https://z.ai/blog/glm-4.5,,err:HTTPError
AIT-2025-08-002,2025-08-05,https://www.anthropic.com/news/claude-opus-4-1,,err:ConnectionResetError
AIT-2025-08-004,2025-08-05,https://openai.com/index/introducing-gpt-oss/,,err:ConnectionResetError
AIT-2025-08-005,2025-08-07,https://openai.com/index/introducing-gpt-5/,,err:ConnectionResetError
AIT-2025-08-006,2025-08-21,https://api-docs.deepseek.com/news/news250821,,err:ConnectionResetError
