event_id,ticker,car_sym14
AIT-2023-03-002,GOOGL,0.10803887
AIT-2023-03-002,HON,-0.04041213
AIT-2023-03-002,IDXX,-0.06102627
AIT-2023-03-002,INTC,0.26854051
AIT-2023-03-002,INTU,0.03440667
AIT-2023-03-002,ISRG,0.03404322
AIT-2023-03-002,KDP,-0.01459376
AIT-2023-03-002,KHC,-0.02715075
AIT-2023-03-002,KLAC,-0.01756501
AIT-2023-03-002,LIN,0.06295305
AIT-2023-03-002,LITE,-0.03831918
AIT-2023-03-002,LRCX,0.02625609
AIT-2023-03-002,MAR,-0.08436338
AIT-2023-03-002,MCHP,-0.05740383
AIT-2023-03-002,MDLZ,0.03364392
AIT-2023-03-002,MELI,0.01890967
AIT-2023-03-002,META,0.15773196
AIT-2023-03-002,MNST,0.00178973
AIT-2023-03-002,MPWR,-0.07459606
AIT-2023-03-002,MRVL,-0.05949807
AIT-2023-03-002,MSFT,0.09227089
AIT-2023-03-002,MSTR,-0.04003992
AIT-2023-03-002,MTSI,-0.01826743
AIT-2023-03-002,MU,0.01190909
AIT-2023-03-002,NFLX,-0.10812283
AIT-2023-03-002,NVDA,0.18167366
AIT-2023-03-002,NXPI,-0.04043599
AIT-2023-03-002,ODFL,-0.11428817
AIT-2023-03-002,ON,-0.09393492
AIT-2023-03-002,ORLY,-0.05390752
AIT-2023-03-002,PANW,0.10628762
AIT-2023-03-002,PAYX,-0.02299505
AIT-2023-03-002,PCAR,-0.08139312
AIT-2023-03-002,PDD,-0.29600905
AIT-2023-03-002,PEP,0.01974781
AIT-2023-03-002,PLTR,-0.08483059
AIT-2023-03-002,PYPL,-0.04174056
AIT-2023-03-002,QCOM,-0.02883918
AIT-2023-03-002,REGN,0.06496114
AIT-2023-03-002,RKLB,-0.20041185
AIT-2023-03-002,ROP,0.01189885
AIT-2023-03-002,ROST,-0.12405336
AIT-2023-03-002,SBUX,-0.08418920
AIT-2023-03-002,SHOP,0.00678156
AIT-2023-03-002,SNPS,0.02886956
AIT-2023-03-002,STX,-0.02687462
AIT-2023-03-002,TER,-0.00302819
AIT-2023-03-002,TMUS,-0.03665940
AIT-2023-03-002,TRI,0.01627252
AIT-2023-03-002,TSLA,-0.06762055
AIT-2023-03-002,TSM,0.02689032
AIT-2023-03-002,TTWO,0.04624763
AIT-2023-03-002,TXN,0.03334375
AIT-2023-03-002,UMC,0.02951632
AIT-2023-03-002,VRTX,0.04651068
AIT-2023-03-002,WBD,-0.03627834
AIT-2023-03-002,WDAY,0.04229098
AIT-2023-03-002,WDC,-0.06564972
AIT-2023-03-002,WMT,-0.02646583
AIT-2023-03-002,XEL,0.01560610
AIT-2023-05-002,AAPL,0.04091238
AIT-2023-05-002,ABNB,-0.10684430
AIT-2023-05-002,ADBE,0.10724747
AIT-2023-05-002,ADI,-0.07927931
AIT-2023-05-002,ADP,-0.03705621
AIT-2023-05-002,ADSK,0.00990993
AIT-2023-05-002,AEP,-0.11277458
AIT-2023-05-002,ALNY,-0.15739629
AIT-2023-05-002,AMAT,0.17190536
AIT-2023-05-002,AMD,0.27943375
AIT-2023-05-002,AMGN,-0.10097173
AIT-2023-05-002,AMZN,0.16106260
AIT-2023-05-002,APP,0.51892184
AIT-2023-05-002,ASML,0.12104957
AIT-2023-05-002,ASX,0.03647263
AIT-2023-05-002,AVGO,0.21369253
AIT-2023-05-002,AXON,-0.26769916
AIT-2023-05-002,BKNG,-0.12433611
AIT-2023-05-002,BKR,-0.14419130
AIT-2023-05-002,CCEP,-0.00698054
AIT-2023-05-002,CDNS,0.04965109
AIT-2023-05-002,CEG,0.05917941
AIT-2023-05-002,CMCSA,0.04830047
AIT-2023-05-002,COST,0.03903185
AIT-2023-05-002,CPRT,0.07759356
AIT-2023-05-002,CRDO,0.46610257
AIT-2023-05-002,CRWD,0.24007520
AIT-2023-05-002,CSCO,0.01942227
AIT-2023-05-002,CSX,0.00587163
AIT-2023-05-002,CTAS,0.02095707
AIT-2023-05-002,DASH,0.07761647
AIT-2023-05-002,DDOG,0.35457322
AIT-2023-05-002,DXCM,-0.12939748
AIT-2023-05-002,EA,0.00197640
AIT-2023-05-002,ENTG,0.44256065
AIT-2023-05-002,EXC,-0.07627714
AIT-2023-05-002,FANG,-0.15681771
AIT-2023-05-002,FAST,-0.01702816
AIT-2023-05-002,FER,0.02226532
AIT-2023-05-002,FTNT,-0.00111060
AIT-2023-05-002,GILD,-0.14582822
AIT-2023-05-002,GOOG,0.15976121
AIT-2023-05-002,GOOGL,0.16437744
AIT-2023-05-002,HON,-0.03888280
AIT-2023-05-002,IDXX,-0.08436267
AIT-2023-05-002,INTC,0.05239382
AIT-2023-05-002,INTU,-0.05835599
AIT-2023-05-002,ISRG,-0.02853248
AIT-2023-05-002,KDP,-0.12622901
AIT-2023-05-002,KHC,-0.04265831
AIT-2023-05-002,KLAC,0.20398210
AIT-2023-05-002,LIN,-0.07538888
AIT-2023-05-002,LITE,0.22246571
AIT-2023-05-002,LRCX,0.20975770
AIT-2023-05-002,MAR,-0.04913302
AIT-2023-05-002,MCHP,-0.07584865
AIT-2023-05-002,MDLZ,0.01546306
AIT-2023-05-002,MELI,-0.14037568
AIT-2023-05-002,META,0.16005013
AIT-2023-05-002,MNST,0.08772563
AIT-2023-05-002,MPWR,0.06155487
AIT-2023-05-002,MRVL,0.43498723
AIT-2023-05-002,MSFT,0.10717267
AIT-2023-05-002,MSTR,-0.07461116
AIT-2023-05-002,MTSI,-0.07712404
AIT-2023-05-002,MU,0.11603627
AIT-2023-05-002,NFLX,0.13646110
AIT-2023-05-002,NVDA,0.24803198
AIT-2023-05-002,NXPI,0.03721658
AIT-2023-05-002,ODFL,-0.12463295
AIT-2023-05-002,ON,0.04651365
AIT-2023-05-002,ORLY,-0.03659903
AIT-2023-05-002,PANW,0.07330462
AIT-2023-05-002,PAYX,-0.02005827
AIT-2023-05-002,PCAR,-0.10221117
