event_id,ticker,car_s1_0_1,car_s1_0_2,car_s1_0_5,car_s1_0_20
AIT-2022-10-001,AVGO,0.01333150,0.00058606,0.01457898,0.07873864
AIT-2022-10-001,AXON,0.02724067,-0.00456346,0.01012569,0.23751676
AIT-2022-10-001,BKNG,-0.02623393,-0.00987115,-0.02464762,-0.00764299
AIT-2022-10-001,BKR,-0.01417453,-0.02490249,0.00967938,0.06595777
AIT-2022-10-001,CCEP,0.02009780,0.00700994,0.00588413,0.08282883
AIT-2022-10-001,CDNS,-0.00587710,-0.08446604,-0.10210561,-0.05843314
AIT-2022-10-001,CEG,-0.00688863,-0.01961999,0.01769283,-0.07483406
AIT-2022-10-001,CMCSA,-0.00248834,0.00318231,0.01265349,0.10204343
AIT-2022-10-001,COST,0.03369028,0.02263735,0.03682664,0.03887537
AIT-2022-10-001,CPRT,-0.02309773,-0.02012982,-0.00985313,0.06943774
AIT-2022-10-001,CRDO,-0.02717097,0.05315511,0.09097648,0.09506769
AIT-2022-10-001,CRWD,-0.04619424,-0.05202118,-0.06984035,-0.28716868
AIT-2022-10-001,CSCO,0.01444946,0.02073420,0.04307236,0.08874645
AIT-2022-10-001,CSX,0.01102557,0.01994872,0.02856372,0.07769994
AIT-2022-10-001,CTAS,-0.00171146,-0.00760517,0.02075885,0.04142556
AIT-2022-10-001,DASH,-0.10961700,-0.07859182,-0.10984463,0.09027658
AIT-2022-10-001,DDOG,-0.07848212,-0.03666985,-0.14805503,-0.23256092
AIT-2022-10-001,DXCM,-0.01153345,-0.01780215,0.15950492,0.05967218
AIT-2022-10-001,EA,-0.00424822,0.00285211,-0.00042308,-0.00055945
AIT-2022-10-001,ENTG,-0.04705261,-0.04312804,-0.04811403,-0.13720314
AIT-2022-10-001,EXC,0.01773922,0.03328160,0.05296015,0.04268064
AIT-2022-10-001,FANG,0.01040902,-0.00453824,-0.01880431,-0.04578460
AIT-2022-10-001,FAST,0.00188726,-0.00226419,0.02777442,0.07647479
AIT-2022-10-001,FER,-0.11014908,-0.11065386,-0.11065098,-0.09038036
AIT-2022-10-001,FTNT,0.00194177,-0.00643999,-0.00668022,-0.12923109
AIT-2022-10-001,GILD,0.02438013,0.02513105,0.15709452,0.19784976
AIT-2022-10-001,GOOG,-0.02396971,-0.02594775,-0.11691036,-0.12234103
AIT-2022-10-001,GOOGL,-0.02299020,-0.02498407,-0.11498408,-0.12110497
AIT-2022-10-001,HON,0.02184596,0.02358028,0.09308096,0.12541626
AIT-2022-10-001,IDXX,0.00007245,0.00382218,0.02878595,0.16845366
AIT-2022-10-001,INTC,0.00562845,-0.00152909,0.05691361,0.11018452
AIT-2022-10-001,INTU,-0.01882116,-0.01084922,-0.02921673,-0.17878747
AIT-2022-10-001,ISRG,-0.01060663,0.04786627,0.06218752,0.12831160
AIT-2022-10-001,KDP,0.01315354,0.00815675,0.02749978,-0.04631934
AIT-2022-10-001,KHC,0.02337587,0.03370099,0.08042038,0.05092421
AIT-2022-10-001,KLAC,0.00213704,0.00639993,0.03917330,0.15958031
AIT-2022-10-001,LIN,-0.04908368,-0.02836924,0.00726851,0.09000734
AIT-2022-10-001,LITE,-0.01444873,-0.01273914,-0.01241042,-0.30119221
AIT-2022-10-001,LRCX,-0.01205066,-0.02347120,0.02591788,0.13422377
AIT-2022-10-001,MAR,0.00605091,-0.01044830,0.00116992,-0.01856515
AIT-2022-10-001,MCHP,-0.00522440,0.00202891,-0.03944644,0.09241135
AIT-2022-10-001,MDLZ,0.01240216,0.01356306,0.04772265,0.09082572
AIT-2022-10-001,MELI,-0.09006275,-0.09026201,-0.10186669,-0.08776215
AIT-2022-10-001,META,-0.07483761,-0.04122855,-0.34354818,-0.21613120
AIT-2022-10-001,MNST,0.00322232,0.00623784,0.01508287,0.05340557
AIT-2022-10-001,MPWR,-0.03366180,-0.03363152,-0.04575670,-0.01493890
AIT-2022-10-001,MRVL,-0.06720081,-0.04289111,-0.05379204,-0.00311406
AIT-2022-10-001,MSFT,0.00214268,-0.00343942,-0.07340773,-0.06689571
AIT-2022-10-001,MSTR,-0.05166853,0.02404661,0.02389805,-0.51133051
AIT-2022-10-001,MTSI,-0.02114346,0.01063358,0.01715386,0.15345383
AIT-2022-10-001,MU,-0.00651315,-0.03644913,-0.08152910,-0.01161495
AIT-2022-10-001,NFLX,-0.00322128,0.00178145,0.00482542,-0.02077515
AIT-2022-10-001,NVDA,-0.04480249,-0.02611196,-0.00257895,0.09309421
AIT-2022-10-001,NXPI,-0.01187280,-0.00945366,-0.00555852,0.09761802
AIT-2022-10-001,ODFL,-0.00308984,-0.00611965,-0.03349299,0.03704584
AIT-2022-10-001,ON,-0.01410082,-0.02901268,-0.04376301,-0.03455931
AIT-2022-10-001,ORLY,0.02539067,0.02361205,0.08982993,0.06327171
AIT-2022-10-001,PANW,-0.03321058,-0.02555758,-0.01569784,-0.07517992
AIT-2022-10-001,PAYX,-0.00890860,-0.00452147,0.01230034,0.00477059
AIT-2022-10-001,PCAR,0.01920786,0.00247152,0.03937045,0.08624062
AIT-2022-10-001,PDD,-0.26589222,-0.23023928,-0.15058325,0.03528916
