final_event_id,car20_mean,carpre_mean,ff3_car20_mean,intel_c,aa_intelligence_index,is_open_weight,release_year,true_model_creator,release_date,mean_size,mean_bm,mean_volatility,mean_momentum,n_firms
FMR-0014,0.048781202757575755,0.01961889039393939,0.043620276151515154,-13.727513227513237,12.9,1,2024,Alibaba,2024-11-12,6.873291479787879,0.26314150448484847,0.36609296872786373,0.4268093109242941,33
FMR-0015,0.053727562722222226,0.012930996085714285,0.04143002162777778,-12.127513227513237,14.5,0,2024,Meta,2024-12-06,6.870517189805556,0.2659074902222222,0.3640482412441967,0.45472227109273095,36
FMR-0017,0.05266816697058824,0.03733668161764706,0.043818193852941174,-14.327513227513236,12.3,0,2024,Google,2024-12-11,6.7543711421470585,0.2565785190588235,0.36391691609251675,0.5260035139865737,34
FMR-0018,0.02391685152941176,-0.0016032267647058825,0.01584119158823529,4.172486772486764,30.8,0,2024,OpenAI,2024-12-17,6.862606436264706,0.27187263670588235,0.3712491653952311,0.38995435185750293,34
FMR-0019,0.02391685152941176,-0.0016032267647058825,0.01584119158823529,-0.8275132275132364,25.8,0,2024,OpenAI,2024-12-17,6.862606436264706,0.27187263670588235,0.3712491653952311,0.38995435185750293,34
FMR-0020,0.008800030142857143,0.0047030102352941154,8.730020000000005e-4,11.772486772486761,38.4,0,2024,OpenAI,2024-12-20,6.844531966657143,0.2671905613714286,0.3827097482127166,0.3734852242534407,35
FMR-0021,-0.00181527806060606,-0.015299648484848483,0.015509873151515157,-7.827513227513236,18.8,1,2025,DeepSeek,2025-01-22,6.975541844787879,0.24211533818181818,0.38336978153311124,0.6696987264232226,33
FMR-0022,-0.007522710454545452,0.012465533969696971,0.008119140787878799,-10.327513227513236,16.3,1,2025,Alibaba,2025-01-28,6.975541844787879,0.24211533818181818,0.37432218135991885,0.6612508756541945,33
FMR-0023,-0.0287974325142857,0.029069060499999997,-0.009141488342857136,-0.7275132275132385,25.9,0,2025,OpenAI,2025-01-31,6.952939453657143,0.24825160457142859,0.3820396133147853,0.5714224298125091,35
FMR-0024,-0.04865274225714287,0.02073792041176471,-0.028369580657142863,-8.527513227513236,18.1,0,2025,Google,2025-02-05,6.8337965965142855,0.23253731885714285,0.36913878810524414,0.7067751025093737,35
FMR-0025,-0.07293638226470588,-0.029733596545454547,-0.05643761476470589,5.472486772486764,32.1,0,2025,xAI,2025-02-17,6.961849437588235,0.23731782823529413,0.3666905635525025,0.48331070002415627,34
FMR-0026,-0.10015217796969697,-0.03010395966666667,-0.08110377742424243,8.072486772486766,34.7,0,2025,Anthropic,2025-02-18,6.975541844787879,0.24211533818181818,0.35939084563485424,0.556463558806533,33
FMR-0027,-0.10546766202941175,-0.03142579652941176,-0.08122309252941176,-12.127513227513237,14.5,0,2025,Google,2025-02-25,6.843320025823529,0.23705312235294118,0.3767856094584527,0.6060483471472637,34
FMR-0028,-0.09853183271428573,-0.03765082347058824,-0.07677467014285713,-16.627513227513237,10,0,2025,Microsoft,2025-02-26,6.980653739371429,0.23825160457142858,0.37321801971689345,0.5619048811853078,35
FMR-0029,-0.09158048042857143,0.0027072955897058833,-0.07820268617142857,-9.827513227513236,16.8,0,2025,Google,2025-03-12,6.8337965965142855,0.23253731885714285,0.4019302326114911,0.48517229819368046,35
FMR-0033,0.041930045470588234,-0.005059613411764706,0.020483323999999997,11.772486772486761,38.4,0,2025,OpenAI,2025-04-16,6.9700847317058825,0.2514648870588235,0.6015679465991801,0.1882907088216961,34
FMR-0034,0.043491202799999996,-0.005059613411764706,0.021770023800000003,6.472486772486764,33.1,0,2025,OpenAI,2025-04-16,6.956939453657143,0.24653731885714286,0.43402586383830105,0.19338901646358467,35
FMR-0036,0.023346344314285714,0.002122904441176469,0.002421645657142854,7.972486772486764,34.6,0,2025,Google,2025-05-06,6.837796596514286,0.23082303314285715,0.4629414975737687,0.12962375181416969,35
FMR-0037,0.012486010457142857,-0.002092819382352941,-0.02724489305714286,-21.827513227513236,4.8,1,2025,Google,2025-05-20,6.837796596514286,0.23082303314285715,0.5066296283217371,0.16152568678740445,35
FMR-0038,-7.186375454545469e-4,-0.008186550333333334,-0.03598905554545454,12.072486772486766,38.7,0,2025,Anthropic,2025-05-21,6.979784269030303,0.24029715636363636,0.5003715015520547,0.15225927066917802,33
FMR-0040,-0.0015097101212121207,-0.006606903303030302,-0.03428295999090909,12.372486772486763,39,0,2025,Anthropic,2025-05-22,6.979784269030303,0.24029715636363636,0.5053050684142777,0.16379116556459275,33
FMR-0041,0.015583339628571426,-0.013023470235294116,0.006903543400000002,0.3724867724867629,27,0,2025,Google,2025-06-17,6.837796596514286,0.23082303314285715,0.48542656073121515,0.32860694279177055,35
FMR-0042,0.005792771342857145,-0.013023470235294116,0.006903543400000002,7.972486772486764,34.6,0,2025,Google,2025-06-17,6.837796596514286,0.23082303314285715,0.48004402898513315,0.349836991471082,35
FMR-0043,-0.03683444459090909,0.012357486303030305,-0.03976398518181818,-1.6275132275132371,25,1,2025,Alibaba,2025-07-21,6.979784269030303,0.24029715636363636,0.4965255189900197,0.29408751974863045,33
FMR-0044,-0.04700722448484849,0.026811362909090912,-0.054551624424242426,-1.8275132275132364,24.8,1,2025,Alibaba,2025-07-22,6.979784269030303,0.24029715636363636,0.49238571466165365,0.2938988052602342,33
FMR-0045,-0.051571182939393945,-3.167430909090915e-4,-0.052725364363636354,-0.22751322751323855,26.4,1,2025,Zhipu AI,2025-07-28,6.979784269030303,0.24029715636363636,0.48622374486939335,0.3024437083113339,33
FMR-0046,-0.0517406762,-0.016140380029411767,-0.04095030714285714,6.67248677248676,33.3,1,2025,OpenAI,2025-08-05,6.956939453657143,0.24653731885714286,0.4783550853423997,0.28866049962140333,35
FMR-0048,0.05848687984848484,0.014742838454545458,0.07821178051515151,4.7724867724867615,31.4,0,2025,Alibaba,2025-09-05,6.979784269030303,0.24029715636363636,0.4572687080507608,0.4228513023685738,33
FMR-0049,0.0515947596060606,0.027853093424242425,0.04351598796969697,16.372486772486763,43,0,2025,Anthropic,2025-09-25,6.979784269030303,0.24029715636363636,0.43666678897019384,0.23369460943598386,33
FMR-0050,0.03032583121212121,0.022189300393939394,0.032148696454545454,10.472486772486764,37.1,0,2025,Anthropic,2025-10-14,6.979784269030303,0.24029715636363636,0.3721649838179148,0.2860424134510056,33
FMR-0051,0.03152271736363636,-0.01764375996969697,0.017151169151515152,-3.8275132275132364,22.8,1,2025,Mistral AI,2025-12-02,6.979784269030303,0.24029715636363636,0.3790758632450947,0.3129509026005443,33
FMR-0052,0.041249824909090904,0.037629221454545454,0.03729039112121212,-4.627513227513237,22,1,2025,Mistral AI,2025-12-09,6.979784269030303,0.24029715636363636,0.3891291209124038,0.13222011046960883,33
FMR-0054,0.05189800425714286,0.0030008661470588218,0.055635667228571425,24.67248677248676,51.3,0,2025,OpenAI,2025-12-18,6.956939453657143,0.24653731885714286,0.4043067217225189,0.19945408945361573,35
FMR-0056,-0.12254207593548387,-0.0820018419032258,-0.1084024329032258,26.372486772486763,53,0,2026,Anthropic,2026-02-05,7.316935483870967,0.22876451612903226,0.37241702901856566,0.09497869558484334,31
FMR-0057,-0.04678112175,-0.0548602193125,-0.05645514487500001,26.972486772486764,53.6,0,2026,OpenAI,2026-02-12,7.33984375,0.230053125,0.3794215783997111,0.242508471325377,32
FMR-0058,0.01308771856666667,-0.017096095266666667,0.014807075300000007,25.072486772486766,51.7,0,2026,Anthropic,2026-02-16,7.279,0.23543666666666666,0.3751335744428424,0.1433504218764608,30
FMR-0060,0.10014524025806452,-0.02126134174193548,0.08398456341935484,30.17248677248676,56.8,0,2026,OpenAI,2026-03-17,7.4037096774193545,0.23618387096774193,0.41349761959472514,0.023172302655887128,31
