event_id,official_date,event_trading_date,model_names,rows,car_mm_qqq_0_20_nonmissing,car_ff3_0_20_nonmissing,fundamentals_nonmissing
AIT-2025-09-005,2025-09-24,2025-09-24,Qwen-3-Max,108,107,107,108
AIT-2025-09-007,2025-09-29,2025-09-29,Claude Sonnet 4.5,108,107,107,108
AIT-2025-09-008,2025-09-30,2025-09-30,Sora 2,108,107,107,108
AIT-2025-09-009,2025-09-29,2025-09-29,DeepSeek-V3.2-Exp,108,107,107,108
AIT-2025-10-003,2025-10-15,2025-10-15,Claude 4.5 Haiku,108,108,108,108
AIT-2025-11-001,2025-11-06,2025-11-06,Kimi K2 Thinking,108,108,108,108
AIT-2025-11-002,2025-11-12,2025-11-12,GPT 5.1,108,108,108,108
AIT-2025-11-003,2025-11-17,2025-11-17,Grok 4.1,108,108,108,108
AIT-2025-11-004,2025-11-18,2025-11-18,Gemini 3.0,108,108,108,108
AIT-2025-11-006,2025-11-20,2025-11-20,Nano Banana Pro,108,108,108,108
AIT-2025-11-007,2025-11-24,2025-11-24,Claude Opus 4.5,108,108,108,108
AIT-2025-11-008,2025-11-25,2025-11-25,FLUX 2,108,108,108,108
AIT-2025-12-001,2025-12-02,2025-12-02,Mistral 3; Devstral 2,108,108,108,108
AIT-2025-12-002,2025-12-11,2025-12-11,GPT-5.2; GPT-Image 1.5,108,108,108,108
AIT-2025-12-003,2025-12-17,2025-12-17,Gemini 3.0 Flash; Gemini 2.5 Flash Audio,108,108,108,108
AIT-2025-12-004,2025-12-02,2025-12-02,Nova 2; Nova 2 Sonic,108,108,108,108
AIT-2025-12-005,2025-12-01,2025-12-01,Gen-4.5,108,108,108,108
AIT-2025-12-006,2025-12-17,2025-12-17,Grok Voice Agent API,108,108,108,108
AIT-2025-12-007,2025-12-22,2025-12-22,GLM-4.7,108,108,108,108
AIT-2025-12-009,2025-12-20,2025-12-22,MiniMax-M2.1,108,108,108,108
AIT-2026-01-003,2026-01-27,2026-01-27,Kimi K2.5,108,108,108,108
AIT-2026-01-004,2026-01-28,2026-01-28,Imagine Video,108,108,108,108
AIT-2026-02-001,2026-02-05,2026-02-05,Claude Opus 4.6; Claude Sonnet 4.6,108,108,108,108
AIT-2026-02-002,2026-02-05,2026-02-05,GPT-5.3-Codex,108,108,108,108
AIT-2026-02-005,2026-02-11,2026-02-11,GLM-5,108,108,108,108
AIT-2026-02-006,2026-03-10,2026-03-10,Grok 4.20,108,108,108,108
AIT-2026-02-008,2026-02-26,2026-02-26,Nano Banana 2,108,108,108,108
AIT-2026-03-002,2026-03-05,2026-03-05,GPT-5.4; GPT-5.4 mini; GPT-5.4 nano,108,108,108,108
AIT-2026-03-003,2026-03-16,2026-03-16,Mistral Small 4,108,108,108,108
AIT-2026-03-004,2026-03-26,2026-03-26,Suno v5.5,108,108,108,108
