"benchmark","outcome","contrast","method","estimate","estimate_pp","se","se_pp","df","t","p","stars","ci95_low","ci95_high","ci95_low_pp","ci95_high_pp","observations","events","firms","two_way_vcov_min_eigenvalue","two_way_vcov_fix_applied"
"market_model","car_mm_spy_0_20","hardware_minus_downstream_average","event_CR2",0.0253305350555475,2.53305350555475,0.00854506875585845,0.854506875585845,121.176326467367,2.96434537617746,0.00365322211010545,"***",0.00841356620717362,0.0422475039039213,0.841356620717362,4.22475039039213,5441,124,45,NA,NA
"market_model","car_mm_spy_0_20","hardware_minus_downstream_average","event_x_firm_HC1",0.0253305350555475,2.53305350555475,0.00919958684065337,0.919958684065337,44,2.75344268110072,0.00853892173921858,"***",0.00678998603861512,0.0438710840724798,0.678998603861512,4.38710840724798,5441,124,45,-1.32724734770261e-05,TRUE
"market_model","car_mm_spy_0_20","hardware_minus_nonhardware_average","event_CR2",0.0202305850046485,2.02305850046485,0.00788293079164075,0.788293079164075,119.869950630312,2.56637861467736,0.0115078846078725,"**",0.0046227581855567,0.0358384118237403,0.46227581855567,3.58384118237403,5441,124,45,NA,NA
"market_model","car_mm_spy_0_20","hardware_minus_nonhardware_average","event_x_firm_HC1",0.0202305850046485,2.02305850046485,0.00849874514186389,0.849874514186389,44,2.38042024639553,0.0216896980442458,"**",0.00310248962227453,0.0373586803870224,0.310248962227453,3.73586803870224,5441,124,45,-1.32724734770261e-05,TRUE
"fama_french_3factor","car_ff3_0_20","hardware_minus_cloud","event_CR2",0.022569707583413,2.2569707583413,0.0120084936063688,1.20084936063688,116.944975996261,1.87947866928479,0.0626680152519069,"*",-0.00121260166212275,0.0463520168289488,-0.121260166212275,4.63520168289488,5441,124,45,NA,NA
"fama_french_3factor","car_ff3_0_20","hardware_minus_cloud","event_x_firm_HC1",0.022569707583413,2.2569707583413,0.01354577200045,1.354577200045,44,1.6661809738613,0.102782005577678,"",-0.00473000207710222,0.0498694172439283,-0.473000207710222,4.98694172439283,5441,124,45,-5.77467165889886e-06,TRUE
"fama_french_3factor","car_ff3_0_20","hardware_minus_integrator","event_CR2",0.022430842108881,2.2430842108881,0.00953531629535049,0.953531629535049,121.313064710523,2.35239623040282,0.0202630051859071,"**",0.00355366046260763,0.0413080237551545,0.355366046260763,4.13080237551545,5441,124,45,NA,NA
"fama_french_3factor","car_ff3_0_20","hardware_minus_integrator","event_x_firm_HC1",0.022430842108881,2.2430842108881,0.0110296885567827,1.10296885567827,44,2.03367864771551,0.0480416518236374,"**",0.000201965435327828,0.0446597187824343,0.0201965435327828,4.46597187824343,5441,124,45,-5.77467165889886e-06,TRUE
"fama_french_3factor","car_ff3_0_20","hardware_minus_deployer","event_CR2",0.0216181014463488,2.16181014463488,0.00870876926971324,0.870876926971324,121.930856250697,2.48233714510393,0.0144129184511275,"**",0.00437812493510748,0.0388580779575901,0.437812493510748,3.88580779575901,5441,124,45,NA,NA
"fama_french_3factor","car_ff3_0_20","hardware_minus_deployer","event_x_firm_HC1",0.0216181014463488,2.16181014463488,0.00764339755181432,0.764339755181432,44,2.82833665262083,0.00701913323206041,"***",0.00621384586183937,0.0370223570308582,0.621384586183937,3.70223570308582,5441,124,45,-5.77467165889886e-06,TRUE
"fama_french_3factor","car_ff3_0_20","hardware_minus_enabler","event_CR2",0.0356087047213664,3.56087047213664,0.0110540439833109,1.10540439833109,121.550762870431,3.22132830076733,0.00163749266169672,"***",0.0137253104894667,0.057492098953266,1.37253104894667,5.7492098953266,5441,124,45,NA,NA
"fama_french_3factor","car_ff3_0_20","hardware_minus_enabler","event_x_firm_HC1",0.0356087047213664,3.56087047213664,0.0128859339972117,1.28859339972117,44,2.76337786062473,0.00832112413993469,"***",0.00963881117696336,0.0615785982657693,0.963881117696336,6.15785982657693,5441,124,45,-5.77467165889886e-06,TRUE
"fama_french_3factor","car_ff3_0_20","hardware_minus_competitor","event_CR2",0.000574155673792098,0.0574155673792098,0.00850061414082395,0.850061414082395,118.858104444023,0.0675428462321013,0.946263042475056,"",-0.0162581157361118,0.017406427083696,-1.62581157361118,1.7406427083696,5441,124,45,NA,NA
"fama_french_3factor","car_ff3_0_20","hardware_minus_competitor","event_x_firm_HC1",0.000574155673792098,0.0574155673792098,0.0106732399502888,1.06732399502888,44,0.0537939441506292,0.957342843143525,"",-0.0209363460362776,0.0220846573838618,-2.09363460362776,2.20846573838618,5441,124,45,-5.77467165889886e-06,TRUE
"fama_french_3factor","car_ff3_0_20","hardware_minus_downstream_average","event_CR2",0.0265525494255321,2.65525494255321,0.0085468585621451,0.85468585621451,121.176326467367,3.10670279991949,0.00235688346034119,"***",0.00963203723560521,0.0434730616154589,0.963203723560521,4.34730616154589,5441,124,45,NA,NA
"fama_french_3factor","car_ff3_0_20","hardware_minus_downstream_average","event_x_firm_HC1",0.0265525494255321,2.65525494255321,0.00933374476306066,0.933374476306066,44,2.84479060651163,0.00672078622510225,"***",0.00774162288192532,0.0453634759691388,0.774162288192532,4.53634759691388,5441,124,45,-5.77467165889886e-06,TRUE
"fama_french_3factor","car_ff3_0_20","hardware_minus_nonhardware_average","event_CR2",0.0205603023067603,2.05603023067603,0.00783612288975024,0.783612288975024,119.869950630312,2.62378507790548,0.00982646517226654,"***",0.00504515289988765,0.0360754517136329,0.504515289988765,3.60754517136329,5441,124,45,NA,NA
"fama_french_3factor","car_ff3_0_20","hardware_minus_nonhardware_average","event_x_firm_HC1",0.0205603023067603,2.05603023067603,0.00846636265452648,0.846636265452648,44,2.42846936113324,0.0193182663226069,"**",0.00349746953934596,0.0376231350741746,0.349746953934596,3.76231350741746,5441,124,45,-5.77467165889886e-06,TRUE
