"spec","detail","outcome","method","coef","coef_pp","se","p","stars","observations","events","firms","competitor_rows","competitor_events","competitor_firms","cluster_2"
"leave_one_creator_out","KlingAI","car_mm_spy_0_20","event_x_ticker_HC1",0.034518668219803,3.4518668219803,0.0143718534589399,0.0206026800506143,"**",5397,123,45,619,122,6,45
"leave_one_creator_out","Kyutai","car_mm_spy_0_20","event_CR2",0.0346137371771995,3.46137371771995,0.00899939296177088,0.000198876499072162,"***",5397,123,45,620,122,6,NA
"leave_one_creator_out","Kyutai","car_mm_spy_0_20","event_x_ticker_HC1",0.034613737177199,3.46137371771991,0.0144597110206901,0.0210040291218844,"**",5397,123,45,620,122,6,45
"leave_one_creator_out","Meta","car_mm_spy_0_20","event_CR2",0.0349014512565465,3.49014512565465,0.00928382080454829,0.000276065094484501,"***",5178,118,45,601,117,6,NA
"leave_one_creator_out","Meta","car_mm_spy_0_20","event_x_ticker_HC1",0.0349014512565504,3.49014512565504,0.0146325524889065,0.0214429708896173,"**",5178,118,45,601,117,6,45
"leave_one_creator_out","Microsoft","car_mm_spy_0_20","event_CR2",0.0358108849585356,3.58108849585356,0.00901942009868389,0.000127566661857578,"***",5309,121,45,613,120,6,NA
"leave_one_creator_out","Microsoft","car_mm_spy_0_20","event_x_ticker_HC1",0.0358108849585371,3.58108849585371,0.01502501918215,0.0215344650932027,"**",5309,121,45,613,120,6,45
"leave_one_creator_out","Midjourney","car_mm_spy_0_20","event_CR2",0.0339867928978033,3.39867928978033,0.00916963912170825,0.000329696403462887,"***",5310,121,45,607,120,6,NA
"leave_one_creator_out","Midjourney","car_mm_spy_0_20","event_x_ticker_HC1",0.0339867928977995,3.39867928977995,0.0142431902319786,0.0213923020087454,"**",5310,121,45,607,120,6,45
"leave_one_creator_out","MiniMax","car_mm_spy_0_20","event_CR2",0.0326611444261957,3.26611444261957,0.00897615374775255,0.000414597118864429,"***",5396,123,45,620,122,6,NA
"leave_one_creator_out","MiniMax","car_mm_spy_0_20","event_x_ticker_HC1",0.0326611444261963,3.26611444261963,0.0142506132754575,0.0267529132167881,"**",5396,123,45,620,122,6,45
"leave_one_creator_out","Mistral","car_mm_spy_0_20","event_CR2",0.0339986452189881,3.39986452189881,0.00920654039593702,0.000348765567974762,"***",5175,118,45,595,117,6,NA
"leave_one_creator_out","Mistral","car_mm_spy_0_20","event_x_ticker_HC1",0.0339986452189866,3.39986452189866,0.014590074194908,0.0244419780841415,"**",5175,118,45,595,117,6,45
"leave_one_creator_out","OpenAI","car_mm_spy_0_20","event_CR2",0.038541754480602,3.8541754480602,0.0101926835403275,0.00027335677119767,"***",4546,103,45,505,103,6,NA
"leave_one_creator_out","OpenAI","car_mm_spy_0_20","event_x_ticker_HC1",0.0385417544806015,3.85417544806015,0.0154590091309736,0.0164958581513283,"**",4546,103,45,505,103,6,45
"leave_one_creator_out","Recraft","car_mm_spy_0_20","event_CR2",0.034038634252441,3.4038634252441,0.00904646053435723,0.000268339134869608,"***",5397,123,45,619,122,6,NA
"leave_one_creator_out","Recraft","car_mm_spy_0_20","event_x_ticker_HC1",0.0340386342524431,3.40386342524431,0.0143795452850314,0.0223889456952067,"**",5397,123,45,619,122,6,45
