"spec","outcome","term","coef","se_event_cr2","p_event_cr2","stars_event_cr2","se_event_firm_hc1","p_event_firm_hc1","stars_event_firm_hc1","ci95_low_event_firm","ci95_high_event_firm","observations","events","firms","df_event_firm","vcov_min_eigenvalue_before_fix","vcov_eigenvalue_fix_applied"
"position_ff3_year_fe","car_ff3_0_20","rel_competitor",0.0337093340282927,0.00908420550450755,0.000321187358802123,"***",0.0156528480446092,0.0367941191572441,"**",0.00216309163149173,0.0652555764250936,5441,124,45,44,-5.77467165889847e-06,TRUE
"position_ff3_year_fe","car_ff3_0_20","rel_is_investor",0.0104756733924268,0.0113899155188218,0.362237284248652,"",0.00979557338448753,0.290708154367715,"",-0.00926600757975368,0.0302173543646074,5441,124,45,44,-5.77467165889847e-06,TRUE
"position_ff3_year_fe","car_ff3_0_20","rel_is_owner",0.0322899957345861,0.0172058735195478,0.0666347794657343,"*",0.0205417147100696,0.123132529543959,"",-0.00910911001556277,0.0736891014847349,5441,124,45,44,-5.77467165889847e-06,TRUE
"position_qqq_year_fe","car_mm_qqq_0_20","rel_upstream_hardware",0.0345884726817033,0.0107429430010194,0.00164741183493727,"***",0.0135569184445293,0.0142825906293001,"**",0.00726629883922032,0.0619106465241863,5441,124,45,44,-1.15397097219825e-05,TRUE
"position_qqq_year_fe","car_mm_qqq_0_20","rel_upstream_cloud",0.0102689943211246,0.00668785496754728,0.127329643754595,"",0.0093244755176506,0.276756694823118,"",-0.0085232512858431,0.0290612399280924,5441,124,45,44,-1.15397097219825e-05,TRUE
"position_qqq_year_fe","car_mm_qqq_0_20","rel_downstream_integrator",0.0129560222620295,0.00731524789224477,0.0790515332122987,"*",0.00831382733771248,0.126309964763595,"",-0.00379939577392038,0.0297114402979794,5441,124,45,44,-1.15397097219825e-05,TRUE
"position_qqq_year_fe","car_mm_qqq_0_20","rel_downstream_deployer",0.0144773045375897,0.00822914578976239,0.081041997887151,"*",0.00900259864209603,0.114960780103375,"",-0.00366624085142208,0.0326208499266015,5441,124,45,44,-1.15397097219825e-05,TRUE
"position_qqq_year_fe","car_mm_qqq_0_20","rel_downstream_enabler",0.00126657197181763,0.0100594567211718,0.900011638165107,"",0.00853024908073723,0.882642320492155,"",-0.0159250154274289,0.0184581593710642,5441,124,45,44,-1.15397097219825e-05,TRUE
"position_qqq_year_fe","car_mm_qqq_0_20","rel_competitor",0.0337150574896133,0.00899222182109524,0.000280235215721205,"***",0.0145624716181149,0.0253271520300298,"**",0.00436632438670694,0.0630637905925196,5441,124,45,44,-1.15397097219825e-05,TRUE
"position_qqq_year_fe","car_mm_qqq_0_20","rel_is_investor",0.00828052518552215,0.0116573176435541,0.480881755190446,"",0.0102041442786623,0.421454626936003,"",-0.0122845763186398,0.0288456266896841,5441,124,45,44,-1.15397097219825e-05,TRUE
"position_qqq_year_fe","car_mm_qqq_0_20","rel_is_owner",0.0301853070032561,0.0160559822370733,0.0661713121106037,"*",0.0193640385837286,0.126200367992681,"",-0.0088403484686685,0.0692109624751808,5441,124,45,44,-1.15397097219825e-05,TRUE
"position_soxx_year_fe","car_mm_soxx_0_20","rel_upstream_hardware",0.0289756880640504,0.00947061863970749,0.00272943409280103,"***",0.0120000363257289,0.019975908945059,"**",0.00479120396102917,0.0531601721670717,5441,124,45,44,-1.34984804285328e-05,TRUE
"position_soxx_year_fe","car_mm_soxx_0_20","rel_upstream_cloud",0.0122286915816274,0.00682026584694435,0.0755203846508836,"*",0.00895036156533863,0.178793753300892,"",-0.00580957689670378,0.0302669600599586,5441,124,45,44,-1.34984804285328e-05,TRUE
"position_soxx_year_fe","car_mm_soxx_0_20","rel_downstream_integrator",0.0116520808515632,0.0073605938564727,0.116012723336668,"",0.00752808887823212,0.128830408810799,"",-0.00351978537115659,0.0268239470742829,5441,124,45,44,-1.34984804285328e-05,TRUE
"position_soxx_year_fe","car_mm_soxx_0_20","rel_downstream_deployer",0.0152778172986992,0.00822651004681014,0.0657058624878989,"*",0.00834820348668149,0.0740186405225431,"*",-0.00154688131321701,0.0321025159106155,5441,124,45,44,-1.34984804285328e-05,TRUE
"position_soxx_year_fe","car_mm_soxx_0_20","rel_downstream_enabler",0.000172781312021856,0.00973073398774089,0.985862328860591,"",0.00691846535317518,0.980188675113692,"",-0.01377046942568,0.0141160320497237,5441,124,45,44,-1.34984804285328e-05,TRUE
"position_soxx_year_fe","car_mm_soxx_0_20","rel_competitor",0.0318236378427583,0.0091551151535378,0.000721053193362468,"***",0.0140215545610832,0.0281840669523632,"**",0.00356505143705715,0.0600822242484594,5441,124,45,44,-1.34984804285328e-05,TRUE
"position_soxx_year_fe","car_mm_soxx_0_20","rel_is_investor",0.00832592438217412,0.0119283077905824,0.488492075431979,"",0.0109649304565691,0.451708365693383,"",-0.0137724409160261,0.0304242896803744,5441,124,45,44,-1.34984804285328e-05,TRUE
"position_soxx_year_fe","car_mm_soxx_0_20","rel_is_owner",0.0188506726129129,0.0170175400751671,0.273491400156398,"",0.0195003932024535,0.33898676816125,"",-0.0204497875362155,0.0581511327620412,5441,124,45,44,-1.34984804285328e-05,TRUE
"position_mm_event_fe","car_mm_spy_0_20","rel_upstream_hardware",0.0336417763059158,0.0108125567222523,0.00232275245935539,"***",0.0148212245627989,0.028169929905373,"**",0.0037715609085014,0.0635119917033302,5441,124,45,44,-0.00485638517095474,TRUE
"position_mm_event_fe","car_mm_spy_0_20","rel_upstream_cloud",0.0115323326933484,0.00677227442263904,0.0912134795202859,"*",0.0102004072072971,0.26435888782201,"",-0.00902523723836062,0.0320899026250574,5441,124,45,44,-0.00485638517095474,TRUE
"position_mm_event_fe","car_mm_spy_0_20","rel_downstream_integrator",0.0126910711198819,0.00736377395297897,0.0873519561639634,"*",0.0103617261202103,0.227166406807864,"",-0.00819161571805694,0.0335737579578208,5441,124,45,44,-0.00485638517095474,TRUE
"position_mm_event_fe","car_mm_spy_0_20","rel_downstream_deployer",0.0121829599186904,0.00833849840394342,0.146576777683292,"",0.0107101469171621,0.261479417906258,"",-0.00940192289568701,0.0337678427330679,5441,124,45,44,-0.00485638517095474,TRUE
"position_mm_event_fe","car_mm_spy_0_20","rel_downstream_enabler",0.00270513528132722,0.00991044736033136,0.785347437537801,"",0.0100597627909651,0.789258584701174,"",-0.0175689844541797,0.0229792550168342,5441,124,45,44,-0.00485638517095474,TRUE
"position_mm_event_fe","car_mm_spy_0_20","rel_competitor",0.0325861205654995,0.00899319981387234,0.000435915200477089,"***",0.0154636456564151,0.0408282945857446,"**",0.00142119052687224,0.0637510506041267,5441,124,45,44,-0.00485638517095474,TRUE
"position_mm_event_fe","car_mm_spy_0_20","rel_is_investor",0.0089129423394081,0.0126172910821043,0.483344207109551,"",0.0108079521189608,0.414010108715557,"",-0.0128690539072863,0.0306949385861025,5441,124,45,44,-0.00485638517095474,TRUE
"position_mm_event_fe","car_mm_spy_0_20","rel_is_owner",0.0200062001025115,0.0168663583649025,0.241450506679174,"",0.0209080324386608,0.343862754559212,"",-0.0221311705197839,0.0621435707248069,5441,124,45,44,-0.00485638517095474,TRUE
"capability_all","car_mm_spy_0_20","aa_intelligence_index",-0.000587602512196008,0.000310918680722982,0.0711968571687602,"*",0.000330337699068867,0.0821830074191507,"*",-0.00125335439951577,7.81493751237487e-05,3842,87,45,44,6.13293515806064e-09,FALSE
"capability_closed","car_mm_spy_0_20","aa_intelligence_index",-0.00130547519946381,0.000401307679445161,0.00524269634662434,"***",0.000527363248968553,0.0172276065194513,"**",-0.00236830599138835,-0.000242644407539277,2207,50,45,44,-1.22179923065592e-06,TRUE
"capability_open","car_mm_spy_0_20","aa_intelligence_index",-0.000669644314935528,0.000534264727180326,0.247278863567243,"",0.000530173976103627,0.214685319298561,"",-0.00174488697534725,0.000405598345476192,1635,37,45,36,-0.000113550242924066,TRUE
"capability_placebo","car_mm_spy_0_20","aa_intelligence_index",-0.000813952156847778,0.00163473415904058,0.623339647514775,"",0.000830924448074527,0.506568585579709,"",-0.0113718483143757,0.00974394400068012,174,87,2,1,-0.00528426092485411,TRUE
"capability_x_hardware","car_mm_spy_0_20","intel_c",-0.00123620973574422,0.000422329250904132,0.0064070585886765,"***",0.000472196638442683,0.0120828496182194,"**",-0.00218785952962295,-0.000284559941865491,3842,87,45,44,5.91815672099734e-09,FALSE
"capability_x_hardware","car_mm_spy_0_20","rel_upstream_hardware",0.0185267273579912,0.00915650491912136,0.0462560591828633,"**",0.0098944090745173,0.0677999794622351,"*",-0.00141414385907312,0.0384675985750555,3842,87,45,44,5.91815672099734e-09,FALSE
"capability_x_hardware","car_mm_spy_0_20","intel_c:rel_upstream_hardware",0.0015358349123472,0.00074008924936703,0.0449535262624265,"**",0.000766510576584304,0.0512868668749224,"*",-8.96564916899709e-06,0.0030806354738634,3842,87,45,44,5.91815672099734e-09,FALSE
"capability_all_ff3","car_ff3_0_20","aa_intelligence_index",-0.00080176294526355,0.000347915029937158,0.0303780019023414,"**",0.000356835031178343,0.0297147958440252,"**",-0.00152091669652601,-8.26091940010879e-05,3842,87,45,44,6.11153574740056e-09,FALSE
"capability_x_hardware_ff3","car_ff3_0_20","intel_c",-0.00148713551330772,0.000447110652909323,0.00230220112964342,"***",0.000492136981936285,0.00417741287491331,"***",-0.00247897242888673,-0.000495298597728716,3842,87,45,44,3.28330618217215e-09,FALSE
"capability_x_hardware_ff3","car_ff3_0_20","rel_upstream_hardware",0.0194972213138625,0.00925887485889804,0.0382444708187189,"**",0.00995102941577128,0.0564304759154599,"*",-0.000557760703018991,0.039552203330744,3842,87,45,44,3.28330618217215e-09,FALSE
"capability_x_hardware_ff3","car_ff3_0_20","intel_c:rel_upstream_hardware",0.0016226902233949,0.000737273221101107,0.0340388655937669,"**",0.000762671107092293,0.0390075826838055,"**",8.56276041959689e-05,0.00315975284259384,3842,87,45,44,3.28330618217215e-09,FALSE
"volume_full_av_pre_m10_m2","av_pre_m10_m2","rel_upstream_hardware",-0.076536505781045,0.0388184264856428,0.0509276490611186,"*",0.0814929068591514,0.352765726447538,"",-0.240774667812145,0.0877016562500547,5441,124,45,44,-0.241052327791322,TRUE
"volume_full_av_pre_m10_m2","av_pre_m10_m2","rel_upstream_cloud",0.0744500951998071,0.051148354198078,0.148155553232551,"",0.0708469096562252,0.29906098817603,"",-0.068332469270896,0.21723265967051,5441,124,45,44,-0.241052327791322,TRUE
"volume_full_av_pre_m10_m2","av_pre_m10_m2","rel_downstream_integrator",-0.0411970539507336,0.0388237737393176,0.290736076911363,"",0.0747671350241133,0.58441756074158,"",-0.19188031351239,0.109486205610923,5441,124,45,44,-0.241052327791322,TRUE
"volume_full_av_pre_m10_m2","av_pre_m10_m2","rel_downstream_deployer",-0.11161567786414,0.04140764643446,0.00802154969809999,"***",0.0612435944452103,0.0751813075459455,"*",-0.235044032251401,0.0118126765231207,5441,124,45,44,-0.241052327791322,TRUE
"volume_full_av_pre_m10_m2","av_pre_m10_m2","rel_downstream_enabler",-0.333229288135351,0.0507562505898238,1.33647572116594e-09,"***",0.075034764766805,5.95506106794617e-05,"***",-0.484451920002385,-0.182006656268317,5441,124,45,44,-0.241052327791322,TRUE
"volume_full_av_pre_m10_m2","av_pre_m10_m2","rel_competitor",0.0123801028825337,0.0467443795457881,0.791606441306104,"",0.113374228379903,0.913542894674782,"",-0.216110640771905,0.240870846536972,5441,124,45,44,-0.241052327791322,TRUE
"volume_full_av_pre_m10_m2","av_pre_m10_m2","rel_is_investor",-0.0967210604364139,0.0799189756159592,0.232103156758877,"",0.12315636933778,0.43645604225522,"",-0.344926413785996,0.151484292913168,5441,124,45,44,-0.241052327791322,TRUE
"volume_full_av_pre_m10_m2","av_pre_m10_m2","rel_is_owner",-0.057995513172667,0.125424887455088,0.645908249648441,"",0.144644272075181,0.690395443898696,"",-0.349506888942007,0.233515862596674,5441,124,45,44,-0.241052327791322,TRUE
"volume_2025_2026_av_pre_m10_m2","av_pre_m10_m2","rel_upstream_hardware",-0.0903746244794688,0.0437212900897918,0.0426060870532683,"**",0.0803618567500761,0.266858013081742,"",-0.252333304795667,0.0715840558367293,3023,68,45,44,-0.0624475863451297,TRUE
"volume_2025_2026_av_pre_m10_m2","av_pre_m10_m2","rel_upstream_cloud",-0.0221373278286991,0.0655356966289739,0.736605035507347,"",0.0843802018601026,0.79427440265412,"",-0.192194450582569,0.147919794925171,3023,68,45,44,-0.0624475863451297,TRUE
"volume_2025_2026_av_pre_m10_m2","av_pre_m10_m2","rel_downstream_integrator",-0.00317783110035248,0.0569809019685559,0.955691634929238,"",0.098445000354192,0.974394532714229,"",-0.201580692680296,0.195225030479591,3023,68,45,44,-0.0624475863451297,TRUE
"volume_2025_2026_av_pre_m10_m2","av_pre_m10_m2","rel_downstream_deployer",-0.159694103526936,0.0494954313675016,0.00194102577203552,"***",0.116297062117452,0.176661181602028,"",-0.39407543152152,0.0746872244676489,3023,68,45,44,-0.0624475863451297,TRUE
"volume_2025_2026_av_pre_m10_m2","av_pre_m10_m2","rel_downstream_enabler",-0.308955715089716,0.0695900321509097,3.45181419804042e-05,"***",0.0804537945375334,0.000390336301027981,"***",-0.471099683841621,-0.14681174633781,3023,68,45,44,-0.0624475863451297,TRUE
"volume_2025_2026_av_pre_m10_m2","av_pre_m10_m2","rel_competitor",0.0892038895432912,0.0587053303340705,0.133721458547063,"",0.12295605932106,0.471990239705225,"",-0.158597765493758,0.33700554458034,3023,68,45,44,-0.0624475863451297,TRUE
"volume_2025_2026_av_pre_m10_m2","av_pre_m10_m2","rel_is_investor",-0.0852690986348446,0.106609362552784,0.430377332762911,"",0.126363861018473,0.503339556816169,"",-0.339938726712994,0.169400529443304,3023,68,45,44,-0.0624475863451297,TRUE
"volume_2025_2026_av_pre_m10_m2","av_pre_m10_m2","rel_is_owner",-0.0400848512554358,0.205874851497204,0.847546221309629,"",0.193953963698161,0.837219469802,"",-0.430973380627553,0.350803678116681,3023,68,45,44,-0.0624475863451297,TRUE
"volume_full_av_0_1","av_0_1","rel_upstream_hardware",-0.00742010030918017,0.0497974095676704,0.881796797097048,"",0.103579847102222,0.943215807420503,"",-0.216171565524841,0.201331364906481,5441,124,45,44,-0.280864846921894,TRUE
"volume_full_av_0_1","av_0_1","rel_upstream_cloud",0.0950870875556313,0.0674898038120046,0.161480614747591,"",0.11194576521303,0.400255055926095,"",-0.130524777751003,0.320698952862266,5441,124,45,44,-0.280864846921894,TRUE
"volume_full_av_0_1","av_0_1","rel_downstream_integrator",-0.0515805590610148,0.0538371932729705,0.339923214931362,"",0.0990356787125317,0.605097918522403,"",-0.251173854651282,0.148012736529252,5441,124,45,44,-0.280864846921894,TRUE
"volume_full_av_0_1","av_0_1","rel_downstream_deployer",-0.170011116513927,0.0572938173348066,0.00361676519225683,"***",0.0859808117168455,0.0542920711154585,"*",-0.343294056472412,0.00327182344455787,5441,124,45,44,-0.280864846921894,TRUE
"volume_full_av_0_1","av_0_1","rel_downstream_enabler",-0.456708197381761,0.0751134021138447,1.42004547059922e-08,"***",0.0940640026665612,1.55265251273569e-05,"***",-0.64628173827834,-0.267134656485181,5441,124,45,44,-0.280864846921894,TRUE
"volume_full_av_0_1","av_0_1","rel_competitor",0.102551484072531,0.0632609022377754,0.107765851846516,"",0.129224084934331,0.431690776770094,"",-0.157882546541288,0.362985514686349,5441,124,45,44,-0.280864846921894,TRUE
"volume_full_av_0_1","av_0_1","rel_is_investor",-0.0625819533937985,0.119434097665222,0.602694452502287,"",0.200856312986346,0.756834557598619,"",-0.467381253708807,0.34221734692121,5441,124,45,44,-0.280864846921894,TRUE
"volume_full_av_0_1","av_0_1","rel_is_owner",0.562780713171091,0.201023432915408,0.00737125917281509,"***",0.254566458412772,0.0322980989175993,"**",0.0497357273450035,1.07582569899718,5441,124,45,44,-0.280864846921894,TRUE
"volume_2025_2026_av_0_1","av_0_1","rel_upstream_hardware",-0.063614109618209,0.0627104963606085,0.314047029998989,"",0.0972701220079461,0.516519191106821,"",-0.259649159475212,0.132420940238794,3023,68,45,44,-0.155007233687712,TRUE
"volume_2025_2026_av_0_1","av_0_1","rel_upstream_cloud",0.0120657904432433,0.0813940887424573,0.882610998416932,"",0.0976702224031512,0.90224525635857,"",-0.184775608776779,0.208907189663265,3023,68,45,44,-0.155007233687712,TRUE
"volume_2025_2026_av_0_1","av_0_1","rel_downstream_integrator",-0.0090264718340348,0.0730100772275079,0.901977406678265,"",0.118143418603324,0.939445105337684,"",-0.24712888682111,0.229075943153041,3023,68,45,44,-0.155007233687712,TRUE
"volume_2025_2026_av_0_1","av_0_1","rel_downstream_deployer",-0.233374386937983,0.0702483155988211,0.00145031618501683,"***",0.117361800550228,0.0529981678239258,"*",-0.46990155424525,0.00315278036928332,3023,68,45,44,-0.155007233687712,TRUE
"volume_2025_2026_av_0_1","av_0_1","rel_downstream_enabler",-0.377724948853652,0.107007007059867,0.000757123279412664,"***",0.0969137872181774,0.000327604340625146,"***",-0.573041853129709,-0.182408044577595,3023,68,45,44,-0.155007233687712,TRUE
"volume_2025_2026_av_0_1","av_0_1","rel_competitor",0.0473424030119751,0.0773215786259083,0.542594798672998,"",0.134761936777156,0.727037023380254,"",-0.224252434637945,0.318937240661896,3023,68,45,44,-0.155007233687712,TRUE
"volume_2025_2026_av_0_1","av_0_1","rel_is_investor",0.0242488823637228,0.153211381359599,0.875351135765735,"",0.193975649884616,0.901085104955245,"",-0.366683352645389,0.415181117372834,3023,68,45,44,-0.155007233687712,TRUE
"volume_2025_2026_av_0_1","av_0_1","rel_is_owner",0.597920439747768,0.292051702535415,0.0536985122869025,"*",0.264118413295934,0.0285666951439878,"**",0.0656247537776055,1.13021612571793,3023,68,45,44,-0.155007233687712,TRUE
