"benchmark","outcome","term","estimand","method","estimate","estimate_pp","se","p","stars","ci95_low","ci95_high","observations","events","firms","df"
"fama_french_3factor","car_ff3_0_20","rel_competitor","change_after_2025","event_CR2",0.0411644180357993,4.11644180357993,0.0151786278828855,0.00866823814147554,"***",0.010815491079638,0.0715133449919605,5441,124,45,61.2610329887465
"fama_french_3factor","car_ff3_0_20","rel_competitor","change_after_2025","event_x_firm_HC1",0.0411644180357981,4.11644180357981,0.0189551149476359,0.0353131246607717,"**",0.0029628940004784,0.0793659420711178,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_competitor","late_2025_2026","event_CR2",0.0480179809817135,4.80179809817135,0.0100667798455748,1.18015765352006e-05,"***",0.0278899451293037,0.0681460168341232,5441,124,45,61.2610329887465
"fama_french_3factor","car_ff3_0_20","rel_competitor","late_2025_2026","event_x_firm_HC1",0.0480179809817148,4.80179809817148,0.0156553225616859,0.00368894614642027,"***",0.0164667515234352,0.0795692104399944,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_is_investor","early_2022_2024","event_CR2",0.0237031304956827,2.37031304956827,0.0167278014499662,0.173099065251041,"",-0.0113715886693097,0.0587778496606752,5441,124,45,18.5085459606337
"fama_french_3factor","car_ff3_0_20","rel_is_investor","early_2022_2024","event_x_firm_HC1",0.0237031304956827,2.37031304956827,0.0164919270640073,0.157718867191137,"",-0.00953416454920905,0.0569404255405745,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_is_investor","change_after_2025","event_CR2",-0.0248409454278978,-2.48409454278978,0.0220055654464867,0.273381499183948,"",-0.070982037573868,0.0213001467180724,5441,124,45,18.5085459606337
"fama_french_3factor","car_ff3_0_20","rel_is_investor","change_after_2025","event_x_firm_HC1",-0.0248409454278966,-2.48409454278966,0.019200495847894,0.202496740860292,"",-0.0635370021729844,0.0138551113171912,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_is_investor","late_2025_2026","event_CR2",-0.00113781493221506,-0.113781493221506,0.0146576721785034,0.938958681021149,"",-0.0318719037370872,0.0295962738726571,5441,124,45,18.5085459606337
"fama_french_3factor","car_ff3_0_20","rel_is_investor","late_2025_2026","event_x_firm_HC1",-0.00113781493221386,-0.113781493221386,0.0110323029065818,0.918324583909927,"",-0.0233719604815805,0.0210963306171528,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_is_owner","early_2022_2024","event_CR2",-0.00228952001222082,-0.228952001222082,0.0249759626140201,0.927683305669817,"",-0.0536984740818124,0.0491194340573707,5441,124,45,25.2910962607248
"fama_french_3factor","car_ff3_0_20","rel_is_owner","early_2022_2024","event_x_firm_HC1",-0.00228952001221967,-0.228952001221967,0.0234906197335841,0.922799530940404,"",-0.049631753326874,0.0450527133024346,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_is_owner","change_after_2025","event_CR2",0.0549419421440465,5.49419421440465,0.033754881920863,0.115989807787564,"",-0.0145369885026557,0.124420872790749,5441,124,45,25.2910962607248
"fama_french_3factor","car_ff3_0_20","rel_is_owner","change_after_2025","event_x_firm_HC1",0.0549419421440463,5.49419421440463,0.0325671225121865,0.098674555177034,"*",-0.010692780559952,0.120576664848045,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_is_owner","late_2025_2026","event_CR2",0.0526524221318257,5.26524221318257,0.0233526126540957,0.0330547758074802,"**",0.0045848697458585,0.100719974517793,5441,124,45,25.2910962607248
"fama_french_3factor","car_ff3_0_20","rel_is_owner","late_2025_2026","event_x_firm_HC1",0.0526524221318267,5.26524221318267,0.025205171639465,0.0425291013247647,"**",0.00185473650135931,0.103450107762294,5441,124,45,44
