"portfolio","event_window","nw_lag","daily_alpha","daily_se","p","stars","ci95_low","ci95_high","annualized_alpha_arithmetic","active_day_alpha","daily_mean_return","annualized_mean_return_arithmetic","observations","active_days","share_active_days"
"deployer_minus_unrelated","pre_11_1",40,-0.000538340648449058,0.00128143139030828,0.674510160293429,"",-0.00305341513028646,0.00197673383338834,-0.087790365332596,-0.000538340648449058,-0.000359647663112418,-0.0906312111043293,870,563,0.647126436781609
"deployer_minus_unrelated","0_20",5,-4.67825148637176e-05,0.00115518914257533,0.967705560555363,"",-0.00231404421853946,0.00222047918881203,-0.00957871991834619,-4.67825148637176e-05,-0.000158299391563451,-0.0398914466739896,880,715,0.8125
"deployer_minus_unrelated","0_20",10,-4.67825148637176e-05,0.00121438638221442,0.969279006069675,"",-0.00243022920457371,0.00233666417484628,-0.00957871991834619,-4.67825148637176e-05,-0.000158299391563451,-0.0398914466739896,880,715,0.8125
"deployer_minus_unrelated","0_20",20,-4.67825148637176e-05,0.00123862740952982,0.969879953903175,"",-0.00247780648076542,0.00238424145103798,-0.00957871991834619,-4.67825148637176e-05,-0.000158299391563451,-0.0398914466739896,880,715,0.8125
"deployer_minus_unrelated","0_20",40,-4.67825148637176e-05,0.00125222753053168,0.970206926799157,"",-0.00250449910829838,0.00241093407857094,-0.00957871991834619,-4.67825148637176e-05,-0.000158299391563451,-0.0398914466739896,880,715,0.8125
"deployer_minus_unrelated","0_10",5,-0.000270052935781782,0.00125533929263411,0.829721711771702,"",-0.00273391627238407,0.00219381040082051,-0.0440391153068691,-0.000270052935781782,-5.85337328257205e-05,-0.0147505006720816,870,563,0.647126436781609
"deployer_minus_unrelated","0_10",10,-0.000270052935781782,0.00133827505763392,0.840126881233372,"",-0.00289669488679939,0.00235658901523583,-0.0440391153068691,-0.000270052935781782,-5.85337328257205e-05,-0.0147505006720816,870,563,0.647126436781609
"deployer_minus_unrelated","0_10",20,-0.000270052935781782,0.00137134763617726,0.843932263253556,"",-0.0029616066713647,0.00242150079980114,-0.0440391153068691,-0.000270052935781782,-5.85337328257205e-05,-0.0147505006720816,870,563,0.647126436781609
"deployer_minus_unrelated","0_10",40,-0.000270052935781782,0.00137896295956114,0.844783142328178,"",-0.0029765533206029,0.00243644744903933,-0.0440391153068691,-0.000270052935781782,-5.85337328257205e-05,-0.0147505006720816,870,563,0.647126436781609
"hardware_minus_unrelated","pre_21_1",5,-0.000278192916034031,0.00115127589653463,0.809116613053089,"",-0.00253777418664635,0.00198138835457829,-0.056959999557968,-0.000278192916034031,2.68314730478094e-05,0.00676153120804797,880,715,0.8125
"hardware_minus_unrelated","pre_21_1",10,-0.000278192916034031,0.00123635229560594,0.822023162920807,"",-0.0027047515710347,0.00214836573896663,-0.056959999557968,-0.000278192916034031,2.68314730478094e-05,0.00676153120804797,880,715,0.8125
"hardware_minus_unrelated","pre_21_1",20,-0.000278192916034031,0.0013897041433353,0.841385178190309,"",-0.0030057315220491,0.00244934568998103,-0.056959999557968,-0.000278192916034031,2.68314730478094e-05,0.00676153120804797,880,715,0.8125
"hardware_minus_unrelated","pre_21_1",40,-0.000278192916034031,0.00154538573864575,0.857182271460867,"",-0.00331128401211807,0.00275489818005,-0.056959999557968,-0.000278192916034031,2.68314730478094e-05,0.00676153120804797,880,715,0.8125
