"method","term","coef","se","p","df","stars","observations","cluster_1","cluster_2","vcov_min_eigenvalue_before_fix","vcov_eigenvalue_fix_applied"
"event_date_CR2","rel_is_owner",0.0318103372663674,0.0176477915819854,0.0784994902407568,42.8623258777056,"*",5441,NA,NA,NA,NA
"firm_CR2","rel_upstream_hardware",0.0347575873945931,0.0153798210540761,0.0753402766037773,4.82003525045994,"*",5441,NA,NA,NA,NA
"firm_CR2","rel_upstream_cloud",0.0105007390074737,0.0115770109445704,0.411788104920401,4.3527772907994,"",5441,NA,NA,NA,NA
"firm_CR2","rel_downstream_integrator",0.0131537829608056,0.0119236576142861,0.318212471112588,5.21819865702919,"",5441,NA,NA,NA,NA
"firm_CR2","rel_downstream_deployer",0.0126140572399687,0.0127174447000318,0.373670067200461,4.30639883763426,"",5441,NA,NA,NA,NA
"firm_CR2","rel_downstream_enabler",0.00251331681635772,0.0106735292259325,0.825656317756943,3.91113351043963,"",5441,NA,NA,NA,NA
"firm_CR2","rel_competitor",0.0338531159251044,0.0162970210064941,0.0921041482351381,5.02504835417371,"*",5441,NA,NA,NA,NA
"firm_CR2","rel_is_investor",0.00480290141076849,0.00670389909641931,0.531803890751636,2.64207321778198,"",5441,NA,NA,NA,NA
"firm_CR2","rel_is_owner",0.0318103372663685,0.0201464983471778,0.206626873913958,3.2074752592251,"",5441,NA,NA,NA,NA
"event_id_x_firm_HC1","rel_upstream_hardware",0.0347575873945921,0.0136706084349473,0.0146006196371323,44,"**",5441,124,45,-1.2941640160187e-05,TRUE
"event_id_x_firm_HC1","rel_upstream_cloud",0.0105007390074775,0.0089362412445514,0.246285303910138,44,"",5441,124,45,-1.2941640160187e-05,TRUE
"event_id_x_firm_HC1","rel_downstream_integrator",0.0131537829608059,0.00852442655659425,0.129976264341399,44,"",5441,124,45,-1.2941640160187e-05,TRUE
"event_id_x_firm_HC1","rel_downstream_deployer",0.01261405723997,0.00933638178162064,0.183581494033192,44,"",5441,124,45,-1.2941640160187e-05,TRUE
"event_id_x_firm_HC1","rel_downstream_enabler",0.00251331681635793,0.00901402687692581,0.781687073033742,44,"",5441,124,45,-1.2941640160187e-05,TRUE
"event_id_x_firm_HC1","rel_competitor",0.0338531159251067,0.0142852935532589,0.0222486307413936,44,"**",5441,124,45,-1.2941640160187e-05,TRUE
"event_id_x_firm_HC1","rel_is_investor",0.00480290141076883,0.00982339106169006,0.627323122090392,44,"",5441,124,45,-1.2941640160187e-05,TRUE
"event_id_x_firm_HC1","rel_is_owner",0.0318103372663695,0.0196639229142401,0.112874741297698,44,"",5441,124,45,-1.2941640160187e-05,TRUE
"event_date_x_firm_HC1","rel_upstream_hardware",0.0347575873945921,0.0150402568226415,0.0255810122675355,44,"**",5441,109,45,-1.24510662140523e-05,TRUE
"event_date_x_firm_HC1","rel_upstream_cloud",0.0105007390074775,0.00935625373925982,0.267812374325285,44,"",5441,109,45,-1.24510662140523e-05,TRUE
"event_date_x_firm_HC1","rel_downstream_integrator",0.0131537829608059,0.00895447333209438,0.14895691000074,44,"",5441,109,45,-1.24510662140523e-05,TRUE
"event_date_x_firm_HC1","rel_downstream_deployer",0.01261405723997,0.0106342959655583,0.241921952990471,44,"",5441,109,45,-1.24510662140523e-05,TRUE
"event_date_x_firm_HC1","rel_downstream_enabler",0.00251331681635793,0.0100421200583434,0.803537691205128,44,"",5441,109,45,-1.24510662140523e-05,TRUE
"event_date_x_firm_HC1","rel_competitor",0.0338531159251067,0.0148318230959724,0.0273513563548347,44,"**",5441,109,45,-1.24510662140523e-05,TRUE
"event_date_x_firm_HC1","rel_is_investor",0.00480290141076883,0.00800480255239218,0.551582338477506,44,"",5441,109,45,-1.24510662140523e-05,TRUE
"event_date_x_firm_HC1","rel_is_owner",0.0318103372663695,0.0200678850815675,0.120097110544881,44,"",5441,109,45,-1.24510662140523e-05,TRUE
