"term","bandwidth_trading_days","estimate","se","t","p","stars","ci95_low","ci95_high","events","unique_event_dates"
"rel_downstream_deployer",0,0.0124434815147802,0.00858843600253666,1.44886467234604,0.150299709061859,"",-0.00458209119246667,0.029469054222027,123,108
"rel_downstream_deployer",5,0.0124434815147802,0.011942457655012,1.04195316192375,0.299781925041337,"",-0.011231047939543,0.0361180109691033,123,108
"rel_downstream_deployer",10,0.0124434815147802,0.0131206110690438,0.948391919347323,0.345067040352381,"",-0.0135665996750353,0.0384535627045957,123,108
"rel_downstream_deployer",20,0.0124434815147802,0.0141022856459163,0.882373384514698,0.379552931656624,"",-0.0155126550311516,0.0403996180607119,123,108
"rel_downstream_deployer",40,0.0124434815147802,0.014280901138141,0.871337277277727,0.385520863861926,"",-0.0158667394125936,0.040753702442154,123,108
"rel_downstream_enabler",0,0.00314754800260312,0.0105219023266529,0.299142484399433,0.765411581613308,"",-0.0177108961923664,0.0240059921975727,123,108
"rel_downstream_enabler",5,0.00314754800260312,0.0152237021433149,0.206753125683379,0.836595595760629,"",-0.0270316659588124,0.0333267619640186,123,108
"rel_downstream_enabler",10,0.00314754800260312,0.0179754720803494,0.17510238332177,0.861330104538741,"",-0.032486728920539,0.0387818249257452,123,108
"rel_downstream_enabler",20,0.00314754800260312,0.0204999366083968,0.153539401742046,0.878262118059974,"",-0.0374911854195386,0.0437862814247448,123,108
"rel_downstream_enabler",40,0.00314754800260312,0.0221580953003741,0.142049574204601,0.887307970303651,"",-0.0407782916356266,0.0470733876408328,123,108
"rel_competitor",0,0.0211809044095683,0.00889398333194692,2.38148685679308,0.0190096297432981,"**",0.00354961975769695,0.0388121890614396,123,108
"rel_competitor",5,0.0211809044095683,0.0116601096744772,1.81652703112485,0.0720891171822846,"*",-0.00193390310354006,0.0442957119226767,123,108
"rel_competitor",10,0.0211809044095683,0.0127603184380279,1.65990406214672,0.0998618180483853,"*",-0.00411493866012453,0.0464767474792611,123,108
"rel_competitor",20,0.0211809044095683,0.0136560953683336,1.55102200433395,0.123849241999874,"",-0.00589071195014949,0.0482525207692861,123,108
"rel_competitor",40,0.0211809044095683,0.0143316284258799,1.47791331034791,0.142368571609688,"",-0.00722987744943322,0.0495916862685698,123,108
"rel_is_investor",0,0.0123617766722572,0.0208662922202136,0.592428043362783,0.556740269095231,"",-0.0297481058630187,0.0544716592075331,45,43
"rel_is_investor",5,0.0123617766722572,0.0180463856961234,0.68500013689238,0.497107067994196,"",-0.0240573041030939,0.0487808574476083,45,43
"rel_is_investor",10,0.0123617766722572,0.0181995688217617,0.679234590298421,0.500715540588508,"",-0.0243664401661251,0.0490899935106395,45,43
"rel_is_investor",20,0.0123617766722572,0.0183986937796302,0.67188338587076,0.505337214353759,"",-0.024768290600174,0.0494918439446884,45,43
"rel_is_investor",40,0.0123617766722572,0.0147144921416195,0.840108958792558,0.405604420884865,"",-0.0173332706850108,0.0420568240295252,45,43
"rel_is_owner",0,-0.0112132959028027,0.0353357769673283,-0.317335484462972,0.75334335562103,"",-0.0835953538035619,0.0611687619979565,30,29
"rel_is_owner",5,-0.0112132959028027,0.0364517077459213,-0.307620591632154,0.760647642969394,"",-0.0858812343801808,0.0634546425745755,30,29
"rel_is_owner",10,-0.0112132959028027,0.0366166010129132,-0.306235302912146,0.761691046244043,"",-0.086219002925921,0.0637924111203157,30,29
"rel_is_owner",20,-0.0112132959028027,0.0365819089408033,-0.306525717970267,0.761472266899503,"",-0.0861479394376474,0.063721347632042,30,29
"rel_is_owner",40,-0.0112132959028027,0.0372717371820344,-0.300852515889913,0.765749697317706,"",-0.0875609885335972,0.0651343967279919,30,29
