"date","portfolio","event_window","event_portfolio_return","active_events"
2024-12-06,"hardware_minus_unrelated","0_20",0.00187268450529348,6
2024-12-06,"hardware_minus_unrelated","pre_11_1",0.00187268450529348,4
2024-12-06,"deployer_minus_unrelated","0_20",0.00249406085602501,6
2024-12-06,"deployer_minus_unrelated","0_10",0.00249406085602501,4
2024-12-06,"hardware_minus_unrelated","0_10",0.00187268450529348,4
2024-12-06,"competitor_minus_unrelated","pre_21_1",0.00723535091808992,5
2024-12-06,"deployer_minus_unrelated","pre_11_1",0.00249406085602501,4
2024-12-06,"competitor_minus_unrelated","pre_11_1",0.0078187990083894,4
2024-12-06,"competitor_minus_unrelated","0_20",0.00526817743302747,6
2024-12-06,"competitor_minus_unrelated","0_10",0.00545148687109521,4
2024-12-09,"hardware_minus_unrelated","0_20",0.0393192806997412,6
2024-12-09,"hardware_minus_unrelated","0_10",0.0393192806997412,4
2024-12-09,"competitor_minus_unrelated","pre_21_1",0.0405595236859057,5
2024-12-09,"deployer_minus_unrelated","0_10",0.074979124891798,4
2024-12-09,"competitor_minus_unrelated","pre_11_1",0.0399402096897256,4
2024-12-09,"deployer_minus_unrelated","pre_21_1",0.074979124891798,5
2024-12-09,"hardware_minus_unrelated","pre_11_1",0.0393192806997412,4
2024-12-09,"competitor_minus_unrelated","0_20",0.0431716596414495,6
2024-12-09,"hardware_minus_unrelated","pre_21_1",0.0393192806997412,5
2024-12-09,"deployer_minus_unrelated","pre_11_1",0.074979124891798,4
2024-12-09,"deployer_minus_unrelated","0_20",0.074979124891798,6
2024-12-09,"competitor_minus_unrelated","0_10",0.0432390996268613,4
2024-12-10,"hardware_minus_unrelated","pre_11_1",-0.0387001534158664,5
2024-12-10,"competitor_minus_unrelated","pre_21_1",-0.00567699151107602,5
2024-12-10,"deployer_minus_unrelated","0_20",-0.0369213581095084,6
2024-12-10,"deployer_minus_unrelated","0_10",-0.0369213581095084,4
2024-12-10,"hardware_minus_unrelated","0_10",-0.0387001534158664,4
2024-12-10,"hardware_minus_unrelated","pre_21_1",-0.0387001534158664,5
2024-12-10,"competitor_minus_unrelated","pre_11_1",-0.00567699151107602,5
2024-12-10,"deployer_minus_unrelated","pre_11_1",-0.0369213581095084,5
2024-12-10,"competitor_minus_unrelated","0_20",0.00516393703463067,6
2024-12-10,"hardware_minus_unrelated","0_20",-0.0387001534158664,6
2024-12-10,"competitor_minus_unrelated","0_10",0.00476213738712588,4
2024-12-10,"deployer_minus_unrelated","pre_21_1",-0.0369213581095084,5
2024-12-11,"hardware_minus_unrelated","pre_11_1",-0.0229438053646253,4
2024-12-11,"hardware_minus_unrelated","0_10",-0.0229438053646253,5
2024-12-11,"competitor_minus_unrelated","pre_21_1",-0.0268540298949514,4
2024-12-11,"deployer_minus_unrelated","0_20",-0.0463219311861984,7
2024-12-11,"deployer_minus_unrelated","pre_11_1",-0.0463219311861984,4
2024-12-11,"hardware_minus_unrelated","pre_21_1",-0.0229438053646253,4
2024-12-11,"competitor_minus_unrelated","0_20",-0.021790761559945,7
2024-12-11,"competitor_minus_unrelated","pre_11_1",-0.0268540298949514,4
2024-12-11,"deployer_minus_unrelated","pre_21_1",-0.0463219311861984,4
2024-12-11,"hardware_minus_unrelated","0_20",-0.0229438053646253,7
2024-12-11,"competitor_minus_unrelated","0_10",-0.0232275803018236,5
2024-12-11,"deployer_minus_unrelated","0_10",-0.0463219311861984,5
2024-12-12,"competitor_minus_unrelated","pre_21_1",0.00144310392692463,3
2024-12-12,"hardware_minus_unrelated","0_10",0.0161384215291041,6
2024-12-12,"deployer_minus_unrelated","pre_11_1",0.0307386398803726,3
2024-12-12,"hardware_minus_unrelated","0_20",0.0161384215291041,7
2024-12-12,"deployer_minus_unrelated","0_20",0.0307386398803726,7
2024-12-12,"deployer_minus_unrelated","pre_21_1",0.0307386398803726,3
2024-12-12,"deployer_minus_unrelated","0_10",0.0307386398803726,6
