"dropped_firm","variable","beta","se","p","n"
"SHOP","upstream_hardware",0.0228949196352889,0.00837015500083989,0.00821824446857094,4769
"SHOP","downstream_deployer",-0.019002146638637,0.0051139100582721,0.000452145143503856,4769
"SIE GR","upstream_hardware",0.0229347763741167,0.0085244932069522,0.00926648048380172,4769
"SIE GR","downstream_deployer",-0.020222578014748,0.00510070813899473,0.000201184710163228,4769
"SMCI","upstream_hardware",0.0204289747431043,0.00754665328658689,0.00886574667112453,4769
"SMCI","downstream_deployer",-0.0180017612253794,0.00489526570621344,0.000511092091123971,4769
"SNAP","upstream_hardware",0.0224597841849104,0.00842620037949578,0.00990224193685843,4769
"SNAP","downstream_deployer",-0.018605782311749,0.00534063836038927,0.000938353316196336,4769
"SNOW","upstream_hardware",0.0225685903524043,0.00840683398485828,0.00941322575183604,4805
"SNOW","downstream_deployer",-0.0192593997968237,0.00510678241727371,0.000378234468569906,4805
"SNPS","upstream_hardware",0.0229556840590788,0.00841480931499435,0.00838096653337196,4769
"SNPS","downstream_deployer",-0.0189785705125155,0.0051213961191626,0.000466890854722188,4769
"SOUN","upstream_hardware",0.0238079271270953,0.00858568408542711,0.00742298435833113,4769
"SOUN","downstream_deployer",-0.0179232153482884,0.00472082143097137,0.000348561852430139,4769
"STNE","upstream_hardware",0.0226170685297344,0.0085714167680265,0.0106284756385049,4769
"STNE","downstream_deployer",-0.0188350559571212,0.00534219205825045,0.000823925844361703,4769
"STX","upstream_hardware",0.0224275710080991,0.00869743944178745,0.0124335951715414,4769
"STX","downstream_deployer",-0.0186806415471191,0.00514613509973934,0.000593931736998755,4769
"TDC","upstream_hardware",0.0224787750563842,0.00839936882327092,0.00962332340094192,4769
"TDC","downstream_deployer",-0.0194934129715556,0.00519045682141732,0.000397869838687253,4769
"TEMN SW","upstream_hardware",0.0228848279286594,0.00848527754047868,0.00910616883047221,4769
"TEMN SW","downstream_deployer",-0.0190339885811065,0.00509634687881244,0.000425364632234524,4769
"TIETO FH","upstream_hardware",0.0224627324007006,0.00849409834143928,0.0104660079854882,4769
"TIETO FH","downstream_deployer",-0.0194569886803916,0.00508145558042608,0.000313813778922414,4769
"TRI","upstream_hardware",0.0225811625599075,0.00852722708578478,0.010366744750512,4769
"TRI","downstream_deployer",-0.0193520950602255,0.00506218956405835,0.000320143517334567,4769
"TSLA","upstream_hardware",0.0227084491221033,0.00835843181089308,0.00863609038676847,4769
"TSLA","downstream_deployer",-0.0193642917899828,0.00539378570887743,0.000673591527743066,4769
"TSM","upstream_hardware",0.0215603623207027,0.00859518951906998,0.0148959519790815,4769
"TSM","downstream_deployer",-0.0185032023071409,0.00508799340249818,0.000581647189429757,4769
"TTD","upstream_hardware",0.0224456263836791,0.00829858822525409,0.00891974476881063,4769
"TTD","downstream_deployer",-0.0195842429117496,0.0050896584861034,0.000295165368099089,4769
"TWLO","upstream_hardware",0.0224738552749374,0.00825876064939577,0.00853522988773344,4769
"TWLO","downstream_deployer",-0.0194291037523032,0.00505194066208734,0.000297075636533124,4769
"UBER","upstream_hardware",0.0229104396368864,0.00848967214752409,0.00906688186073964,4769
"UBER","downstream_deployer",-0.0204162347828271,0.00540663759774435,0.000372417104303079,4769
"WDAY","upstream_hardware",0.0224173822150782,0.00839304060759717,0.00975951736852785,4769
"WDAY","downstream_deployer",-0.019537541690838,0.00508037138371689,0.000297247615540142,4769
"WIX","upstream_hardware",0.0226349424169719,0.00840658462992863,0.0092155453070995,4769
"WIX","downstream_deployer",-0.019267428075147,0.00506377824090339,0.00033929853049508,4769
"WKL NA","upstream_hardware",0.0224256283089954,0.00837441212334328,0.00958178424846049,4770
"WKL NA","downstream_deployer",-0.0195505762043204,0.00506828473167629,0.00028608747253206,4770
"WRD","upstream_hardware",0.0227150616163836,0.00841056482617399,0.00901494665660824,4824
