term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,y_var,n,n_events,r_squared,estimate_pp,se_pp,conf.low_pp,conf.high_pp,spec_type,outcome_family,x,x_label,moderator,control_set,sample,p_bh_all,p_bonf_all,sign,three_star,bh_1pct,bh_5pct
downstream_deployer,-0.019942829621251833,0.004043414864939742,-4.9321749776841255,3.466217973451654e-4,-0.028752673804649728,-0.01113298543785394,12,car_10,car_10,1030,13,0.363686506121941,-1.9942829621251834,0.40434148649397417,-2.875267380464973,-1.113298543785394,main_effect,market,downstream_deployer,Downstream deployer,NA,firm_year_pre,chinese_origin,0.06719113821586334,1,negative,TRUE,FALSE,FALSE
competitor,0.023502494846760005,0.005203714435229038,4.516484357336869,3.5136154336533527e-4,0.012471113039883831,0.03453387665363618,16,car_5,car_5,1384,17,0.03248170904727321,2.3502494846760005,0.5203714435229038,1.2471113039883832,3.4533876653636177,main_effect,market,competitor,Direct competitor,NA,firm_year,reasoning,0.06719113821586334,1,positive,TRUE,FALSE,FALSE
downstream_deployer,-0.01564179063647077,0.003222598619629165,-4.853781833454246,3.956974153382246e-4,-0.022663229853786698,-0.008620351419154845,12,car_5,car_5,1028,13,0.14081554756966597,-1.5641790636470772,0.3222598619629165,-2.26632298537867,-0.8620351419154845,main_effect,market,downstream_deployer,Downstream deployer,NA,firm_year_pre,chinese_origin,0.0706791719580365,1,negative,TRUE,FALSE,FALSE
z_intelligence,0.020523502940967307,0.005156788355930674,3.9799001867826935,4.0352064067490493e-4,0.009991936118675148,0.031055069763259467,30,ff3_car_20,ff3_car_20,2479,31,0.2782057155797468,2.0523502940967306,0.5156788355930674,0.9991936118675148,3.105506976325947,main_effect,ff3,z_intelligence,AA Intelligence Index (z),NA,firm_year_pre,non_reasoning,0.0706791719580365,1,positive,TRUE,FALSE,FALSE
downstream_deployer,-0.019015616763014366,0.005069484620130385,-3.7509960455359446,4.03839450563957e-4,-0.02915963205718482,-0.008871601468843911,59,car_20,car_20,4829,60,0.08569108947997861,-1.9015616763014367,0.5069484620130386,-2.915963205718482,-0.8871601468843912,main_effect,market,downstream_deployer,Downstream deployer,NA,firm_year,all,0.0706791719580365,1,negative,TRUE,FALSE,FALSE
downstream_deployer,-0.019150842693518737,0.005109367899704403,-3.7481823719577303,4.0750930466553625e-4,-0.0293746642457798,-0.00892702114125767,59,car_20,car_20,4829,60,0.0804068592822691,-1.9150842693518737,0.5109367899704403,-2.93746642457798,-0.892702114125767,main_effect,market,downstream_deployer,Downstream deployer,NA,firm,all,0.0706791719580365,1,negative,TRUE,FALSE,FALSE
downstream_deployer,-0.022368064135473535,0.00588765553798447,-3.7991461951476238,4.2455386309030543e-4,-0.03421930005583608,-0.010516828215110992,46,car_20,car_20,3789,47,0.07339933588447844,-2.2368064135473533,0.588765553798447,-3.421930005583608,-1.0516828215110992,main_effect,market,downstream_deployer,Downstream deployer,NA,firm_year,closed,0.07196187979380678,1,negative,TRUE,FALSE,FALSE
upstream_cloud,0.012998383785968843,0.0034337259513063903,3.7855041346626677,4.4266794982184487e-4,0.00608665193068878,0.019910115641248907,46,ff3_car_5,ff3_car_5,3790,47,0.16132291448462344,1.2998383785968843,0.34337259513063906,0.608665193068878,1.9910115641248907,main_effect,ff3,upstream_cloud,Upstream cloud,NA,firm_year_pre,closed,0.072726551161099,1,positive,TRUE,FALSE,FALSE
downstream_deployer,-0.02250629324421543,0.005952193164970639,-3.781176554663519,4.4856816216285253e-4,-0.034487436669903136,-0.010525149818527722,46,car_20,car_20,3789,47,0.07001236405656164,-2.250629324421543,0.5952193164970639,-3.4487436669903135,-1.0525149818527721,main_effect,market,downstream_deployer,Downstream deployer,NA,firm,closed,0.072726551161099,1,negative,TRUE,FALSE,FALSE
z_intelligence,0.017552331193642388,0.0042102799854024766,4.168922554912816,4.739350930628524e-4,0.008769841041337764,0.026334821345947012,20,ff3_car_10,ff3_car_10,1699,21,0.35320294485323767,1.7552331193642388,0.42102799854024764,0.8769841041337764,2.633482134594701,main_effect,ff3,z_intelligence,AA Intelligence Index (z),NA,firm_year_pre,listed_creator,0.0745184219978548,1,positive,TRUE,FALSE,FALSE
upstream_any,0.02794902923749588,0.007435049560952509,3.759091181352571,4.798787453504761e-4,0.012983050698506741,0.04291500777648502,46,car_15,car_15,3798,47,0.07411056817232131,2.794902923749588,0.7435049560952509,1.2983050698506742,4.291500777648502,main_effect,market,upstream_any,Any upstream,NA,firm_year,non_chinese_origin,0.0745184219978548,1,positive,TRUE,FALSE,FALSE
upstream_any:is_open_weight,-0.03575626768299078,0.009536536554679773,-3.749397643261217,4.942764908780388e-4,-0.054952320142839954,-0.016560215223141612,46,car_5,car_5,3797,47,0.022208836526925402,-3.5756267682990783,0.9536536554679773,-5.495232014283995,-1.6560215223141612,interaction,market,upstream_any,Any upstream,is_open_weight,firm_year,non_chinese_origin,0.0745184219978548,1,negative,TRUE,FALSE,FALSE
upstream_any,0.028026361802952766,0.007481895378917463,3.745890631126124,4.995871681272111e-4,0.012966087523154191,0.043086636082751345,46,car_15,car_15,3798,47,0.07163073715307988,2.8026361802952766,0.7481895378917464,1.296608752315419,4.308663608275134,main_effect,market,upstream_any,Any upstream,NA,firm,non_chinese_origin,0.0745184219978548,1,positive,TRUE,FALSE,FALSE
upstream_any:is_open_weight,-0.03293828496707752,0.008849641111240278,-3.721991044952242,5.37268500596021e-4,-0.05075168861190952,-0.015124881322245522,46,car_5,car_5,3774,47,0.1727155412722936,-3.2938284967077522,0.8849641111240277,-5.075168861190952,-1.5124881322245523,interaction,market,upstream_any,Any upstream,is_open_weight,firm_year_pre,non_chinese_origin,0.07787670617182113,1,negative,TRUE,FALSE,FALSE
upstream_any,0.025847161333996047,0.006962543651123309,3.7123158760844492,5.532877921735286e-4,0.011832287861365526,0.03986203480662657,46,car_15,car_15,3953,47,0.004170154550550476,2.5847161333996045,0.6962543651123309,1.1832287861365527,3.986203480662657,main_effect,market,upstream_any,Any upstream,NA,none,closed,0.07787670617182113,1,positive,TRUE,FALSE,FALSE
z_intelligence,0.008432975650062607,0.0020555118469606417,4.102615931176425,5.534279199660123e-4,0.0041452530718807615,0.012720698228244452,20,ff3_car_2,ff3_car_2,1695,21,0.038167519762744795,0.8432975650062606,0.20555118469606418,0.4145253071880762,1.2720698228244451,main_effect,ff3,z_intelligence,AA Intelligence Index (z),NA,firm_year,listed_creator,0.07787670617182113,1,positive,TRUE,FALSE,FALSE
strategic_any,0.02720008993124202,0.0073431651383167994,3.704137033404212,5.671869539966541e-4,0.012419065142185555,0.04198111472029849,46,car_15,car_15,3798,47,0.07381733810434044,2.720008993124202,0.73431651383168,1.2419065142185555,4.198111472029849,main_effect,market,strategic_any,Strategic/upstream,NA,firm_year,non_chinese_origin,0.0779237995018771,1,positive,TRUE,FALSE,FALSE
upstream_hardware,0.02642844871955581,0.007143172818822436,3.6998193085733835,5.746592883619255e-4,0.012049987590227238,0.04080690984888438,46,car_15,car_15,3953,47,0.003818971981653263,2.6428448719555813,0.7143172818822435,1.2049987590227238,4.080690984888438,main_effect,market,upstream_hardware,Upstream hardware,NA,none,closed,0.0779237995018771,1,positive,TRUE,FALSE,FALSE
strategic_any,0.02727977597128781,0.0073862161789627874,3.6933357094238994,5.860579393217116e-4,0.012412093931986133,0.042147458010589486,46,car_15,car_15,3798,47,0.07133817679439824,2.727977597128781,0.7386216178962788,1.2412093931986132,4.214745801058949,main_effect,market,strategic_any,Strategic/upstream,NA,firm,non_chinese_origin,0.07805035913323795,1,positive,TRUE,FALSE,FALSE
upstream_any,0.027166620937925993,0.007380941220710448,3.6806445310386966,6.09002117846415e-4,0.012309556838874932,0.04202368503697705,46,car_15,car_15,3789,47,0.0669244415330299,2.7166620937925994,0.7380941220710449,1.2309556838874933,4.202368503697705,main_effect,market,upstream_any,Any upstream,NA,firm_year,closed,0.07968311920874672,1,positive,TRUE,FALSE,FALSE
upstream_any,0.027245620353057547,0.0074271540110476784,3.668379612504395,6.319941306197059e-4,0.012295534731722891,0.042195705974392206,46,car_15,car_15,3789,47,0.0655875678379998,2.7245620353057545,0.7427154011047679,1.229553473172289,4.219570597439221,main_effect,market,upstream_any,Any upstream,NA,firm,closed,0.08090352944118763,1,positive,TRUE,FALSE,FALSE
z_intelligence,0.030554271479315033,0.008148806931459652,3.749539256029718,6.400252396125061e-4,0.014011313921977447,0.047097229036652616,35,car_20,car_20,2899,36,0.10162480525504913,3.0554271479315034,0.8148806931459652,1.4011313921977446,4.709722903665262,main_effect,market,z_intelligence,AA Intelligence Index (z),NA,firm_year,closed,0.08090352944118763,1,positive,TRUE,FALSE,FALSE
downstream_deployer,-0.01648529648315174,0.004582342774710936,-3.5975694734429093,6.57975032701886e-4,-0.02565454319616449,-0.007316049770138994,59,car_20,car_20,4805,60,0.28169121789722595,-1.6485296483151741,0.4582342774710936,-2.5654543196164488,-0.7316049770138994,main_effect,market,downstream_deployer,Downstream deployer,NA,firm_year_pre,all,0.08096091234056019,1,negative,TRUE,FALSE,FALSE
