"dropped_event_id","variable","beta","se","p","n"
"FMR-0020","downstream_deployer",-0.0184961091891572,0.00512632307189568,0.000643596504149877,4746
"FMR-0021","upstream_hardware",0.0228053683775708,0.00857040376148503,0.0100620612677548,4750
"FMR-0021","downstream_deployer",-0.0186022951174448,0.00511835516362505,0.000592343276470405,4750
"FMR-0022","upstream_hardware",0.0228429814260774,0.00856767081349398,0.009923747120651,4750
"FMR-0022","downstream_deployer",-0.0185986802711837,0.00511855206469733,0.000593925775574918,4750
"FMR-0023","upstream_hardware",0.0219278810126555,0.00853301402225452,0.012768666733288,4746
"FMR-0023","downstream_deployer",-0.018336532921028,0.00509982654668932,0.000669445316931218,4746
"FMR-0024","upstream_hardware",0.0218420884523608,0.00852757624020615,0.0130494071737258,4746
"FMR-0024","downstream_deployer",-0.0180614558733478,0.00504547370372198,0.000703382947896918,4746
"FMR-0025","upstream_hardware",0.0210538562468417,0.00837808761818251,0.0147734218755716,4746
"FMR-0025","downstream_deployer",-0.0194605867542434,0.00512879475669147,0.000355670916769068,4746
"FMR-0026","upstream_hardware",0.0204412361716525,0.00822317410629992,0.0158290484839907,4750
"FMR-0026","downstream_deployer",-0.0191705744091078,0.00513359644446962,0.000431292159990026,4750
"FMR-0027","upstream_hardware",0.0202829540867143,0.00818701007937202,0.0161671430538864,4750
"FMR-0027","downstream_deployer",-0.0190645934154509,0.00514152159171762,0.000469166701691303,4750
"FMR-0028","upstream_hardware",0.0207737171499824,0.00832918277968106,0.015500222715458,4746
"FMR-0028","downstream_deployer",-0.0190277107010247,0.0051442830705174,0.000483053406078461,4746
"FMR-0029","upstream_hardware",0.0231785309998457,0.00855879427837003,0.00887686514889307,4746
"FMR-0029","downstream_deployer",-0.0199797866813585,0.00506018265567603,0.000215396434977609,4746
"FMR-0030","upstream_hardware",0.0237781930088518,0.00851255748266925,0.0070572110350254,4750
"FMR-0030","downstream_deployer",-0.0196508077262651,0.00512054273604385,0.000309249976350908,4750
"FMR-0031","upstream_hardware",0.0241045938736265,0.00845548752838936,0.00603077365306298,4746
"FMR-0031","downstream_deployer",-0.018942818817428,0.00515841669089822,0.000525628489349204,4746
"FMR-0032","upstream_hardware",0.0242117595459154,0.00844012029844684,0.00574054286502212,4750
