family,spec_label,term,x_var,y_var,controls,estimate,std.error,p.value,stars,n,n_events,treated_n,treated_events,mean_y_treated,mean_y_untreated
main_effect_single,single_flag,any_relationship,any_relationship,car_20,firm_year,-0.15240002092209304,0.07754892723573545,0.05410321293455876,*,4829,60,4953,60,8.077339474055874e-4,-0.04703582686000001
main_effect_single,single_flag,downstream_deployer,downstream_deployer,car_10,none,-0.010773092612577593,0.005642686216108811,0.06110140694482509,*,5053,60,1090,60,-0.009594623916513766,0.0011784686960635996
main_effect_single,single_flag,non_ai_deployer_only,non_ai_deployer_only,car_10,none,-0.010773092612577593,0.005642686216108811,0.06110140694482509,*,5053,60,1090,60,-0.009594623916513766,0.0011784686960635996
main_effect_single,single_flag,downstream_any,downstream_any,car_15,none,-0.012339477364486944,0.006477533678436284,0.06166236515154165,*,5053,60,3330,60,-0.00431143854846846,0.008028038816018565
main_effect_single,single_flag,upstream_cloud,upstream_cloud,car_20,firm,0.01157929682418419,0.006150957337121281,0.06469940151122765,*,4829,60,274,60,0.006528812963503655,-5.214001248169063e-4
main_effect_single,single_flag,is_owner,is_owner,car_10,firm,0.03182046586033106,0.016974555147040268,0.06580101915277484,*,4829,60,29,29,0.025064820758620692,-0.0012967254037619543
main_effect_single,single_flag,upstream_cloud,upstream_cloud,car_20,firm_year,0.011322985941003205,0.0060525421352969795,0.06633734107794356,*,4829,60,274,60,0.006528812963503655,-5.214001248169063e-4
main_effect_single,single_flag,upstream_cloud,upstream_cloud,car_10,firm,0.009947197153712655,0.005324135491464604,0.06668506953003166,*,4829,60,274,60,0.003989784916058395,-0.0014398555541954502
main_effect_single,single_flag,upstream_cloud,upstream_cloud,car_10,firm_year_intel,0.011777206127809092,0.006332697967317947,0.06932336859842345,*,3780,60,274,60,0.003989784916058395,-0.0014398555541954502
joint_relationship_model,upstream_hardware_vs_cloud,upstream_cloud,NA,car_15,none,0.0143752176281058,0.007809367706712552,0.07068595219147554,*,5053,60,NA,NA,NA,NA
main_effect_single,single_flag,upstream_cloud,upstream_cloud,car_10,firm_year,0.009690204866115285,0.005265557383408936,0.0707553049234143,*,4829,60,274,60,0.003989784916058395,-0.0014398555541954502
main_effect_single,single_flag,is_owner,is_owner,car_10,firm_year,0.031051567436386283,0.017062100111020585,0.07384592713896128,*,4829,60,29,29,0.025064820758620692,-0.0012967254037619543
main_effect_single,single_flag,appropriable_any,appropriable_any,car_15,none,0.013471792048360428,0.007423402889648198,0.07464308910520343,*,5053,60,3618,60,0.0037219952707296705,-0.009749796777630668
main_effect_single,single_flag,downstream_any,downstream_any,car_20,none,-0.013864697789008612,0.007667919600697685,0.07568160721836947,*,5053,60,3330,60,-0.004866762464864856,0.008997935324143941
joint_relationship_model,upstream_hardware_vs_cloud,upstream_hardware,NA,car_10,firm_year_intel,0.01235279111222342,0.006823752173537442,0.07678990280285057,*,3780,60,NA,NA,NA,NA
main_effect_single,single_flag,appropriable_any,appropriable_any,car_10,none,0.010757142981541316,0.005981032876058141,0.07720690841321598,*,5053,60,3618,60,0.0019094857613322243,-0.008847657220209072
main_effect_single,single_flag,is_owner,is_owner,car_10,firm_year_intel,0.038504970422206714,0.021713394183135414,0.0827950375143212,*,3780,60,29,29,0.025064820758620692,-0.0012967254037619543
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_10,firm_year_intel,0.01154483230062933,0.0067433217963533635,0.09362436212567356,*,3780,60,1200,60,0.00539332016358333,-0.003181897955567091
main_effect_single,single_flag,downstream_enabler,downstream_enabler,car_20,firm,-0.011313792873656548,0.006655169300065001,0.09439737124975972,*,4829,60,480,60,-0.002699880943749996,1.2968869636998415e-4
main_effect_single,single_flag,any_relationship,any_relationship,car_20,firm_year_intel,-0.16011682923106055,0.09423816243340953,0.09606127226430648,*,3780,60,4953,60,8.077339474055874e-4,-0.04703582686000001
main_effect_single,single_flag,is_owner,is_owner,car_15,firm_year_intel,0.039836831048031526,0.02351533869626408,0.09701188006558364,*,3780,60,29,29,0.017435068482758623,-2.0509483925160908e-4
main_effect_single,single_flag,strategic_any,strategic_any,car_10,none,0.008874015481262135,0.005263686630934182,0.09709841274650509,*,5053,60,1503,60,0.005089033511177641,-0.0037849819700845186
main_effect_single,single_flag,upstream_any,upstream_any,car_10,none,0.008863364252219856,0.005290553636243633,0.09916440039210565,*,5053,60,1474,60,0.005132418767503392,-0.003730945484716401
