final_event_id,car20_mean,carpre_mean,ff3_car20_mean,intel_c,aa_intelligence_index,is_open_weight,release_year,true_model_creator,release_date,mean_size,mean_bm,mean_volatility,mean_momentum,n_firms
FMR-0023,-0.041440508397590364,-0.006456819634146342,-0.020181771987951815,-0.7275132275132385,25.9,0,2025,OpenAI,2025-01-31,6.57550913507229,0.29315413646987953,0.4523756180026057,0.6716322670606096,83
FMR-0024,-0.06766850633734942,-0.010266014585365852,-0.043261224120481924,-8.527513227513236,18.1,0,2025,Google,2025-02-05,6.57550913507229,0.29315413646987953,0.4374253423673638,0.806234206705067,83
FMR-0025,-0.0764682875662651,-0.013084432807317083,-0.05303786762650603,5.472486772486764,32.1,0,2025,xAI,2025-02-17,6.57550913507229,0.29315413646987953,0.4381949874593571,0.540613413658414,83
FMR-0026,-0.09837619134177215,-0.01613688288607595,-0.06856245721518986,8.072486772486766,34.7,0,2025,Anthropic,2025-02-18,6.649017647455697,0.3014265368607595,0.42975836024541086,0.658256066200589,79
FMR-0027,-0.08166740581012659,-0.022643138987341774,-0.04390958315189874,-12.127513227513237,14.5,0,2025,Google,2025-02-25,6.649017647455697,0.3014265368607595,0.4382136793612067,0.6755627416898694,79
FMR-0028,-0.08694146897590364,-0.0317070605,-0.049279882746987955,-16.627513227513237,10,0,2025,Microsoft,2025-02-26,6.57550913507229,0.29315413646987953,0.4532395066400914,0.6209405223023857,83
FMR-0029,-0.08152481707228916,-0.014172380194512195,-0.059636148036144594,-9.827513227513236,16.8,0,2025,Google,2025-03-12,6.57550913507229,0.29315413646987953,0.45521434135781313,0.4981093376339434,83
FMR-0033,0.018792620950617286,-0.007691611679012344,-0.009678160395061728,11.772486772486761,38.4,0,2025,OpenAI,2025-04-16,6.633399927765432,0.29852711619753086,1.0267556380033798,0.3285755117116234,81
FMR-0034,0.01890602454216868,-0.0077148997804878045,-0.00852259136144578,6.472486772486764,33.1,0,2025,OpenAI,2025-04-16,6.5771958820602405,0.29243124490361444,0.4958265556662912,0.22768003389501867,83
FMR-0036,0.046976311686746985,-0.00100656206097561,0.018735088674698794,7.972486772486764,34.6,0,2025,Google,2025-05-06,6.5771958820602405,0.29243124490361444,0.5072337112569333,0.17165969103423548,83
FMR-0037,0.029621436457831326,0.012566559085365851,-0.012107752542168677,-21.827513227513236,4.8,1,2025,Google,2025-05-20,6.5771958820602405,0.29243124490361444,0.5554072288479012,0.1724190940925338,83
FMR-0038,0.025598830886075948,0.00443905611392405,-0.01296719501265823,12.072486772486766,38.7,0,2025,Anthropic,2025-05-21,6.65078979935443,0.3006670431898734,0.5496755963534905,0.17274695787072175,79
FMR-0040,0.031546581632911394,0.005345222075949366,-0.0038825369835443053,12.372486772486763,39,0,2025,Anthropic,2025-05-22,6.65078979935443,0.3006670431898734,0.5529735147414687,0.1853978472198988,79
FMR-0041,0.017000016144578314,-0.005989032036585364,0.006082984855421686,0.3724867724867629,27,0,2025,Google,2025-06-17,6.5771958820602405,0.29243124490361444,0.5240577224358248,0.44067284689102626,83
FMR-0042,0.012871447855421688,-0.005989032036585364,0.006082984855421686,7.972486772486764,34.6,0,2025,Google,2025-06-17,6.5771958820602405,0.29243124490361444,0.5175921931471342,0.4868621278827339,83
FMR-0043,-0.05348678743670887,0.004316654696202531,-0.0576004904050633,-1.6275132275132371,25,1,2025,Alibaba,2025-07-21,6.65078979935443,0.3006670431898734,0.5354712313178304,0.60531901433214,79
FMR-0044,-0.05354982821518987,0.015257262897468355,-0.06097445925316457,-1.8275132275132364,24.8,1,2025,Alibaba,2025-07-22,6.65078979935443,0.3006670431898734,0.5298728993243432,0.6043246671407845,79
FMR-0045,-0.05477698225316456,-0.011847961278481011,-0.05871282363291139,-0.22751322751323855,26.4,1,2025,Zhipu AI,2025-07-28,6.65078979935443,0.3006670431898734,0.5277342600487656,0.6539563902929614,79
FMR-0046,-0.046504894265060236,-0.004978526536585365,-0.0407042434819277,6.67248677248676,33.3,1,2025,OpenAI,2025-08-05,6.5771958820602405,0.29243124490361444,0.5285999142090381,0.6286754818082666,83
FMR-0048,0.05123547,0.002384050177215191,0.07112323216455696,4.7724867724867615,31.4,0,2025,Alibaba,2025-09-05,6.65078979935443,0.3006670431898734,0.49993684750001194,0.7388009427655792,79
FMR-0049,0.068634758278481,0.03533305275949367,0.06717652620253164,16.372486772486763,43,0,2025,Anthropic,2025-09-25,6.65078979935443,0.3006670431898734,0.48629393309258223,0.49321817289373704,79
FMR-0050,0.011337559468354437,0.011435467088607595,0.01502856989873418,10.472486772486764,37.1,0,2025,Anthropic,2025-10-14,6.65078979935443,0.3006670431898734,0.4095551052750231,0.598530268935894,79
FMR-0051,0.0038586457215189873,-0.008726115341772152,-0.009228252632911393,-3.8275132275132364,22.8,1,2025,Mistral AI,2025-12-02,6.65078979935443,0.3006670431898734,0.4146941344793522,0.5296507813695278,79
FMR-0052,0.008417535430379746,0.030184199189873414,0.002654893443037973,-4.627513227513237,22,1,2025,Mistral AI,2025-12-09,6.65078979935443,0.3006670431898734,0.4255761522622929,0.30263777564818656,79
FMR-0054,0.02469543203614458,-0.01334964306097561,0.029397666024096384,24.67248677248676,51.3,0,2025,OpenAI,2025-12-18,6.5771958820602405,0.29243124490361444,0.4441056464539391,0.24298077446091654,83
FMR-0056,-0.06939856655844155,-0.05756420816883116,-0.10357376823376625,26.372486772486763,53,0,2026,Anthropic,2026-02-05,6.833792207792208,0.351187012987013,0.42568305069833934,0.17921431182587896,77
FMR-0057,-0.025263183948051948,-0.020073212285714286,-0.09370774629870131,26.972486772486764,53.6,0,2026,OpenAI,2026-02-12,6.833792207792208,0.351187012987013,0.42630995587760595,0.23289719224510855,77
FMR-0058,0.03141879615789474,0.012697875539473684,-0.03648664343421052,25.072486772486766,51.7,0,2026,Anthropic,2026-02-16,6.81246052631579,0.35543157894736843,0.42787828483895174,0.22689699446236566,76
FMR-0060,0.09246766202631579,-0.002492614289473686,0.028987964065789476,30.17248677248676,56.8,0,2026,OpenAI,2026-03-17,6.853184210526316,0.3552815789473684,0.4486521648971075,0.08178026792626276,76
