ticker,company,rows,first_quarter,last_quarter,total_assets_nonmissing,equity_nonmissing,shares_nonmissing,market_cap_nonmissing,total_assets_usd_nonmissing,equity_usd_nonmissing,bm_ratio_nonmissing,financial_currency,expected_quarters,missing_quarters
SNPS,Synopsys,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
STX,Seagate Technology,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
TER,Teradyne,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
TMUS,T-Mobile US,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
TRI,Thomson Reuters,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
TSLA,"Tesla, Inc.",17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
TSM,Taiwan Semiconductor Manufacturing Company Limited,17,2022Q1,2026Q1,17,17,17,17,17,17,17,TWD,17,0
TTWO,Take-Two Interactive,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
TXN,Texas Instruments,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
UMC,United Microelectronics Corporation,17,2022Q1,2026Q1,17,17,17,17,17,17,17,TWD,17,0
VRTX,Vertex Pharmaceuticals,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
WBD,Warner Bros. Discovery,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
WDAY,"Workday, Inc.",17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
WDC,Western Digital,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
WMT,Walmart,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
XEL,Xcel Energy,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
