"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared","dropped_event"
"full sample","mkt_car_20","drop event FMR-0030","z_intelligence",0.0180030614620341,0.00671293677416942,0.0101341468277982,0.00449062057348405,0.0315155023505841,3762,47,0.295930134069636,"FMR-0030"
"full sample","mkt_car_20","drop event FMR-0031","z_intelligence",0.0180030614620341,0.00671293677416942,0.0101341468277982,0.00449062057348405,0.0315155023505841,3762,47,0.295930134069636,"FMR-0031"
"full sample","mkt_car_20","drop event FMR-0032","z_intelligence",0.0180030614620341,0.00671293677416942,0.0101341468277982,0.00449062057348405,0.0315155023505841,3762,47,0.295930134069636,"FMR-0032"
"full sample","mkt_car_20","drop event FMR-0033","z_intelligence",0.0170993787910658,0.00674246880131215,0.0147512741561469,0.00351934952891964,0.030679408053212,3681,46,0.296089760531266,"FMR-0033"
"full sample","mkt_car_20","drop event FMR-0034","z_intelligence",0.0175329351182177,0.0067465640349023,0.0126042578400018,0.00394465763221936,0.0311212126042161,3680,46,0.2963537778806,"FMR-0034"
"full sample","mkt_car_20","drop event FMR-0035","z_intelligence",0.0180030614620341,0.00671293677416942,0.0101341468277982,0.00449062057348405,0.0315155023505841,3762,47,0.295930134069636,"FMR-0035"
"full sample","mkt_car_20","drop event FMR-0036","z_intelligence",0.0170966393976752,0.00677442117602243,0.0152119999721609,0.00345225474934225,0.0307410240460081,3680,46,0.299966310752661,"FMR-0036"
"full sample","mkt_car_20","drop event FMR-0037","z_intelligence",0.0229531656936535,0.00622326301270755,0.000605994197613446,0.0104188705698624,0.0354874608174446,3680,46,0.298147656757012,"FMR-0037"
"full sample","mkt_car_20","drop event FMR-0038","z_intelligence",0.017693742843398,0.00690604314991645,0.0138239254176421,0.0037842579313939,0.0316032277554021,3683,46,0.296727596000128,"FMR-0038"
"full sample","mkt_car_20","drop event FMR-0039","z_intelligence",0.0180030614620341,0.00671293677416942,0.0101341468277982,0.00449062057348405,0.0315155023505841,3762,47,0.295930134069636,"FMR-0039"
"full sample","mkt_car_20","drop event FMR-0040","z_intelligence",0.0175168824406397,0.00690899183900696,0.014776874112518,0.00360145856394572,0.0314323063173338,3683,46,0.297237991785328,"FMR-0040"
"full sample","mkt_car_20","drop event FMR-0041","z_intelligence",0.0181255856514909,0.00680023249778288,0.0106395345900838,0.00442921433252869,0.031821956970453,3680,46,0.29832396479209,"FMR-0041"
"full sample","mkt_car_20","drop event FMR-0042","z_intelligence",0.0173912795916808,0.00676403892867499,0.0135130434023554,0.00376780586291449,0.031014753320447,3680,46,0.29807128025327,"FMR-0042"
"full sample","mkt_car_20","drop event FMR-0043","z_intelligence",0.0175202359277008,0.00657598413272567,0.0106711889347156,0.00427552400075136,0.0307649478546503,3683,46,0.296615239270252,"FMR-0043"
"full sample","mkt_car_20","drop event FMR-0044","z_intelligence",0.0173681554795155,0.00652252353419093,0.0107116631205575,0.0042311187252465,0.0305051922337846,3683,46,0.300399918487821,"FMR-0044"
"full sample","mkt_car_20","drop event FMR-0045","z_intelligence",0.0176842483609237,0.00658997161108374,0.0101574921290109,0.00441136420641132,0.030957132515436,3683,46,0.300368345689672,"FMR-0045"
"full sample","mkt_car_20","drop event FMR-0046","z_intelligence",0.0183236366779221,0.00667086164589466,0.00862309044222245,0.00488783163017042,0.0317594417256738,3680,46,0.301254689809917,"FMR-0046"
"full sample","mkt_car_20","drop event FMR-0047","z_intelligence",0.0180030614620341,0.00671293677416942,0.0101341468277982,0.00449062057348405,0.0315155023505841,3762,47,0.295930134069636,"FMR-0047"
"full sample","mkt_car_20","drop event FMR-0048","z_intelligence",0.01702099652613,0.00667660223488905,0.0142707077509688,0.00357362933863052,0.0304683637136295,3683,46,0.304522795408966,"FMR-0048"
"full sample","mkt_car_20","drop event FMR-0049","z_intelligence",0.0166934624510026,0.00701535249764455,0.0216331764743567,0.002563817211303,0.0308231076907022,3683,46,0.296568459183825,"FMR-0049"
"full sample","mkt_car_20","drop event FMR-0050","z_intelligence",0.0178421484661436,0.0068570308560063,0.0125019197401438,0.00403137938140083,0.0316529175508865,3683,46,0.294084922707065,"FMR-0050"
