"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared"
"Intelligence x speed","mkt_car_5","all event-firm panel","z_intelligence:z_speed",-0.00595970263164633,0.00508098613325942,0.246857240077985,-0.0161871972574549,0.0042677919941622,3760,47,0.164976671730019
"Intelligence x open weight","mkt_car_5","all event-firm panel","z_intelligence",0.00481829858379952,0.0048031386970622,0.321033449253025,-0.00484991816051658,0.0144865153281156,3760,47,0.163865920352254
"Intelligence x open weight","mkt_car_5","all event-firm panel","is_open_weight_or_open_source",0.00256980796755154,0.00969693777055008,0.792183938099896,-0.0169491153937843,0.0220887313288874,3760,47,0.163865920352254
"Intelligence x open weight","mkt_car_5","all event-firm panel","z_intelligence:is_open_weight_or_open_source",-0.00157466076142621,0.00987677954383638,0.87402761897555,-0.0214555868367119,0.0183062653138595,3760,47,0.163865920352254
"Intelligence x upstream x open weight","mkt_car_5","all event-firm panel","z_intelligence",0.00495040265070176,0.00475828014293926,0.303602582843411,-0.0046275185074464,0.0145283238088499,3760,47,0.165360024474512
"Intelligence x upstream x open weight","mkt_car_5","all event-firm panel","broad_upstream",0.0152691966932724,0.00607442586963841,0.0155118081515039,0.00304201159431492,0.0274963817922299,3760,47,0.165360024474512
"Intelligence x upstream x open weight","mkt_car_5","all event-firm panel","is_open_weight_or_open_source",0.0034151787517969,0.00976931323326031,0.728247639555687,-0.0162494288598981,0.0230797863634919,3760,47,0.165360024474512
"Intelligence x upstream x open weight","mkt_car_5","all event-firm panel","z_intelligence:broad_upstream",-0.00275520986352606,0.0053090176262861,0.606271040469966,-0.013441708078063,0.00793128835101091,3760,47,0.165360024474512
"Intelligence x upstream x open weight","mkt_car_5","all event-firm panel","z_intelligence:is_open_weight_or_open_source",-0.00247178651127888,0.00998242751897252,0.805535198768923,-0.0225653709307508,0.0176217979081931,3760,47,0.165360024474512
"Intelligence x upstream x open weight","mkt_car_5","all event-firm panel","broad_upstream:is_open_weight_or_open_source",-0.0291755410872203,0.0142759263637292,0.0467352398209287,-0.0579114904352686,-0.000439591739172053,3760,47,0.165360024474512
"Intelligence x upstream x open weight","mkt_car_5","all event-firm panel","z_intelligence:broad_upstream:is_open_weight_or_open_source",0.0232399729315443,0.0200520161303451,0.252443815144908,-0.0171226420866888,0.0636025879497774,3760,47,0.165360024474512
"Intelligence x downstream x open weight","mkt_car_5","all event-firm panel","z_intelligence",0.0050310235207628,0.00514556598446117,0.333317387885493,-0.00532646360330862,0.0153885106448342,3760,47,0.166721664715915
"Intelligence x downstream x open weight","mkt_car_5","all event-firm panel","broad_downstream",-0.00925496251899055,0.00275348607143413,0.00156953414078623,-0.0147974425138663,-0.00371248252411484,3760,47,0.166721664715915
"Intelligence x downstream x open weight","mkt_car_5","all event-firm panel","is_open_weight_or_open_source",-0.00375373875251871,0.00854616837076443,0.662550900814166,-0.0209562834536549,0.0134488059486174,3760,47,0.166721664715915
"Intelligence x downstream x open weight","mkt_car_5","all event-firm panel","z_intelligence:broad_downstream",-0.000590167777872289,0.00235806298486229,0.803487961688837,-0.0053367023820764,0.00415636682633182,3760,47,0.166721664715915
"Intelligence x downstream x open weight","mkt_car_5","all event-firm panel","z_intelligence:is_open_weight_or_open_source",-0.00174267319042709,0.00925205159911485,0.851426620496995,-0.0203660871352608,0.0168807407544067,3760,47,0.166721664715915
"Intelligence x downstream x open weight","mkt_car_5","all event-firm panel","broad_downstream:is_open_weight_or_open_source",0.0220618795087164,0.0101491684272251,0.0349061516122879,0.00163266304886292,0.0424910959685698,3760,47,0.166721664715915
"Intelligence x downstream x open weight","mkt_car_5","all event-firm panel","z_intelligence:broad_downstream:is_open_weight_or_open_source",0.000377671156250291,0.0128357759675958,0.97665426138385,-0.025459405797639,0.0262147481101396,3760,47,0.166721664715915
"AA intelligence","mkt_car_20","all event-firm panel","z_intelligence",0.0180030614620341,0.00671293677416942,0.0101341468277982,0.00449062057348405,0.0315155023505841,3762,47,0.295930134069636
"AA coding","mkt_car_20","all event-firm panel","z_coding",0.0100353654048549,0.00712846417129751,0.168271693948348,-0.0044514167671325,0.0245221475768424,2799,35,0.270804571511239
"AA math","mkt_car_20","all event-firm panel","z_math",0.00566531788849145,0.00771808589482227,0.470680914313957,-0.0103410125845504,0.0216716483615333,1849,23,0.24770102356489
"MMLU-Pro","mkt_car_20","all event-firm panel","z_mmlu",0.00594975103398965,0.00568755115336654,0.302123404512276,-0.00556409432783635,0.0174635963958157,3137,39,0.291266507906446
"GPQA","mkt_car_20","all event-firm panel","z_gpqa",0.010783760677922,0.00669363206169202,0.114486541969684,-0.00271523488539353,0.0242827562412376,3522,44,0.3011868860396
"HLE","mkt_car_20","all event-firm panel","z_hle",0.0231303510321285,0.00744658261391523,0.00335106580511317,0.00811288596374007,0.0381478161005168,3522,44,0.304961850735022
"LiveCodeBench","mkt_car_20","all event-firm panel","z_livecode",0.0151564951057969,0.00573758013160824,0.0118115624460523,0.0035511438706096,0.0267618463409842,3216,40,0.307262926709344
"Lower blended price","mkt_car_20","all event-firm panel","z_low_price",-0.00869934039472011,0.0037254890691714,0.023956914410921,-0.0161983609458777,-0.00120031984356256,3762,47,0.293197014638013
"Output speed","mkt_car_20","all event-firm panel","z_speed",0.00696534412266945,0.00589396791994223,0.24336840747469,-0.00489859796355456,0.0188292862088935,3762,47,0.292212086863336
"Lower TTFT","mkt_car_20","all event-firm panel","z_low_ttft",-0.0257559799173551,0.00496660900036393,4.69969665095001e-06,-0.0357532453157413,-0.0157587145189689,3762,47,0.302585352578844
"Price efficiency","mkt_car_20","all event-firm panel","z_price_efficiency",-0.0099509726507153,0.00416298969118268,0.0230945257594018,-0.018441446103092,-0.00146049919833859,2556,32,0.247249854231335
"Speed-adjusted capability","mkt_car_20","all event-firm panel","z_speed_adjusted_capability",0.00964929179879934,0.00645898771163541,0.142021654594363,-0.00335197613942625,0.0226505597370249,3762,47,0.29316370800035
"Intelligence x lower price","mkt_car_20","all event-firm panel","z_intelligence",0.0173877692715349,0.00713814576940272,0.0187873824171366,0.00301942706785884,0.031756111475211,3762,47,0.29669103437643
"Intelligence x lower price","mkt_car_20","all event-firm panel","z_low_price",-0.00248766602024578,0.00354356803188591,0.486201990145035,-0.00962049851610051,0.00464516647560894,3762,47,0.29669103437643
"Intelligence x lower price","mkt_car_20","all event-firm panel","z_intelligence:z_low_price",-0.00958225538091012,0.00721447617515801,0.190665171214283,-0.0241042427223948,0.00493973196057452,3762,47,0.29669103437643
"Intelligence x speed","mkt_car_20","all event-firm panel","z_intelligence",0.0168983647806713,0.00771985087366061,0.0337136300859377,0.00135911093276558,0.0324376186285771,3762,47,0.296020205141459
"Intelligence x speed","mkt_car_20","all event-firm panel","z_speed",0.00171828523543731,0.00638005826104142,0.788886896355816,-0.0111241059590625,0.0145606764299371,3762,47,0.296020205141459
"Intelligence x speed","mkt_car_20","all event-firm panel","z_intelligence:z_speed",-0.00268712195216666,0.0111496758558586,0.810622638310152,-0.0251302554118027,0.0197560115074693,3762,47,0.296020205141459
"Intelligence x open weight","mkt_car_20","all event-firm panel","z_intelligence",0.023454037366311,0.00618005617308239,0.000429827931249314,0.0110142294944386,0.0358938452381834,3762,47,0.299768385075376
"Intelligence x open weight","mkt_car_20","all event-firm panel","is_open_weight_or_open_source",-0.0221210604131978,0.0111881545686379,0.0540317083262846,-0.0446416475044393,0.000399526678043757,3762,47,0.299768385075376
"Intelligence x open weight","mkt_car_20","all event-firm panel","z_intelligence:is_open_weight_or_open_source",-0.0408058638447161,0.0129176605553288,0.00279724185223352,-0.0668077659248726,-0.0148039617645597,3762,47,0.299768385075376
"Intelligence x upstream x open weight","mkt_car_20","all event-firm panel","z_intelligence",0.023752428416681,0.00636633589057665,0.000522846694184027,0.0109376589212964,0.0365671979120655,3762,47,0.301066298048034
"Intelligence x upstream x open weight","mkt_car_20","all event-firm panel","broad_upstream",0.0405326874610664,0.0140491508567774,0.00593794187656485,0.0122532135329041,0.0688121613892286,3762,47,0.301066298048034
"Intelligence x upstream x open weight","mkt_car_20","all event-firm panel","is_open_weight_or_open_source",-0.0203677006265682,0.0115646714011675,0.0848506410796033,-0.0436461767929276,0.00291077553979118,3762,47,0.301066298048034
"Intelligence x upstream x open weight","mkt_car_20","all event-firm panel","z_intelligence:broad_upstream",-0.00559505119480982,0.0139278753461507,0.689753355274921,-0.033630410181375,0.0224403077917553,3762,47,0.301066298048034
"Intelligence x upstream x open weight","mkt_car_20","all event-firm panel","z_intelligence:is_open_weight_or_open_source",-0.040415130999665,0.0128720251538843,0.00295183984936227,-0.0663251737810989,-0.0145050882182311,3762,47,0.301066298048034
"Intelligence x upstream x open weight","mkt_car_20","all event-firm panel","broad_upstream:is_open_weight_or_open_source",-0.0513569871724398,0.026813590229614,0.0616789135583996,-0.105329944936859,0.00261597059197929,3762,47,0.301066298048034
"Intelligence x upstream x open weight","mkt_car_20","all event-firm panel","z_intelligence:broad_upstream:is_open_weight_or_open_source",-0.0148211980169616,0.0338225826590234,0.663289287094439,-0.0829025257953983,0.0532601297614752,3762,47,0.301066298048034
"Intelligence x downstream x open weight","mkt_car_20","all event-firm panel","z_intelligence",0.0185188961920898,0.00583363914931217,0.00267715945180984,0.00677638962275528,0.0302614027614244,3762,47,0.301856223275558
"Intelligence x downstream x open weight","mkt_car_20","all event-firm panel","broad_downstream",-0.0119527261960553,0.00598509334129633,0.0517520274800673,-0.0240000942418726,9.46418497620952e-05,3762,47,0.301856223275558
"Intelligence x downstream x open weight","mkt_car_20","all event-firm panel","is_open_weight_or_open_source",-0.0225653621759215,0.00910460809447485,0.0169250397672142,-0.0408919877391762,-0.00423873661266689,3762,47,0.301856223275558
"Intelligence x downstream x open weight","mkt_car_20","all event-firm panel","z_intelligence:broad_downstream",0.0173650443049454,0.00662930881704466,0.0118901406787809,0.0040209377632384,0.0307091508466523,3762,47,0.301856223275558
"Intelligence x downstream x open weight","mkt_car_20","all event-firm panel","z_intelligence:is_open_weight_or_open_source",-0.0351112525550122,0.0119071939926882,0.00500052259082792,-0.0590791909383742,-0.0111433141716502,3762,47,0.301856223275558
"Intelligence x downstream x open weight","mkt_car_20","all event-firm panel","broad_downstream:is_open_weight_or_open_source",0.00166684202523746,0.0192272595870569,0.931292918122886,-0.0370356241768308,0.0403693082273057,3762,47,0.301856223275558
"Intelligence x downstream x open weight","mkt_car_20","all event-firm panel","z_intelligence:broad_downstream:is_open_weight_or_open_source",-0.0198514460103996,0.0138647104096731,0.158962084587886,-0.047759660574323,0.00805676855352385,3762,47,0.301856223275558
