event_id,official_date,event_trading_date,ticker,company,is_main_ndxt,is_sox_robustness,price_first_date,price_last_date,has_required_boundary_dates,missing_required_boundary_dates,can_estimate_full_200_day_window,can_compute_event_window_20,car_ready_max_window
AIT-2024-02-003,2024-02-15,2024-02-15,PDD,PDD Holdings,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-02-003,2024-02-15,2024-02-15,QCOM,Qualcomm,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-02-003,2024-02-15,2024-02-15,ROP,Roper Technologies,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-02-003,2024-02-15,2024-02-15,SNDK,Sandisk,True,False,2025-02-13,2026-04-30,False,2023-04-28;2023-05-01;2024-02-01;2024-02-01;2024-02-13;2024-02-15;2024-03-15,False,False,False
AIT-2024-02-003,2024-02-15,2024-02-15,STX,Seagate Technology,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-02-003,2024-02-15,2024-02-15,SHOP,Shopify,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-02-003,2024-02-15,2024-02-15,MSTR,MicroStrategy,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-02-003,2024-02-15,2024-02-15,SNPS,Synopsys,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-02-003,2024-02-15,2024-02-15,TXN,Texas Instruments,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-02-003,2024-02-15,2024-02-15,TRI,Thomson Reuters,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-02-003,2024-02-15,2024-02-15,WDC,Western Digital,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-02-003,2024-02-15,2024-02-15,WDAY,"Workday, Inc.",True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-02-003,2024-02-15,2024-02-15,ZS,"Zscaler, Inc.",True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-03-002,2024-03-04,2024-03-04,ADBE,Adobe Inc.,True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-03-002,2024-03-04,2024-03-04,AMD,Advanced Micro Devices,True,True,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-03-002,2024-03-04,2024-03-04,GOOGL,Alphabet Inc. (Class A),True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-03-002,2024-03-04,2024-03-04,GOOG,Alphabet Inc. (Class C),True,False,2021-01-04,2026-04-30,True,,True,True,True
AIT-2024-03-002,2024-03-04,2024-03-04,ADI,Analog Devices,True,True,2021-01-04,2026-04-30,True,,True,True,True
