"family","term","n_specs","median_coef","positive_share","p05_share","q10_family_share","min_p","min_q_family","min_q_global","median_n","median_events","min_treated","min_treated_events","min_treated_tickers","best_sample","best_outcome","best_fe","best_coef","best_se","best_p","best_q_family","best_n","best_events","best_treated","best_treated_events","best_treated_tickers","best_rhs","risk_flag"
"rel_x_event","rel_downstream_deployer:is_reasoning_model",25,-0.0029413848286437,0.2,0,0,0.135800969614574,0.660161325113863,0.501804968552699,10209,104,816,34,24,"late_2025_2026","car_mm_spy_0_10","event",0.00869686731915193,0.00576034709387435,0.135800969614574,0.660161325113863,6765,68,888,37,24,"rel_downstream_deployer*is_reasoning_model + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",""
"rel_x_event","downstream_any:is_chinese_model",25,-0.010522477127818,0,0,0,0.136433340523532,0.660161325113863,0.503560195703923,10209,104,680,17,40,"llm_events","car_mm_spy_0_10","event",-0.0111768202740699,0.00743501386871516,0.136433340523532,0.660161325113863,8562,87,880,22,40,"downstream_any*is_chinese_model + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","low_support"
"rel_x_event","rel_downstream_deployer:is_open_weight_or_open_source",25,-0.00296020555628685,0.08,0,0,0.16978396866963,0.717397050716748,0.547963576677203,10209,104,552,23,24,"llm_events","car_mm_spy_0_20","event",-0.00735300833781329,0.00531090745039626,0.16978396866963,0.717397050716748,8562,87,888,37,24,"rel_downstream_deployer*is_open_weight_or_open_source + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",""
"rel_x_event","downstream_any:is_open_weight_or_open_source",25,-0.00676666192885708,0.12,0,0,0.19902266096692,0.763640065775136,0.593543816490348,10209,104,919,23,40,"llm_events","car_ff3_0_20","event",-0.0126414525553739,0.00976693313207929,0.19902266096692,0.763640065775136,8562,87,1477,37,40,"downstream_any*is_open_weight_or_open_source + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",""
"rel_x_event","rel_upstream_cloud:is_reasoning_model",25,-0.00449344965207458,0.16,0,0,0.203425044621659,0.763640065775136,0.597869228440435,10209,104,168,34,6,"high_date","car_mm_spy_0_15","event",-0.0140848232182074,0.0110038787362195,0.203425044621659,0.763640065775136,10209,104,168,34,6,"rel_upstream_cloud*is_reasoning_model + rel_upstream_hardware + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",""
"rel_x_event","rel_downstream_deployer:is_media_generation_model",25,-0.00149278689916992,0.28,0,0,0.219099085548507,0.766200878250193,0.615891779208726,10209,104,96,4,24,"llm_events","car_mm_spy_0_10","event",0.0138036121062762,0.0111502699618105,0.219099085548507,0.766200878250193,8562,87,96,4,24,"rel_downstream_deployer*is_media_generation_model + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","low_support"
"rel_x_event","rel_competitor:is_reasoning_model",25,0.00500829378755447,0.92,0,0,0.228015651098618,0.766200878250193,0.623099985922781,10209,104,205,34,7,"late_2025_2026","car_mm_spy_0_10","event",0.00884185694934945,0.00726753156084135,0.228015651098618,0.766200878250193,6765,68,226,37,7,"rel_competitor*is_reasoning_model + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",""
"joint_core","rel_upstream_cloud",140,-0.000210186493662336,0.45,0,0,0.23775980244867,0.777902812787407,0.631919740727362,8298.5,85,154,34,4,"post_2024","car_mm_spy_0_1","year",-0.0032479941828334,0.00273602142266031,0.23775980244867,0.777902812787407,10853,110,510,110,6,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","low_support"
"rel_x_event","rel_upstream_cloud:is_media_generation_model",25,0.00201273247037365,0.52,0,0,0.258116313559156,0.790151980283132,0.64986011281613,10209,104,22,4,6,"high_date","car_mm_spy_0_15","event",0.0126645250495492,0.0111371268510526,0.258116313559156,0.790151980283132,10209,104,137,30,6,"rel_upstream_cloud*is_media_generation_model + rel_upstream_hardware + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","low_support"
"rel_x_event","rel_upstream_hardware:is_chinese_model",25,0.0058938896386957,0.68,0,0,0.326397182923227,0.847784890709679,0.708069480143285,10209,104,375,17,23,"late_2025_2026","car_mm_spy_0_15","event",-0.0124906846711654,0.0126342324699493,0.326397182923227,0.847784890709679,6765,68,448,20,23,"rel_upstream_hardware*is_chinese_model + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","low_support"
"rel_x_event","rel_upstream_hardware:is_open_weight_or_open_source",25,-4.66400841414787e-05,0.48,0,0,0.33456007422529,0.85784634416741,0.711190827516701,10209,104,515,23,23,"late_2025_2026","car_mm_spy_0_15","event",-0.0117795781494784,0.012119245460504,0.33456007422529,0.85784634416741,6765,68,515,23,23,"rel_upstream_hardware*is_open_weight_or_open_source + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",""
"rel_x_event","rel_upstream_cloud:is_chinese_model",25,-0.00245704502775375,0.32,0,0,0.3853250587888,0.896904162147252,0.743560598004084,10209,104,76,17,6,"high_date","car_mm_spy_0_15","event",-0.0150043209218973,0.0172100083693188,0.3853250587888,0.896904162147252,10209,104,76,17,6,"rel_upstream_cloud*is_chinese_model + rel_upstream_hardware + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","low_support"
"rel_x_event","rel_competitor:is_chinese_model",25,0.00329677184578698,0.8,0,0,0.5160652612988,0.962278615212338,0.83704785599371,10209,104,102,17,6,"main","car_ff3_0_20","event",0.00636551703573282,0.00977349584582253,0.5160652612988,0.962278615212338,12112,124,152,25,7,"rel_competitor*is_chinese_model + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","low_support"
