"term","family","n_specs","median_coef","positive_share","p05_share","q10_family_share","event_p05_share","year_p05_share","sector_p05_share","creator_p05_share","min_p","min_q_family","min_q_family_term","min_q_global","median_n","median_events","min_treated","min_treated_events","min_treated_tickers","best_sample","best_outcome","best_benchmark","best_window","best_fe","best_control_variant","best_coef","best_se","best_p","best_q_family","best_q_family_term","best_n","best_events","best_treated","best_treated_events","best_treated_tickers","best_rhs","placebo_min_p","placebo_p05_share","risk_flag"
"rel_downstream_integrator:post_2025","interaction_wide",30,-0.0241403801732195,0,0.633333333333333,0.2,0.633333333333333,NA,NA,NA,0.000804451411936679,0.0455089655895607,0.0122170760155356,0.025258492597763,10853,110,799,50,16,"post_2024","car_mm_soxx_0_20","car_mm_soxx","0_20","event","event_core",-0.0394650889017543,0.0114467654972757,0.000804451411936679,0.0455089655895607,0.0122170760155356,10853,110,1087,68,16,"rel_downstream_integrator*post_2025 + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",NA,NA,""
"rel_downstream_integrator:intel_c","ability_interaction",25,-0.000923681081643229,0,0.36,0.08,0.36,NA,NA,NA,0.000884524969646612,0.0497545295426219,0.0110565621205826,0.0272807433596077,4971,50,589,37,16,"main","car_mm_spy_0_10","car_mm_spy","0_10","event","event_core_intel",-0.00112604766516621,0.00032684509635835,0.000884524969646612,0.0497545295426219,0.0110565621205826,8562,87,1389,87,16,"rel_downstream_integrator*intel_c + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",NA,NA,"ability_level_not_news"
"downstream_any:intel_high","interaction_wide",30,-0.0187824548152829,0,0.666666666666667,0.166666666666667,0.666666666666667,NA,NA,NA,0.00145714452676061,0.058641964874571,0.0261954866319194,0.0387239694745193,7961,110,1320,34,40,"post_2024","car_mm_spy_0_15","car_mm_spy","0_15","event","event_core",-0.0260292017248755,0.00796905631963949,0.00145714452676061,0.058641964874571,0.0261954866319194,7893,110,1720,44,41,"downstream_any*intel_high + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",NA,NA,""
"rel_upstream_hardware:intel_high","interaction_wide",30,0.027018446333467,1,0.733333333333333,0.233333333333333,0.733333333333333,NA,NA,NA,0.00221815297271074,0.0693464666205358,0.0141525156407112,0.0542110645049328,7961,110,740,34,23,"post_2024","car_mm_soxx_0_20","car_mm_soxx","0_20","event","event_core",0.0234305339761741,0.00747705798997206,0.00221815297271074,0.0693464666205358,0.0141525156407112,7893,110,966,44,24,"rel_upstream_hardware*intel_high + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",NA,NA,""
"rel_downstream_integrator:is_reasoning_model","interaction_wide",30,-0.0204377943508699,0,0.4,0.0666666666666667,0.4,NA,NA,NA,0.00315517262996453,0.0823812106461068,0.0522555504369138,0.068012840405449,10853,110,544,34,16,"post_2024","car_mm_spy_0_15","car_mm_spy","0_15","event","event_core",-0.030433824635829,0.0100795649262522,0.00315517262996453,0.0823812106461068,0.0522555504369138,10853,110,656,41,16,"rel_downstream_integrator*is_reasoning_model + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",NA,NA,""
"rel_upstream_hardware:is_reasoning_model","interaction_wide",30,0.0264012493638278,1,0.766666666666667,0.133333333333333,0.766666666666667,NA,NA,NA,0.00464483405106945,0.0962294647698882,0.0241754981387465,0.0858514069506355,10853,110,761,34,23,"post_2024","car_mm_qqq_0_20","car_mm_qqq","0_20","event","event_core",0.0342957219025086,0.0118656391481943,0.00464483405106945,0.0962294647698882,0.0241754981387465,10853,110,919,41,23,"rel_upstream_hardware*is_reasoning_model + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",NA,NA,""
"hardware_sox","pre_placebo",32,-0.00252880773189448,0.375,0.09375,0.03125,0.0625,0.125,NA,NA,0.00761839121168283,0.0962323100423095,0.237757343010927,0.111313429894089,10531,107,1224,68,18,"late_2025_2026","car_mm_soxx_pre_m10_m2","car_mm_soxx","pre_m10_m2","year","pre_year",0.0102585846905675,0.00372803840766081,0.00761839121168283,0.0962323100423095,0.237757343010927,6765,68,1224,68,18,"hardware_sox + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)",0.00761839121168283,0.09375,"pre_window_signal"
"rel_upstream_cloud","single_extended",364,0.00371008505215264,0.818681318681319,0.0247252747252747,0.00274725274725275,0.010989010989011,0.021978021978022,0.0549450549450549,0.010989010989011,0.00963427270752383,0.0969922286060826,0.989904161947785,0.121607440411257,7497,77,118,25,4,"early_2022_2024","car_ff3_0_20","car_ff3","0_20","year_sector","year_sector",0.0233702799720932,0.00871256007703517,0.00963427270752383,0.0969922286060826,0.989904161947785,5347,56,220,55,4,"rel_upstream_cloud + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year) + factor(gics_sector)",0.108690926725206,0,"low_support"
"platform_bigtech:is_open_weight_or_open_source","interaction_wide",30,0.0162039722550153,0.9,0.433333333333333,0.0333333333333333,0.433333333333333,NA,NA,NA,0.0050109962455108,0.0975069440557474,0.0868480482265673,0.0894074673273047,10853,110,247,37,10,"llm_events","car_ff3_0_20","car_ff3","0_20","event","event_core",0.0277800089217692,0.009644164759953,0.0050109962455108,0.0975069440557474,0.0868480482265673,8562,87,247,37,10,"platform_bigtech*is_open_weight_or_open_source + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",NA,NA,""
"strategic_any:intel_high","interaction_wide",30,0.0215664829424919,1,0.666666666666667,0.0333333333333333,0.666666666666667,NA,NA,NA,0.00530179781243716,0.0984146218933649,0.0382046616837302,0.0924349306712882,7961,110,986,34,32,"post_2024","car_mm_qqq_0_20","car_mm_qqq","0_20","event","event_core",0.0351166696528296,0.0123421199688112,0.00530179781243716,0.0984146218933649,0.0382046616837302,7893,110,1290,44,33,"strategic_any*intel_high + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",NA,NA,""
"rel_downstream_deployer:is_chinese_model","interaction_wide",30,-0.00793666097835705,0,0.2,0,0.2,NA,NA,NA,0.00587584577083601,0.104969996627867,0.0926079923093111,0.0986727535964471,10853,110,408,17,24,"post_2024","car_mm_spy_0_10","car_mm_spy","0_10","event","event_core",-0.0127637757386162,0.00454243241330798,0.00587584577083601,0.104969996627867,0.0926079923093111,10853,110,600,25,24,"rel_downstream_deployer*is_chinese_model + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",NA,NA,"low_support"
