"family","sample","outcome","fe","term","coef","se","p","n","n_events","n_tickers","n_treated","treated_events","treated_tickers","rhs","note","q_global","q_family","sig_p05","sig_q10_family","direction"
"single_or_bundle","main","car_mm_spy_0_20","year","rel_upstream_hardware",0.0170255385272058,0.00682868243612054,0.0139871750466771,12112,124,101,2688,124,23,"rel_upstream_hardware + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.1754091474495,0.138950971794954,TRUE,FALSE,"positive"
"single_or_bundle","main","car_mm_spy_0_20","year","rel_upstream_cloud",0.00443485531667083,0.0060548988527696,0.46529295004847,12112,124,101,562,123,6,"rel_upstream_cloud + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.803528030304967,0.73355452551569,FALSE,FALSE,"positive"
"single_or_bundle","main","car_mm_spy_0_20","year","rel_downstream_integrator",-0.00893978743668623,0.00544445052112898,0.103144376241672,12112,124,101,1971,124,16,"rel_downstream_integrator + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.432018329808049,0.349872994299943,FALSE,FALSE,"negative"
"single_or_bundle","main","car_mm_spy_0_20","year","rel_downstream_deployer",-0.00553703858456844,0.00241054452102407,0.023309000798754,12112,124,101,2949,124,24,"rel_downstream_deployer + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.211093310847672,0.168525170094278,TRUE,FALSE,"negative"
"single_or_bundle","main","car_mm_spy_0_20","year","rel_competitor",0.00968290764282501,0.00541797728901317,0.0763710415262546,12112,124,101,746,123,7,"rel_competitor + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.368053212174721,0.296998494824323,FALSE,FALSE,"positive"
"single_or_bundle","main","car_mm_spy_0_20","year","rel_is_investor",0.0146768835990925,0.0106953061223197,0.172475723129404,12112,124,101,89,45,5,"rel_is_investor + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.554138869492061,0.456379061201516,FALSE,FALSE,"positive"
"single_or_bundle","main","car_mm_spy_0_20","year","rel_is_owner",0.00551497705434571,0.0116613448532769,0.637102673009086,12112,124,101,53,32,5,"rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.879520514939204,0.808852527975262,FALSE,FALSE,"positive"
"single_or_bundle","main","car_mm_spy_0_20","year","upstream_any",0.0168472077157845,0.00634977181390087,0.0090255979837369,12112,124,101,3250,124,29,"upstream_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.163174652813323,0.127517622889494,TRUE,FALSE,"positive"
"single_or_bundle","main","car_mm_spy_0_20","year","downstream_any",-0.00888795719181226,0.00409263067598224,0.031797476745769,12112,124,101,4920,124,40,"downstream_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.241118307076921,0.192280576648256,TRUE,FALSE,"negative"
"single_or_bundle","main","car_mm_spy_0_20","year","related_any",0.00327262519596881,0.00301972870307294,0.280596317572002,12112,124,101,8173,124,69,"related_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.672695016126396,0.589520230642406,FALSE,FALSE,"positive"
"single_or_bundle","main","car_mm_spy_0_20","year","platform_bigtech",0.00475771283394492,0.00511169034612277,0.353805387943521,12112,124,101,869,123,9,"platform_bigtech + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","",0.722051812129635,0.649416325903483,FALSE,FALSE,"positive"
