"set_type","role","role_label","spec","outcome","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared","coef_pct","se_pct"
"flag","cloud","云服务方","controls_cost_speed","mkt_car_20","z_speed",-0.0251837887119544,0.01485504505635,0.106344416679886,-0.0562757553442143,0.00590817792030542,28,20,0.750521008240991,-2.51837887119544,1.485504505635
"flag","cloud","云服务方","controls_cost_speed","mkt_car_20","z_low_ttft",-0.0832753336367953,0.0150856723138552,2.5216411145854e-05,-0.114850008666616,-0.0517006586069749,28,20,0.750521008240991,-8.32753336367953,1.50856723138552
"flag","cloud","云服务方","controls_sentiment","mkt_car_20","z_intelligence",0.0353832388804645,0.0193987358553575,0.0881369076575643,-0.00596418784287131,0.0767306656038002,21,16,0.766086237447983,3.53832388804645,1.93987358553575
"flag","cloud","云服务方","controls_sentiment","mkt_car_20","z_sent_w5",-0.064079159755959,0.0211514011225594,0.00844855949614013,-0.109162304066591,-0.0189960154453272,21,16,0.766086237447983,-6.4079159755959,2.11514011225594
"flag","cloud","云服务方","controls_sentiment","mkt_car_20","z_intelligence:z_sent_w5",0.0418205502752735,0.0320864519514243,0.212099673989449,-0.0265701031552154,0.110211203705762,21,16,0.766086237447983,4.18205502752735,3.20864519514243
"flag","business_upstream","商业上游","controls_open_interaction","mkt_car_20","z_intelligence",0.0221041357332873,0.0160606615126643,0.175394917669253,-0.0102242991412894,0.054432570607864,122,47,0.330919680610409,2.21041357332873,1.60606615126643
"flag","business_upstream","商业上游","controls_open_interaction","mkt_car_20","is_open_weight_or_open_source",-0.0855745395896949,0.018804357801258,3.89994869505127e-05,-0.123425748648353,-0.0477233305310363,122,47,0.330919680610409,-8.55745395896949,1.8804357801258
"flag","business_upstream","商业上游","controls_open_interaction","mkt_car_20","z_intelligence:is_open_weight_or_open_source",-0.0644858372513158,0.0311597962972864,0.0441408749966566,-0.127207254081349,-0.00176442042128221,122,47,0.330919680610409,-6.44858372513158,3.11597962972864
"flag","business_upstream","商业上游","controls_cost_speed","mkt_car_20","z_intelligence",-0.0159328078830349,0.0237540711122259,0.505740095564571,-0.0637472730812536,0.0318816573151838,122,47,0.344762545572673,-1.59328078830349,2.37540711122259
"flag","business_upstream","商业上游","controls_cost_speed","mkt_car_20","z_low_price",-0.0267780135197419,0.0116036958355042,0.025565068371649,-0.0501350417982281,-0.00342098524125572,122,47,0.344762545572673,-2.67780135197419,1.16036958355043
"flag","business_upstream","商业上游","controls_cost_speed","mkt_car_20","z_speed",-0.0126119405222356,0.0107857888472579,0.24830194750543,-0.0343226074237552,0.00909872637928398,122,47,0.344762545572673,-1.26119405222356,1.07857888472579
"flag","business_upstream","商业上游","controls_cost_speed","mkt_car_20","z_low_ttft",-0.0322985899190424,0.0172776924172331,0.0679433830977382,-0.0670767809451744,0.00247960110708971,122,47,0.344762545572673,-3.22985899190424,1.72776924172331
"flag","business_upstream","商业上游","controls_sentiment","mkt_car_20","z_intelligence",0.0205453242610757,0.0207504151630961,0.328548415505033,-0.0214990105471145,0.062589659069266,100,38,0.292909312011837,2.05453242610757,2.07504151630961
"flag","business_upstream","商业上游","controls_sentiment","mkt_car_20","z_sent_w5",-0.016460557830416,0.0104770449169384,0.124671266959988,-0.0376890672759341,0.00476795161510202,100,38,0.292909312011837,-1.6460557830416,1.04770449169384
"flag","business_upstream","商业上游","controls_sentiment","mkt_car_20","z_intelligence:z_sent_w5",-0.0159439089451879,0.0159957730362461,0.325356528463756,-0.048354423711554,0.0164666058211781,100,38,0.292909312011837,-1.59439089451879,1.59957730362461
"flag","real_upstream","真实上游","controls_open_interaction","mkt_car_20","z_intelligence",0.0271062270888719,0.0157110894755654,0.0921941521422525,-0.00464706920509323,0.058859523382837,103,41,0.338386163945529,2.71062270888719,1.57110894755654
"flag","real_upstream","真实上游","controls_open_interaction","mkt_car_20","is_open_weight_or_open_source",-0.0961910908536082,0.0190174334339562,9.83864689287177e-06,-0.134626757553765,-0.0577554241534517,103,41,0.338386163945529,-9.61910908536082,1.90174334339562
"flag","real_upstream","真实上游","controls_open_interaction","mkt_car_20","z_intelligence:is_open_weight_or_open_source",-0.0865810114582208,0.0310146204667943,0.0080021828071864,-0.149263897623348,-0.0238981252930936,103,41,0.338386163945529,-8.65810114582208,3.10146204667943
"flag","real_upstream","真实上游","controls_cost_speed","mkt_car_20","z_intelligence",-0.0221099278357281,0.0237735707864804,0.357939088300984,-0.0701581066919877,0.0259382510205316,103,41,0.366988996896218,-2.21099278357281,2.37735707864804
"flag","real_upstream","真实上游","controls_cost_speed","mkt_car_20","z_low_price",-0.0278937227936794,0.0114125586168536,0.019024140761381,-0.05095936415463,-0.00482808143272874,103,41,0.366988996896218,-2.78937227936794,1.14125586168536
"flag","real_upstream","真实上游","controls_cost_speed","mkt_car_20","z_speed",-0.0171358243241444,0.0103319923410381,0.105035031143613,-0.0380175597774494,0.00374591112916058,103,41,0.366988996896218,-1.71358243241444,1.03319923410381
"flag","real_upstream","真实上游","controls_cost_speed","mkt_car_20","z_low_ttft",-0.0360035156711532,0.0165158588861865,0.0352066267633556,-0.069383311615796,-0.00262371972651039,103,41,0.366988996896218,-3.60035156711532,1.65158588861865
"flag","real_upstream","真实上游","controls_sentiment","mkt_car_20","z_intelligence",0.0206598601131812,0.0212455634806903,0.337910164710951,-0.0225645637912143,0.0638842840175767,85,34,0.305781582398758,2.06598601131812,2.12455634806903
"flag","real_upstream","真实上游","controls_sentiment","mkt_car_20","z_sent_w5",-0.01400680681569,0.0163066888060378,0.396558805577168,-0.0471830146423199,0.0191694010109398,85,34,0.305781582398758,-1.400680681569,1.63066888060378
"flag","real_upstream","真实上游","controls_sentiment","mkt_car_20","z_intelligence:z_sent_w5",-0.0135307005415431,0.01677402614787,0.425646003262225,-0.0476577133391998,0.0205963122561136,85,34,0.305781582398758,-1.35307005415431,1.677402614787
"flag","broad_upstream","上游合并","controls_open_interaction","mkt_car_20","z_intelligence",0.0221041357332873,0.0160606615126643,0.175394917669253,-0.0102242991412894,0.054432570607864,122,47,0.330919680610409,2.21041357332873,1.60606615126643
"flag","broad_upstream","上游合并","controls_open_interaction","mkt_car_20","is_open_weight_or_open_source",-0.0855745395896949,0.018804357801258,3.89994869505127e-05,-0.123425748648353,-0.0477233305310363,122,47,0.330919680610409,-8.55745395896949,1.8804357801258
"flag","broad_upstream","上游合并","controls_open_interaction","mkt_car_20","z_intelligence:is_open_weight_or_open_source",-0.0644858372513158,0.0311597962972864,0.0441408749966566,-0.127207254081349,-0.00176442042128221,122,47,0.330919680610409,-6.44858372513158,3.11597962972864
"flag","broad_upstream","上游合并","controls_cost_speed","mkt_car_20","z_intelligence",-0.0159328078830349,0.0237540711122259,0.505740095564571,-0.0637472730812536,0.0318816573151838,122,47,0.344762545572673,-1.59328078830349,2.37540711122259
"flag","broad_upstream","上游合并","controls_cost_speed","mkt_car_20","z_low_price",-0.0267780135197419,0.0116036958355042,0.025565068371649,-0.0501350417982281,-0.00342098524125572,122,47,0.344762545572673,-2.67780135197419,1.16036958355043
"flag","broad_upstream","上游合并","controls_cost_speed","mkt_car_20","z_speed",-0.0126119405222356,0.0107857888472579,0.24830194750543,-0.0343226074237552,0.00909872637928398,122,47,0.344762545572673,-1.26119405222356,1.07857888472579
"flag","broad_upstream","上游合并","controls_cost_speed","mkt_car_20","z_low_ttft",-0.0322985899190424,0.0172776924172331,0.0679433830977382,-0.0670767809451744,0.00247960110708971,122,47,0.344762545572673,-3.22985899190424,1.72776924172331
"flag","broad_upstream","上游合并","controls_sentiment","mkt_car_20","z_intelligence",0.0205453242610757,0.0207504151630961,0.328548415505033,-0.0214990105471145,0.062589659069266,100,38,0.292909312011837,2.05453242610757,2.07504151630961
"flag","broad_upstream","上游合并","controls_sentiment","mkt_car_20","z_sent_w5",-0.016460557830416,0.0104770449169384,0.124671266959988,-0.0376890672759341,0.00476795161510202,100,38,0.292909312011837,-1.6460557830416,1.04770449169384
"flag","broad_upstream","上游合并","controls_sentiment","mkt_car_20","z_intelligence:z_sent_w5",-0.0159439089451879,0.0159957730362461,0.325356528463756,-0.048354423711554,0.0164666058211781,100,38,0.292909312011837,-1.59439089451879,1.59957730362461
"flag","business_downstream","商业下游","controls_open_interaction","mkt_car_20","z_intelligence",0.031868649354722,0.00867863562315845,0.000624969816690785,0.014399461904241,0.049337836805203,1072,47,0.354174184112179,3.1868649354722,0.867863562315845
"flag","business_downstream","商业下游","controls_open_interaction","mkt_car_20","is_open_weight_or_open_source",-0.0216273672010281,0.0241412178894599,0.374987097144611,-0.070221118443277,0.0269663840412208,1072,47,0.354174184112179,-2.16273672010281,2.41412178894599
"flag","business_downstream","商业下游","controls_open_interaction","mkt_car_20","z_intelligence:is_open_weight_or_open_source",-0.0505441580527512,0.0196519858670545,0.0134078579804866,-0.090101553914572,-0.0109867621909304,1072,47,0.354174184112179,-5.05441580527512,1.96519858670545
"flag","business_downstream","商业下游","controls_cost_speed","mkt_car_20","z_intelligence",0.00395993717257407,0.012451174204822,0.751896057063515,-0.0211029765856913,0.0290228509308394,1072,47,0.359536852285209,0.395993717257407,1.2451174204822
"flag","business_downstream","商业下游","controls_cost_speed","mkt_car_20","z_low_price",0.00566597400872799,0.00611794514861268,0.35921528614848,-0.00664881085534495,0.0179807588728009,1072,47,0.359536852285209,0.566597400872799,0.611794514861268
"flag","business_downstream","商业下游","controls_cost_speed","mkt_car_20","z_speed",-0.00330072512718175,0.0058770912231039,0.577097354797788,-0.0151306961846156,0.00852924593025211,1072,47,0.359536852285209,-0.330072512718175,0.58770912231039
"flag","business_downstream","商业下游","controls_cost_speed","mkt_car_20","z_low_ttft",-0.0352182180619357,0.0097952574389326,0.00078693655950084,-0.0549350486510459,-0.0155013874728255,1072,47,0.359536852285209,-3.52182180619357,0.97952574389326
"flag","business_downstream","商业下游","controls_sentiment","mkt_car_20","z_intelligence",0.0243787833290544,0.00877148621936347,0.00851045357759778,0.00660606406181646,0.0421515025962924,864,38,0.321107050687422,2.43787833290544,0.877148621936347
"flag","business_downstream","商业下游","controls_sentiment","mkt_car_20","z_sent_w5",-0.0126879487964015,0.00794080101268232,0.118589989954438,-0.0287775399587123,0.00340164236590937,864,38,0.321107050687422,-1.26879487964015,0.794080101268232
"flag","business_downstream","商业下游","controls_sentiment","mkt_car_20","z_intelligence:z_sent_w5",0.00630355424875216,0.00981495414067251,0.52467714284706,-0.0135834318560548,0.0261905403535592,864,38,0.321107050687422,0.630355424875216,0.981495414067251
"flag","real_downstream","真实下游","controls_open_interaction","mkt_car_20","z_intelligence",0.048218803152477,0.0209085291345222,0.0325377793940394,0.00445674873162517,0.0919808575733289,56,20,0.423466190334537,4.8218803152477,2.09085291345222
"flag","real_downstream","真实下游","controls_open_interaction","mkt_car_20","is_open_weight_or_open_source",-0.0784752965188156,0.0443046399367697,0.092556751633003,-0.171205973628374,0.0142553805907424,56,20,0.423466190334537,-7.84752965188156,4.43046399367697
"flag","real_downstream","真实下游","controls_open_interaction","mkt_car_20","z_intelligence:is_open_weight_or_open_source",NA,NA,NA,NA,NA,56,20,0.423466190334537,NA,NA
"flag","real_downstream","真实下游","controls_cost_speed","mkt_car_20","z_intelligence",0.00422526997263107,0.030456004528563,0.89112058462887,-0.0595198801068198,0.0679704200520819,56,20,0.469441783223792,0.422526997263107,3.0456004528563
"flag","real_downstream","真实下游","controls_cost_speed","mkt_car_20","z_low_price",0.00211983918147081,0.00981975481078793,0.831385841306185,-0.0184331438459001,0.0226728222088417,56,20,0.469441783223792,0.211983918147081,0.981975481078793
"flag","real_downstream","真实下游","controls_cost_speed","mkt_car_20","z_speed",-0.00155254367251972,0.0112344719748011,0.891540714366229,-0.0250665637543544,0.021961476409315,56,20,0.469441783223792,-0.155254367251972,1.12344719748011
"flag","real_downstream","真实下游","controls_cost_speed","mkt_car_20","z_low_ttft",-0.0455317224644856,0.0184464993416287,0.0232390856390826,-0.0841406893061415,-0.00692275562282968,56,20,0.469441783223792,-4.55317224644856,1.84464993416287
"flag","real_downstream","真实下游","controls_sentiment","mkt_car_20","z_intelligence",0.035765907949092,0.0344633590123015,0.315806396433569,-0.0376910029561415,0.109222818854325,49,16,0.392503577901983,3.5765907949092,3.44633590123015
"flag","real_downstream","真实下游","controls_sentiment","mkt_car_20","z_sent_w5",-0.039054118146485,0.0265595934754208,0.162108466800863,-0.0956645515899229,0.017556315296953,49,16,0.392503577901983,-3.9054118146485,2.65595934754208
"flag","real_downstream","真实下游","controls_sentiment","mkt_car_20","z_intelligence:z_sent_w5",0.0409183561051625,0.0330424656615662,0.234615045427816,-0.0295099923133572,0.111346704523682,49,16,0.392503577901983,4.09183561051625,3.30424656615662
"flag","broad_downstream","下游合并","controls_open_interaction","mkt_car_20","z_intelligence",0.031868649354722,0.00867863562315845,0.000624969816690785,0.014399461904241,0.049337836805203,1072,47,0.354174184112179,3.1868649354722,0.867863562315845
"flag","broad_downstream","下游合并","controls_open_interaction","mkt_car_20","is_open_weight_or_open_source",-0.0216273672010281,0.0241412178894599,0.374987097144611,-0.070221118443277,0.0269663840412208,1072,47,0.354174184112179,-2.16273672010281,2.41412178894599
"flag","broad_downstream","下游合并","controls_open_interaction","mkt_car_20","z_intelligence:is_open_weight_or_open_source",-0.0505441580527512,0.0196519858670545,0.0134078579804866,-0.090101553914572,-0.0109867621909304,1072,47,0.354174184112179,-5.05441580527512,1.96519858670545
"flag","broad_downstream","下游合并","controls_cost_speed","mkt_car_20","z_intelligence",0.00395993717257407,0.012451174204822,0.751896057063515,-0.0211029765856913,0.0290228509308394,1072,47,0.359536852285209,0.395993717257407,1.2451174204822
"flag","broad_downstream","下游合并","controls_cost_speed","mkt_car_20","z_low_price",0.00566597400872799,0.00611794514861268,0.35921528614848,-0.00664881085534495,0.0179807588728009,1072,47,0.359536852285209,0.566597400872799,0.611794514861268
"flag","broad_downstream","下游合并","controls_cost_speed","mkt_car_20","z_speed",-0.00330072512718175,0.0058770912231039,0.577097354797788,-0.0151306961846156,0.00852924593025211,1072,47,0.359536852285209,-0.330072512718175,0.58770912231039
"flag","broad_downstream","下游合并","controls_cost_speed","mkt_car_20","z_low_ttft",-0.0352182180619357,0.0097952574389326,0.00078693655950084,-0.0549350486510459,-0.0155013874728255,1072,47,0.359536852285209,-3.52182180619357,0.97952574389326
"flag","broad_downstream","下游合并","controls_sentiment","mkt_car_20","z_intelligence",0.0243787833290544,0.00877148621936347,0.00851045357759778,0.00660606406181646,0.0421515025962924,864,38,0.321107050687422,2.43787833290544,0.877148621936347
"flag","broad_downstream","下游合并","controls_sentiment","mkt_car_20","z_sent_w5",-0.0126879487964015,0.00794080101268232,0.118589989954438,-0.0287775399587123,0.00340164236590937,864,38,0.321107050687422,-1.26879487964015,0.794080101268232
"flag","broad_downstream","下游合并","controls_sentiment","mkt_car_20","z_intelligence:z_sent_w5",0.00630355424875216,0.00981495414067251,0.52467714284706,-0.0135834318560548,0.0261905403535592,864,38,0.321107050687422,0.630355424875216,0.981495414067251
"flag","competitor","直接竞争者","controls_open_interaction","mkt_car_20","z_intelligence",0.00916726732838437,0.00311256091160803,0.00504814470962556,0.00290200716803991,0.0154325274887288,366,47,0.462712181007805,0.916726732838437,0.311256091160803
"flag","competitor","直接竞争者","controls_open_interaction","mkt_car_20","is_open_weight_or_open_source",0.0131080178446122,0.0111110927021797,0.244175491787664,-0.00925745175479111,0.0354734874440155,366,47,0.462712181007805,1.31080178446122,1.11110927021797
"flag","competitor","直接竞争者","controls_open_interaction","mkt_car_20","z_intelligence:is_open_weight_or_open_source",-0.0149604986208408,0.0122017149524113,0.226401606727259,-0.0395212769478189,0.00960027970613726,366,47,0.462712181007805,-1.49604986208408,1.22017149524113
"flag","competitor","直接竞争者","controls_cost_speed","mkt_car_20","z_intelligence",-0.0123668687706372,0.00679024184203244,0.0750728683636818,-0.0260349166900628,0.00130117914878848,366,47,0.462778089187672,-1.23668687706372,0.679024184203244
"flag","competitor","直接竞争者","controls_cost_speed","mkt_car_20","z_low_price",-0.00666565316425964,0.00349051354285199,0.0624262645034675,-0.0136916925126351,0.000360386184115788,366,47,0.462778089187672,-0.666565316425964,0.349051354285199
"flag","competitor","直接竞争者","controls_cost_speed","mkt_car_20","z_speed",0.00320807710090883,0.00376207782708572,0.398221434953144,-0.00436459280002437,0.010780747001842,366,47,0.462778089187672,0.320807710090883,0.376207782708572
"flag","competitor","直接竞争者","controls_cost_speed","mkt_car_20","z_low_ttft",-0.00985255033162123,0.00702999603114729,0.167775486780786,-0.0240031984031387,0.0042980977398962,366,47,0.462778089187672,-0.985255033162123,0.702999603114729
"flag","competitor","直接竞争者","controls_sentiment","mkt_car_20","z_intelligence",0.00178658659491777,0.00405405984265159,0.662001094795448,-0.00642771890293186,0.0100008920927674,298,38,0.473166704321744,0.178658659491777,0.405405984265159
"flag","competitor","直接竞争者","controls_sentiment","mkt_car_20","z_sent_w5",0.00876661753621915,0.00302829308898869,0.00632810020622943,0.00263071290346714,0.0149025221689712,298,38,0.473166704321744,0.876661753621915,0.302829308898869
"flag","competitor","直接竞争者","controls_sentiment","mkt_car_20","z_intelligence:z_sent_w5",0.00305778415892287,0.00461516866910509,0.511724543291723,-0.00629343581402594,0.0124090041318717,298,38,0.473166704321744,0.305778415892287,0.461516866910509
"flag","positive_exposure","正向商业暴露","controls_open_interaction","mkt_car_20","z_intelligence",0.022931714698147,0.0110719238185056,0.0441074616540699,0.000631715413864281,0.0452317139824296,196,46,0.268102875753729,2.29317146981469,1.10719238185056
"flag","positive_exposure","正向商业暴露","controls_open_interaction","mkt_car_20","is_open_weight_or_open_source",-0.0491747605564764,0.0217046693786006,0.0283341944382062,-0.0928902087064541,-0.00545931240649867,196,46,0.268102875753729,-4.91747605564764,2.17046693786006
"flag","positive_exposure","正向商业暴露","controls_open_interaction","mkt_car_20","z_intelligence:is_open_weight_or_open_source",-0.0616072156016837,0.0251766245289563,0.0183741056114282,-0.112315540386035,-0.0108988908173322,196,46,0.268102875753729,-6.16072156016837,2.51766245289563
"flag","positive_exposure","正向商业暴露","controls_cost_speed","mkt_car_20","z_intelligence",-0.0187011565330946,0.0175192845832842,0.291457005672188,-0.0539868069830552,0.0165844939168661,196,46,0.297973398627786,-1.87011565330946,1.75192845832842
"flag","positive_exposure","正向商业暴露","controls_cost_speed","mkt_car_20","z_low_price",-0.00849740079314932,0.00776369549897724,0.279557678520396,-0.0241342862078783,0.00713948462157971,196,46,0.297973398627786,-0.849740079314932,0.776369549897724
"flag","positive_exposure","正向商业暴露","controls_cost_speed","mkt_car_20","z_speed",-0.0152252150106336,0.00791072719081133,0.0606122022103643,-0.0311582374541586,0.000707807432891335,196,46,0.297973398627786,-1.52252150106336,0.791072719081133
