final_event_id,release_date,release_date_norm,event_name,true_model_creator,creator_country,creator_type,candidate_tier,model_modality,is_model_family,is_reasoning_model,is_coding_model,is_media_generation_model,is_open_weight_or_open_source,llm_capability_sample_flag,media_capability_sample_flag,representative_aa_source_table,release_date_confidence
FMR-0034,2025/4/16,2025-04-16,o4 mini,OpenAI,United States,private_us_company,Tier 2,reasoning_llm,1,1,1,0,0,1,0,aa_llm_models,official_date_matches_event_month
FMR-0035,2025/4/21,2025-04-21,Vidu Q1,ShengShu Technology,China,private_non_us_company,Tier 1,video_generation,1,0,0,1,0,0,1,aa_media_models,manual_confirmed_company_press_release
FMR-0036,2025/5/6,2025-05-06,Gemini 2.5 Pro,Google,United States,listed_us_company,Tier 2,multimodal_llm,1,1,0,0,0,1,0,aa_llm_models,official_date_matches_event_month
FMR-0037,2025/5/20,2025-05-20,Gemma 3n,Google,United States,listed_us_company,Tier 3,text_llm,0,0,0,0,1,1,0,aa_llm_models,official_date_matches_event_month
FMR-0038,2025/5/21,2025-05-21,Claude Sonnet 4,Anthropic,United States,private_us_company,Tier 1,text_llm,1,0,1,0,0,1,0,aa_llm_models,official_date_matches_event_month
FMR-0039,2025/5/21,2025-05-21,Google I/O media model family,Google,United States,listed_us_company,Tier 1,video_generation,1,0,0,1,0,0,1,aa_media_models,manual_confirmed_official_source
FMR-0040,2025/5/22,2025-05-22,Claude 4 Opus,Anthropic,United States,private_us_company,Tier 1,reasoning_llm,1,0,1,0,0,1,0,aa_llm_models,manual_confirmed_secondary_source
FMR-0041,2025/6/17,2025-06-17,Gemini 2.5 Flash,Google,United States,listed_us_company,Tier 2,multimodal_llm,1,1,0,0,0,1,0,aa_llm_models,manual_confirmed_official_docs
FMR-0042,2025/6/17,2025-06-17,Gemini 2.5 Pro,Google,United States,listed_us_company,Tier 1,text_llm,0,0,0,0,0,1,0,aa_llm_models,manual_confirmed_user_source
FMR-0043,2025/7/21,2025-07-21,Qwen3-235B-A22B-Instruct-2507,Alibaba,China,public_non_us_company,Tier 2,text_llm,1,0,1,0,1,1,0,aa_llm_models,manual_confirmed_media_source
FMR-0044,2025/7/22,2025-07-22,Qwen3-Coder,Alibaba,China,public_non_us_company,Tier 2,coding_llm,1,0,1,0,1,1,0,aa_llm_models,official_date_matches_event_month
FMR-0045,2025/7/28,2025-07-28,GLM-4.5,Zhipu AI,China,private_non_us_company,Tier 2,text_llm,0,0,0,0,1,1,0,aa_llm_models,manual_confirmed_media_source
FMR-0046,2025/8/5,2025-08-05,gpt-oss family,OpenAI,United States,private_us_company,Tier 1,reasoning_llm,1,1,0,0,1,1,0,aa_llm_models,official_date_matches_event_month
FMR-0047,2025/8/26,2025-08-26,Gemini 2.5 Flash Image,Google,United States,listed_us_company,Tier 1,image_editing,0,0,0,1,0,0,1,aa_media_models,official_date_matches_event_month
FMR-0048,2025/9/5,2025-09-05,Qwen-3-Max,Alibaba,China,public_non_us_company,Tier 1,text_llm,0,0,0,0,0,1,0,aa_llm_models,manual_confirmed_secondary_source
FMR-0049,2025/9/25,2025-09-25,Claude Sonnet 4.5,Anthropic,United States,private_us_company,Tier 2,text_llm,0,1,1,0,0,1,0,aa_llm_models,official_date_matches_event_month
FMR-0050,2025/10/14,2025-10-14,Claude 4.5 Haiku,Anthropic,United States,private_us_company,Tier 2,text_llm,0,0,0,0,0,1,0,aa_llm_models,official_date_matches_event_month
FMR-0051,2025/12/2,2025-12-02,Mistral 3,Mistral AI,France,private_non_us_company,Tier 2,text_llm,1,0,1,0,1,1,0,aa_llm_models,official_date_matches_event_month
FMR-0052,2025/12/9,2025-12-09,Devstral 2,Mistral AI,France,private_non_us_company,Tier 2,coding_llm,1,0,1,0,1,1,0,aa_llm_models,official_date_matches_event_month
FMR-0053,2025/12/18,2025-12-18,Z-Image-Turbo,Alibaba,China,public_non_us_company,Tier 2,image_generation,0,0,0,1,1,0,1,aa_media_models,manual_confirmed_user_source
FMR-0054,2025/12/18,2025-12-18,GPT-5.2,OpenAI,United States,private_us_company,Tier 1,text_llm,1,0,1,0,0,1,0,aa_llm_models,official_date_matches_event_month
FMR-0055,2025/12/31,2025-12-31,Qwen-Image-2512,Alibaba,China,public_non_us_company,Tier 2,image_generation,0,0,0,1,1,0,1,aa_media_models,manual_confirmed_user_source
FMR-0056,2026/2/5,2026-02-05,Claude Opus 4.6,Anthropic,United States,private_us_company,Tier 2,reasoning_llm,1,0,0,0,0,1,0,aa_llm_models,official_date_matches_event_month
FMR-0057,2026/2/12,2026-02-12,GPT-5.3-Codex,OpenAI,United States,private_us_company,Tier 1,coding_llm,1,0,1,0,0,1,0,aa_llm_models,official_date_matches_event_month
FMR-0058,2026/2/16,2026-02-16,Claude Sonnet 4.6,Anthropic,United States,private_us_company,Tier 2,reasoning_llm,1,0,0,0,0,1,0,aa_llm_models,official_date_matches_event_month
FMR-0059,2026/2/26,2026-02-26,Nano Banana 2,Google,United States,listed_us_company,Tier 2,image_generation,0,0,0,1,0,0,1,aa_media_models,official_date_matches_event_month
FMR-0060,2026/3/17,2026-03-17,GPT-5.4 family,OpenAI,United States,private_us_company,Tier 1,reasoning_llm,1,0,0,0,0,1,0,aa_llm_models,official_date_matches_event_month
