date,Mkt_RF,Mkt_RF_decimal,SMB,SMB_decimal,HML,HML_decimal,RF,RF_decimal
2021-07-14,-0.25,-0.0025,-1.16,-0.0116,0.35,0.0034999999999999996,0.0,0.0
2021-07-15,-0.38,-0.0038,-0.35,-0.0034999999999999996,0.79,0.0079,0.0,0.0
2021-07-16,-0.76,-0.0076,-0.23,-0.0023,-1.27,-0.0127,0.0,0.0
2021-07-19,-1.42,-0.014199999999999999,0.32,0.0032,-1.77,-0.0177,0.0,0.0
2021-07-20,1.7,0.017,0.8,0.008,0.14,0.0014000000000000002,0.0,0.0
2021-07-21,0.95,0.0095,0.63,0.0063,0.81,0.008100000000000001,0.0,0.0
2021-07-22,0.1,0.001,-1.33,-0.013300000000000001,-1.02,-0.0102,0.0,0.0
2021-07-23,0.99,0.009899999999999999,-0.1,-0.001,-0.45,-0.0045000000000000005,0.0,0.0
2021-07-26,0.18,0.0018,-0.1,-0.001,1.33,0.013300000000000001,0.0,0.0
2021-07-27,-0.65,-0.006500000000000001,-0.65,-0.006500000000000001,0.59,0.0059,0.0,0.0
2021-07-28,0.27,0.0027,1.4,0.013999999999999999,-0.64,-0.0064,0.0,0.0
2021-07-29,0.41,0.0040999999999999995,0.0,0.0,0.94,0.009399999999999999,0.0,0.0
2021-07-30,-0.65,-0.006500000000000001,-0.07,-0.0007000000000000001,-0.18,-0.0018,0.0,0.0
2021-08-02,-0.12,-0.0012,-0.13,-0.0013,-0.45,-0.0045000000000000005,0.0,0.0
2021-08-03,0.73,0.0073,-0.47,-0.004699999999999999,0.93,0.009300000000000001,0.0,0.0
2021-08-04,-0.39,-0.0039000000000000003,-0.61,-0.0060999999999999995,-1.57,-0.015700000000000002,0.0,0.0
2021-08-05,0.74,0.0074,1.13,0.0113,-0.12,-0.0012,0.0,0.0
2021-08-06,0.09,0.0009,0.06,0.0006,1.88,0.018799999999999997,0.0,0.0
2021-08-09,0.0,0.0,-0.36,-0.0036,-0.27,-0.0027,0.0,0.0
2021-08-10,0.06,0.0006,0.01,0.0001,1.82,0.0182,0.0,0.0
2021-08-11,0.2,0.002,-0.01,-0.0001,1.44,0.0144,0.0,0.0
2021-08-12,0.24,0.0024,-0.59,-0.0059,-0.41,-0.0040999999999999995,0.0,0.0
2021-08-13,0.02,0.0002,-0.84,-0.0084,-0.27,-0.0027,0.0,0.0
2021-08-16,-0.03,-0.0003,-0.85,-0.0085,0.06,0.0006,0.0,0.0
2021-08-17,-0.79,-0.0079,-0.45,-0.0045000000000000005,-0.13,-0.0013,0.0,0.0
2021-08-18,-0.96,-0.0096,0.11,0.0011,-0.18,-0.0018,0.0,0.0
2021-08-19,-0.13,-0.0013,-0.79,-0.0079,-0.83,-0.0083,0.0,0.0
2021-08-20,0.92,0.0092,1.0,0.01,-0.5,-0.005,0.0,0.0
2021-08-23,1.07,0.010700000000000001,0.93,0.009300000000000001,-0.83,-0.0083,0.0,0.0
