"mode","x_var","y_var","controls","subsample","year_fe","n","n_events","estimate","std.error","p.value","conf.low","conf.high","sig_05","sig_10"
"relationship_x","upstream_hardware","car_2","none","media_gen",FALSE,1096,13,0.00283240885761869,0.00539946666729115,0.60943487706924,-0.00893201839043583,0.0145968361056732,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","none","media_gen",TRUE,1096,13,0.00286194729978874,0.00540052819754827,0.6058213004928,-0.00890479282400906,0.0146286874235865,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","size","all",FALSE,4993,60,0.00191819016458997,0.00341658381614906,0.576627377589677,-0.00491837826037547,0.00875475858955542,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","size","all",TRUE,4993,60,0.0018885899684796,0.00342414170400247,0.583338785285226,-0.00496310175514862,0.00874028169210782,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","size","us_creator",FALSE,1840,22,0.000815962677283455,0.00538213520979929,0.880944897918231,-0.0103768002192115,0.0120087255737784,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","size","us_creator",TRUE,1840,22,0.000729848003687054,0.00541750470641618,0.894115888472175,-0.0105364697876534,0.0119961657950275,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","size","non_us_creator",FALSE,3153,38,0.00256859994834114,0.00439179291349922,0.562189312774176,-0.00633001775217563,0.0114672176488579,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","size","non_us_creator",TRUE,3153,38,0.00251425964714049,0.00441039027929606,0.572071482076218,-0.00642203989578602,0.011450559190067,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","size","open_source",FALSE,1086,13,-0.0137872764152441,0.00956708649507828,0.175133628793352,-0.0346321672132568,0.00705761438276852,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","size","open_source",TRUE,1086,13,-0.0138120530606604,0.00958752270280169,0.175268665701963,-0.0347014705302506,0.00707736440892974,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","size","closed_source",FALSE,3907,47,0.00622080413946368,0.00321837831505113,0.0594182128191735,-0.000257455406560463,0.0126990636854878,FALSE,TRUE
"relationship_x","upstream_hardware","car_2","size","closed_source",TRUE,3907,47,0.00619535001553875,0.00322345702147753,0.0608179154698821,-0.000293132436299292,0.0126838324673768,FALSE,TRUE
"relationship_x","upstream_hardware","car_2","size","text_or_reason",FALSE,3906,47,0.00154001207557807,0.0040690693687607,0.706824166686966,-0.0066505997484982,0.00973062389965434,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","size","text_or_reason",TRUE,3906,47,0.00149469616338607,0.00408269992155428,0.715965284229526,-0.00672335254041923,0.00971274486719138,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","size","media_gen",FALSE,1087,13,0.00327477427947637,0.00571049474382165,0.576918833528186,-0.00916732493210951,0.0157168734910623,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","size","media_gen",TRUE,1087,13,0.00315309902204939,0.0058007342200702,0.596691949584097,-0.00948561511812929,0.0157918131622281,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","full","all",FALSE,4815,60,0.00157548124661825,0.00354975099569525,0.65878997033532,-0.00552755408913216,0.00867851658236866,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","full","all",TRUE,4815,60,0.00156322473400534,0.00353580477790391,0.660023956655052,-0.0055119042844028,0.00863835375241349,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","full","us_creator",FALSE,1794,22,0.000884216615155048,0.00564627979531727,0.877054594454055,-0.0108578650183929,0.012626298248703,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","full","us_creator",TRUE,1794,22,0.000939747202039756,0.00563756102968262,0.869205499520042,-0.0107842027657855,0.012663697169865,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","full","non_us_creator",FALSE,3021,38,0.00199647570729132,0.00444502875401579,0.655944824529498,-0.00701000805204314,0.0110029594666258,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","full","non_us_creator",TRUE,3021,38,0.00189232801086199,0.00445205126241328,0.673264749845325,-0.00712838470205904,0.010913040723783,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","full","open_source",FALSE,1036,13,-0.0137086479227159,0.00937904913818777,0.169532004319011,-0.0341438405150788,0.00672654466964694,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","full","open_source",TRUE,1036,13,-0.0137536562713094,0.00941916713342012,0.169922185189976,-0.034276258466385,0.0067689459237663,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","full","closed_source",FALSE,3779,47,0.00571715333602232,0.00346118462470006,0.105388381460849,-0.00124984996208402,0.0126841566341287,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","full","closed_source",TRUE,3779,47,0.00570894295851262,0.00343554702707566,0.103368605487703,-0.0012064545321687,0.0126243404491939,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","full","text_or_reason",FALSE,3768,47,0.000826046745434885,0.0041839313743364,0.84435842993653,-0.00759577030414777,0.00924786379501754,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","full","text_or_reason",TRUE,3768,47,0.000736550645004885,0.00418789566017349,0.8611632777863,-0.00769324609809212,0.00916634738810189,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","full","media_gen",FALSE,1047,13,0.00421539156119889,0.00630056559556668,0.516129237135011,-0.00951236159258173,0.0179431447149795,FALSE,FALSE
"relationship_x","upstream_hardware","car_2","full","media_gen",TRUE,1047,13,0.00426295312999416,0.00627509624683432,0.509811321120065,-0.00940930708000514,0.0179352133399935,FALSE,FALSE
"relationship_x","upstream_hardware","car_3","none","all",FALSE,5045,60,0.0028090537900861,0.00325407948722091,0.391500802175561,-0.00370234422377478,0.00932045180394698,FALSE,FALSE
"relationship_x","upstream_hardware","car_3","none","all",TRUE,5045,60,0.00274775938530672,0.00325373229131608,0.401804473565493,-0.00376294389115331,0.00925846266176674,FALSE,FALSE
"relationship_x","upstream_hardware","car_3","none","us_creator",FALSE,1849,22,0.00283500808627022,0.00450536963627074,0.535970841286841,-0.00653442098493412,0.0122044371574746,FALSE,FALSE
"relationship_x","upstream_hardware","car_3","none","us_creator",TRUE,1849,22,0.00279840968464247,0.00452712439327385,0.543127766701668,-0.00661626088041422,0.0122130802496992,FALSE,FALSE
"relationship_x","upstream_hardware","car_3","none","non_us_creator",FALSE,3196,38,0.0027960903296653,0.00442367190540631,0.5312247052031,-0.00616712034398259,0.0117593010033132,FALSE,FALSE
"relationship_x","upstream_hardware","car_3","none","non_us_creator",TRUE,3196,38,0.00269512615322761,0.00442655035914641,0.546341027014457,-0.00627391682169364,0.0116641691281489,FALSE,FALSE
"relationship_x","upstream_hardware","car_3","none","open_source",FALSE,1097,13,-0.0124494754376386,0.00820928355955926,0.155282380557495,-0.0303359677795826,0.00543701690430532,FALSE,FALSE
"relationship_x","upstream_hardware","car_3","none","open_source",TRUE,1097,13,-0.0124760167173951,0.00822068540767219,0.155001292365796,-0.0303873515522894,0.00543531811749927,FALSE,FALSE
"relationship_x","upstream_hardware","car_3","none","closed_source",FALSE,3948,47,0.00700181507707656,0.00323890465777691,0.035872705421082,0.00048223814611778,0.0135213920080353,TRUE,TRUE
"relationship_x","upstream_hardware","car_3","none","closed_source",TRUE,3948,47,0.00694074537171347,0.00323364278241945,0.0371473477273698,0.000431760046503772,0.0134497306969232,TRUE,TRUE
"relationship_x","upstream_hardware","car_3","none","text_or_reason",FALSE,3949,47,0.00269926801842504,0.00396865364836976,0.499820325370013,-0.00528921744401399,0.0106877534808641,FALSE,FALSE
