final_event_id,release_date,event_name,true_model_creator,creator_country,creator_type,model_modality,candidate_tier,is_open_weight_or_open_source,is_chinese_model,is_model_family,is_reasoning_model,is_coding_model,is_media_generation_model,llm_capability_sample_flag,media_capability_sample_flag,aa_intelligence_index,aa_coding_index,price_1m_blended_3_to_1,median_output_tokens_per_second,aa_media_elo,aa_media_rank,trend_month_since_2022_11,mean_car_1,mean_car_3,mean_car_5,n_company
FMR-0024,2025/2/5,Gemini 2.0 family,Google,United States,listed_us_company,text_llm,Tier 2,0,0,1,0,0,0,1,0,18.1,25.5,0.0,0.0,,,27,0.004865773357142857,0.0045550412247058825,0.01133651508235294,86
FMR-0025,2025/2/17,Grok 3 family,xAI,United States,private_us_company,reasoning_llm,Tier 1,0,0,1,1,0,0,1,0,32.1,25.2,0.35,214.083,,,27,0.008406619238095239,-0.009692589223529412,-0.01656708352941176,86
FMR-0026,2025/2/18,Claude 3.7,Anthropic,United States,private_us_company,reasoning_llm,Tier 1,0,0,0,1,1,0,1,0,34.7,27.6,6.0,0.0,,,27,-0.0027273409642857146,-0.02059865060714286,-0.019829796464285714,86
FMR-0027,2025/2/25,Gemini 2.0 Flash-Lite Preview,Google,United States,listed_us_company,text_llm,Tier 2,0,0,1,0,0,0,1,0,14.5,,0.0,0.0,,,27,-0.021377469285714285,-0.04453411740476191,-0.06268145778571428,86
FMR-0028,2025/2/26,Phi-4 mini / multimodal family,Microsoft,United States,listed_us_company,multimodal_llm,Tier 2,0,0,1,0,0,0,1,0,10.0,,0.0,16.946,,,27,-0.023623948176470587,-0.044155635129411765,-0.05622560731764705,86
FMR-0029,2025/3/12,Gemini 2.0 Flash Experimental,Google,United States,listed_us_company,multimodal_llm,Tier 1,0,0,0,0,0,0,1,0,16.8,,0.0,0.0,,,28,0.009940008164705883,0.0044660362941176465,0.004072279635294118,86
FMR-0030,2025/3/31,Runway Gen-4,Runway,United States,private_us_company,video_generation,Tier 1,0,1,1,0,0,1,0,1,,,,,1093.0,61.0,28,-0.01206886567857143,-0.0066974028452380955,-0.012684685452380953,86
FMR-0031,2025/4/15,Veo 2.0,Google,United States,listed_us_company,video_generation,Tier 1,0,1,1,0,0,1,0,1,,,,,1092.0,62.0,29,-0.004947452506976744,-0.00904319991860465,-0.016971758604651162,86
FMR-0032,2025/4/15,Kling 2.0,Kuaishou,China,public_non_us_company,video_generation,Tier 1,0,1,1,0,0,1,0,1,,,,,1173.0,49.0,29,-0.005313291818823529,-0.009441439917647058,-0.016842290176470587,86
FMR-0033,2025/4/16,o3 full,OpenAI,United States,private_us_company,reasoning_llm,Tier 2,0,0,1,1,1,0,1,0,38.4,38.4,3.5,104.719,,,29,0.001500885784705882,-0.008849357647058824,-0.019850376112941177,86
FMR-0034,2025/4/16,o4 mini,OpenAI,United States,private_us_company,reasoning_llm,Tier 2,0,0,1,1,1,0,1,0,33.1,25.6,1.925,145.63,,,29,0.0018348033918604645,-0.008599648372093023,-0.019837368860465117,86
FMR-0035,2025/4/21,Vidu Q1,ShengShu Technology,China,private_non_us_company,video_generation,Tier 1,0,1,1,0,0,1,0,1,,,,,1026.0,65.0,29,-0.007552306685882353,0.018654870847058823,0.02057721518823529,86
FMR-0036,2025/5/6,Gemini 2.5 Pro,Google,United States,listed_us_company,multimodal_llm,Tier 2,0,0,1,1,0,0,1,0,34.6,31.9,3.438,131.471,,,30,0.01339905108139535,0.02365880926744186,0.029652950011627908,86
FMR-0037,2025/5/20,Gemma 3n,Google,United States,listed_us_company,text_llm,Tier 3,1,0,0,0,0,0,1,0,4.8,2.2,0.0,58.39,,,30,-0.0007854377790697673,0.0018827189418604655,-0.0023243563488372096,86
FMR-0038,2025/5/21,Claude Sonnet 4,Anthropic,United States,private_us_company,text_llm,Tier 1,0,0,1,0,1,0,1,0,38.7,34.1,6.0,61.904,,,30,0.010992451411764706,0.0022047013882352945,0.0087599974,86
FMR-0039,2025/5/21,Google I/O media model family,Google,United States,listed_us_company,video_generation,Tier 1,0,0,1,0,0,1,0,1,,,,,1226.0,40.0,30,0.010992451411764706,0.0036150376046511622,0.010188318546511628,86
FMR-0040,2025/5/22,Claude 4 Opus,Anthropic,United States,private_us_company,reasoning_llm,Tier 1,0,0,1,0,1,0,1,0,39.0,34.0,30.0,47.094,,,30,0.004986585752941177,0.0022047013882352945,0.0085120312,86
FMR-0041,2025/6/17,Gemini 2.5 Flash,Google,United States,listed_us_company,multimodal_llm,Tier 2,0,0,1,1,0,0,1,0,27.0,22.2,0.85,217.367,,,31,0.011480030813953488,0.008280135967558139,-0.004177058674418605,86
FMR-0042,2025/6/17,Gemini 2.5 Pro,Google,United States,listed_us_company,text_llm,Tier 1,0,0,0,0,0,0,1,0,34.6,31.9,3.438,131.471,,,31,0.011072090186046511,0.007639929723372092,-0.004829010744186047,86
FMR-0043,2025/7/21,Qwen3-235B-A22B-Instruct-2507,Alibaba,China,public_non_us_company,text_llm,Tier 2,1,1,1,0,1,0,1,0,25.0,22.1,1.225,67.108,,,32,-0.008686709952941176,-0.01229703634117647,-0.009087062505882355,86
FMR-0044,2025/7/22,Qwen3-Coder,Alibaba,China,public_non_us_company,coding_llm,Tier 2,1,1,1,0,1,0,1,0,24.8,24.6,3.0,72.135,,,32,-0.005071973058823529,-0.012743223623529412,-0.009857415905882353,86
FMR-0045,2025/7/28,GLM-4.5,Zhipu AI,China,private_non_us_company,text_llm,Tier 2,1,1,0,0,0,0,1,0,26.4,26.3,1.0,47.382,,,32,9.152038117647013e-05,-0.004197729179294117,-0.012024678,86
FMR-0046,2025/8/5,gpt-oss family,OpenAI,United States,private_us_company,reasoning_llm,Tier 1,1,0,1,1,0,0,1,0,33.3,28.6,0.263,216.388,,,33,-0.0069735277093023245,-0.024998282174418605,-0.031213422151162788,86
FMR-0047,2025/8/26,Gemini 2.5 Flash Image,Google,United States,listed_us_company,image_editing,Tier 1,0,0,0,0,0,1,0,1,,,,,1175.0,17.0,33,0.004427759755813954,0.011782322372093023,0.014310850662790697,86
FMR-0048,2025/9/5,Qwen-3-Max,Alibaba,China,public_non_us_company,text_llm,Tier 1,0,1,0,0,0,0,1,0,31.4,26.4,2.4,32.66,,,34,0.006270472635294118,0.006458943976470588,0.003704666670588235,86
FMR-0049,2025/9/25,Claude Sonnet 4.5,Anthropic,United States,private_us_company,text_llm,Tier 2,0,0,0,1,1,0,1,0,43.0,38.6,6.0,66.476,,,34,-0.007839810294117646,-0.0032538129764705884,-0.0020599545529411765,86
FMR-0050,2025/10/14,Claude 4.5 Haiku,Anthropic,United States,private_us_company,text_llm,Tier 2,0,0,0,0,0,0,1,0,37.1,32.6,2.0,155.639,,,35,0.003272686470588235,-0.007705313507058823,-0.00785284273964706,86
FMR-0051,2025/12/2,Mistral 3,Mistral AI,France,private_non_us_company,text_llm,Tier 2,1,0,1,0,1,0,1,0,22.8,22.7,0.75,56.317,,,37,0.015230345341176472,0.02966340992941176,0.033618552388235294,86
FMR-0052,2025/12/9,Devstral 2,Mistral AI,France,private_non_us_company,coding_llm,Tier 2,1,0,1,0,1,0,1,0,22.0,23.7,0.0,77.21,,,37,0.006016442543529411,-0.0043791593176470585,0.010162982964705882,86
FMR-0053,2025/12/18,Z-Image-Turbo,Alibaba,China,public_non_us_company,image_generation,Tier 2,1,1,0,0,0,1,0,1,,,,,1110.0,43.0,37,0.009866737134117646,0.0030333862512941174,-0.002527087200000001,86
FMR-0054,2025/12/18,GPT-5.2,OpenAI,United States,private_us_company,text_llm,Tier 1,0,0,1,0,1,0,1,0,51.3,48.7,4.813,74.667,,,37,0.010276958097674418,0.003998206806511628,-0.0015213284651162797,86
FMR-0055,2025/12/31,Qwen-Image-2512,Alibaba,China,public_non_us_company,image_generation,Tier 2,1,1,0,0,0,1,0,1,,,,,1161.0,19.0,37,0.0006785648588235296,0.0016469540235294123,0.0017459680117647058,86
FMR-0056,2026/2/5,Claude Opus 4.6,Anthropic,United States,private_us_company,reasoning_llm,Tier 2,0,0,1,0,0,0,1,0,53.0,48.1,10.0,59.959,,,39,-0.009098682388235295,-0.03175521557647059,-0.022101203623529412,86
FMR-0057,2026/2/12,GPT-5.3-Codex,OpenAI,United States,private_us_company,coding_llm,Tier 1,0,0,1,0,1,0,1,0,53.6,53.1,4.813,81.39,,,39,-0.007959333152941176,0.0027787190705882356,-0.009599944364705883,86
FMR-0058,2026/2/16,Claude Sonnet 4.6,Anthropic,United States,private_us_company,reasoning_llm,Tier 2,0,0,1,0,0,0,1,0,51.7,50.9,6.0,67.635,,,39,-0.01252783515,0.005473162585365853,-0.01762931919529412,86
FMR-0059,2026/2/26,Nano Banana 2,Google,United States,listed_us_company,image_generation,Tier 2,0,0,0,0,0,1,0,1,,,,,1228.0,5.0,39,0.025381669916666665,0.021003018142857145,0.030628814571428572,86
FMR-0060,46098,GPT-5.4 family,OpenAI,United States,private_us_company,reasoning_llm,Tier 1,0,0,1,0,0,0,1,0,56.8,57.3,5.625,81.043,,,40,0.006996268583333333,0.0188803111547619,0.023689015476190477,86
