"ticker","company","gics_sector","index"
"EA","Electronic Arts","Consumer Discretionary","NASDAQ-100"
"ENTG","Entegris, Inc.","Semiconductors","SOX (via SOXX ETF holdings)"
"EXC","Exelon","Utilities","NASDAQ-100"
"FANG","Diamondback Energy","Energy","NASDAQ-100"
"FAST","Fastenal","Industrials","NASDAQ-100"
"FER","Ferrovial","Industrials","NASDAQ-100"
"FTNT","Fortinet","Technology","NASDAQ-100"
"GEHC","GE HealthCare","Health Care","NASDAQ-100"
"GILD","Gilead Sciences","Health Care","NASDAQ-100"
"GOOG","Alphabet Inc. (Class C)","Technology","NASDAQ-100"
"GOOGL","Alphabet Inc. (Class A)","Technology","NASDAQ-100"
"HON","Honeywell Technologies","Industrials","NASDAQ-100"
"IDXX","Idexx Laboratories","Health Care","NASDAQ-100"
"INTC","Intel","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"INTU","Intuit","Technology","NASDAQ-100"
"ISRG","Intuitive Surgical","Health Care","NASDAQ-100"
"KDP","Keurig Dr Pepper","Consumer Staples","NASDAQ-100"
"KHC","Kraft Heinz","Consumer Staples","NASDAQ-100"
"KLAC","KLA Corporation","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"LIN","Linde plc","Basic Materials","NASDAQ-100"
"LITE","Lumentum","Technology","NASDAQ-100"
"LRCX","Lam Research","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"MAR","Marriott International","Consumer Discretionary","NASDAQ-100"
"MCHP","Microchip Technology","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"MDLZ","Mondelez International","Consumer Staples","NASDAQ-100"
"MELI","Mercado Libre","Consumer Discretionary","NASDAQ-100"
"META","Meta Platforms","Technology","NASDAQ-100"
"MNST","Monster Beverage","Consumer Staples","NASDAQ-100"
"MPWR","Monolithic Power Systems","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"MRVL","Marvell Technology","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"MSFT","Microsoft","Technology","NASDAQ-100"
"MSTR","MicroStrategy","Technology","NASDAQ-100"
"MTSI","MACOM Technology Solutions Holdings, Inc.","Semiconductors","SOX (via SOXX ETF holdings)"
"MU","Micron Technology","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"NBIS","Nebius Group","Technology","NASDAQ-100"
"NFLX","Netflix, Inc.","Consumer Discretionary","NASDAQ-100"
"NVDA","Nvidia","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"NXPI","NXP Semiconductors","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"ODFL","Old Dominion Freight Line","Industrials","NASDAQ-100"
"ON","ON Semiconductor Corporation","Semiconductors","SOX (via SOXX ETF holdings)"
"ORLY","O'Reilly Automotive","Consumer Discretionary","NASDAQ-100"
"PANW","Palo Alto Networks","Technology","NASDAQ-100"
"PAYX","Paychex","Industrials","NASDAQ-100"
"PCAR","Paccar","Consumer Discretionary","NASDAQ-100"
"PDD","PDD Holdings","Technology","NASDAQ-100"
"PEP","PepsiCo","Consumer Staples","NASDAQ-100"
"PLTR","Palantir Technologies","Technology","NASDAQ-100"
"PYPL","PayPal","Industrials","NASDAQ-100"
"QCOM","Qualcomm","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"REGN","Regeneron Pharmaceuticals","Health Care","NASDAQ-100"
"RKLB","Rocket Lab","Industrials","NASDAQ-100"
"ROP","Roper Technologies","Technology","NASDAQ-100"
"ROST","Ross Stores","Consumer Discretionary","NASDAQ-100"
"SBUX","Starbucks","Consumer Discretionary","NASDAQ-100"
"SHOP","Shopify","Technology","NASDAQ-100"
"SNDK","Sandisk","Technology","NASDAQ-100"
"SNPS","Synopsys","Technology","NASDAQ-100"
"STX","Seagate Technology","Technology","NASDAQ-100"
"TER","Teradyne","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"TMUS","T-Mobile US","Telecommunications","NASDAQ-100"
"TRI","Thomson Reuters","Technology","NASDAQ-100"
"TSLA","Tesla, Inc.","Consumer Discretionary","NASDAQ-100"
"TSM","Taiwan Semiconductor Manufacturing Company Limited","Semiconductors","SOX (via SOXX ETF holdings)"
"TTWO","Take-Two Interactive","Consumer Discretionary","NASDAQ-100"
"TXN","Texas Instruments","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"UMC","United Microelectronics Corporation","Semiconductors","SOX (via SOXX ETF holdings)"
"VRTX","Vertex Pharmaceuticals","Health Care","NASDAQ-100"
"WBD","Warner Bros. Discovery","Consumer Discretionary","NASDAQ-100"
"WDAY","Workday, Inc.","Technology","NASDAQ-100"
"WDC","Western Digital","Technology","NASDAQ-100"
"WMT","Walmart","Consumer Discretionary","NASDAQ-100"
"XEL","Xcel Energy","Utilities","NASDAQ-100"
