ticker,company,gics_sector,source_index,index_tag,decision,reason
SNDK,Sandisk,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01
STX,Seagate Technology,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01
SHOP,Shopify,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01
MSTR,MicroStrategy,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01
SNPS,Synopsys,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01
TXN,Texas Instruments,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample
TRI,Thomson Reuters,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01
WDC,Western Digital,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01
WDAY,"Workday, Inc.",Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01
ZS,"Zscaler, Inc.",Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01
